Date,Open,High,Low,Close,Volume
2019-12-06,1580.0,1585.0,1546.0,1561.0,318030
2019-12-13,1564.0,1674.0,1556.0,1630.0,1226246
2019-12-20,1634.0,1659.0,1578.0,1611.0,961970
2019-12-27,1610.0,1629.0,1596.0,1608.0,391014
2020-01-03,1609.0,1643.0,1608.0,1629.0,207619
2020-01-10,1629.0,1675.0,1621.0,1658.0,280885
2020-01-17,1659.0,1691.0,1646.0,1677.0,258619
2020-01-24,1678.0,1680.0,1591.0,1615.0,107835
2020-02-07,1517.0,1609.0,1509.0,1574.0,93819
2020-02-14,1573.0,1588.0,1562.0,1578.0,39791
2020-02-21,1578.0,1595.0,1565.0,1579.0,45216
2020-02-28,1575.0,1637.0,1542.0,1565.0,128003
2020-03-06,1564.0,1600.0,1544.0,1553.0,77352
2020-03-13,1506.0,1600.0,1501.0,1518.0,82215
2020-03-20,1523.0,1527.0,1417.0,1450.0,92748
2020-03-27,1428.0,1437.0,1373.0,1383.0,69608
2020-04-03,1378.0,1395.0,1336.0,1371.0,68286
2020-04-10,1385.0,1394.0,1354.0,1360.0,58383
2020-04-17,1360.0,1429.0,1322.0,1356.0,187025
2020-04-24,1465.0,1518.0,1448.0,1479.0,184872
2020-05-01,1473.0,1491.0,1435.0,1447.0,85379
2020-05-08,1454.0,1468.0,1436.0,1439.0,69992
2020-05-15,1442.0,1447.0,1398.0,1435.0,328589
2020-05-22,1433.0,1461.0,1419.0,1422.0,233036
2020-05-29,1423.0,1487.0,1408.0,1476.0,582704
2020-06-05,1478.0,1490.0,1456.0,1470.0,297509
2020-06-12,1473.0,1478.0,1422.0,1436.0,330286
2020-06-19,1438.0,1455.0,1428.0,1440.0,234210
2020-06-26,1441.0,1445.0,1396.0,1401.0,162310
2020-07-03,1396.0,1407.0,1358.0,1375.0,426013
2020-07-10,1375.0,1399.0,1363.0,1389.0,400522
2020-07-17,1389.0,1416.0,1341.0,1356.0,496430
2020-07-24,1356.0,1357.0,1288.0,1320.0,842401
2020-07-31,1320.0,1338.0,1305.0,1327.0,548747
2020-08-07,1330.0,1472.0,1320.0,1472.0,2144537
2020-08-14,1477.0,1504.0,1368.0,1374.0,2010800
2020-08-21,1384.0,1643.0,1339.0,1603.0,1675376
2020-08-28,1610.0,1697.0,1603.0,1683.0,2609839
2020-09-04,1687.0,1822.0,1677.0,1765.0,4556055
2020-09-11,1768.0,1799.0,1716.0,1777.0,3437294
2020-09-18,1780.0,1784.0,1655.0,1709.0,3322562
2020-09-25,1701.0,1762.0,1663.0,1724.0,3638898
2020-10-02,1726.0,1754.0,1689.0,1717.0,1591060
2020-10-09,1728.0,1736.0,1662.0,1691.0,390337
2020-10-16,1690.0,1749.0,1653.0,1680.0,2049026
2020-10-23,1682.0,1690.0,1603.0,1605.0,2057684
2020-10-30,1613.0,1625.0,1561.0,1568.0,1929984
2020-11-06,1570.0,1608.0,1548.0,1552.0,1483604
