symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
BC2601,20260105,89770,91040,89040,89620,53,1990,2381.45,89860,88190,BC
BC2602,20260105,88470,90850,88470,90830,7466,7892,336027.395,90010,88160,BC
BC2603,20260105,89340,90580,88970,90580,944,1030,42453.89,89940,88320,BC
BC2604,20260105,89870,90120,89870,89980,5,7,224.99,89990,88020,BC
BC2605,20260105,,,,90510,0,4,0,90510,87830,BC
BC2606,20260105,,,,88800,0,2,0,88800,87920,BC
BC2607,20260105,,,,88740,0,1,0,88740,86450,BC
BC2608,20260105,90310,90310,89690,89690,2,0,90,90000,86450,BC
BC2609,20260105,,,,88280,0,0,0,88280,86360,BC
BC2610,20260105,,,,88300,0,0,0,88300,86400,BC
BC2611,20260105,,,,88190,0,0,0,88190,86310,BC
BC2612,20260105,,,,88640,0,0,0,88640,86310,BC
EC2602,20260105,1840,1893.7,1825.5,1855.5,22903,26046,212935.202,1859.4,1828.5,EC
EC2604,20260105,1187.8,1200,1172.1,1198,8562,22629,50930.658,1189.6,1167.2,EC
EC2606,20260105,1395,1405,1370,1389,500,2201,3475.576,1390.2,1370.4,EC
EC2608,20260105,1506,1506.1,1490.8,1502.3,127,1188,954.876,1503.7,1496.5,EC
EC2610,20260105,1062.4,1085,1062.4,1082.6,948,6055,5104.3855,1076.8,1059.9,EC
EC2612,20260105,1319,1320,1309.1,1311.9,21,48,138.1465,1315.6,1300.5,EC
LU2602,20260105,2887,2933,2871,2879,4187,11523,12173.929,2907,2933,LU
LU2603,20260105,2914,2945,2887,2891,77556,86874,226282.204,2917,2956,LU
LU2604,20260105,2913,2940,2891,2893,27826,58122,81004.572,2911,2943,LU
LU2605,20260105,2910,2945,2895,2899,5813,11889,16970.454,2919,2946,LU
LU2606,20260105,2930,2946,2900,2903,169,722,494.261,2924,2952,LU
LU2607,20260105,2946,2954,2912,2912,25,243,73.222,2928,2958,LU
LU2608,20260105,2960,2986,2937,2938,21,230,62.064,2955,2957,LU
LU2609,20260105,2975,2984,2941,2941,478,996,1417.589,2965,2985,LU
LU2610,20260105,2970,2978,2949,2949,12,59,35.559,2963,2994,LU
LU2611,20260105,2980,2980,2962,2962,4,106,11.9,2975,2988,LU
LU2612,20260105,2978,2978,2963,2963,5,17,14.83,2966,2993,LU
LU2701,20260105,2966,2966,2958,2958,2,2,5.924,2962,2993,LU
NR2601,20260105,12735,12820,12700,12710,89,1930,1134.08,12740,12630,NR
NR2602,20260105,12650,12890,12650,12765,19604,25448,250332.085,12765,12660,NR
NR2603,20260105,12680,12925,12680,12805,48776,70581,624881.975,12810,12690,NR
NR2604,20260105,12755,12960,12755,12845,7868,13167,101023.365,12835,12710,NR
NR2605,20260105,12885,12980,12775,12880,3094,6608,39814.375,12865,12735,NR
NR2606,20260105,12885,12950,12840,12900,71,1510,914.66,12880,12775,NR
NR2607,20260105,,,,12765,0,11,0,12765,12765,NR
NR2608,20260105,12930,12930,12930,12930,1,26,12.93,12930,12865,NR
NR2609,20260105,,,,12825,0,13,0,12825,12825,NR
NR2610,20260105,,,,12830,0,8,0,12830,12830,NR
NR2611,20260105,13000,13000,13000,13000,1,7,13,13000,12855,NR
NR2612,20260105,,,,12865,0,6,0,12865,12865,NR
SC2602,20260105,436,436.3,421.5,421.7,44486,34256,1898679.59,426.8,436.5,SC
SC2603,20260105,436,436.4,423.4,423.5,18602,26094,796566.15,428.2,437.1,SC
SC2604,20260105,435.7,435.8,423.9,424.3,6301,11782,269309.49,427.4,435.6,SC
SC2605,20260105,433.4,438.6,425.1,425.5,1591,5379,68137.61,428.2,436.7,SC
SC2606,20260105,431,438.4,426.4,426.8,889,6524,38272.61,430.5,436.3,SC
SC2607,20260105,436.5,436.5,427.4,427.4,82,1471,3543.9,432.1,436.3,SC
SC2608,20260105,437.4,437.4,428.6,429,93,878,4025.97,432.9,437.6,SC
SC2609,20260105,436.9,439.1,429.3,430.1,137,1284,5931.06,432.9,437.7,SC
SC2610,20260105,436.4,438.4,431.3,431.4,75,859,3259.9,434.6,438.6,SC
SC2611,20260105,435.9,435.9,433,433,4,21,174.07,435.1,438.3,SC
SC2612,20260105,439.1,439.1,431.5,431.5,41,418,1788.72,436.2,441,SC
SC2701,20260105,444,444,434.5,434.5,5,3,219.96,439.9,441,SC
SC2703,20260105,434,434,433.6,433.6,3,27,130.16,433.8,442.5,SC
SC2706,20260105,436,438.4,435.9,438.4,8,60,349.01,436.2,443.3,SC
SC2709,20260105,,,,438.9,0,74,0,438.9,448.2,SC
SC2712,20260105,,,,442.5,0,94,0,442.5,449.5,SC
SC2803,20260105,444.2,444.2,444.1,444.1,5,97,222.09,444.1,457.6,SC
SC2806,20260105,449.5,449.5,449.5,449.5,1,119,44.95,449.5,455.7,SC
SC2809,20260105,459.1,459.1,449,449,9,150,407.36,452.6,457.7,SC
SC2812,20260105,,,,453.8,0,40,0,453.8,458.1,SC
SC_TAS2602,20260105,,,,0,,,,,,SC_TAS
SC_TAS2603,20260105,,,,0,,,,,,SC_TAS
SC_TAS2604,20260105,,,,0,,,,,,SC_TAS
SC_TAS2605,20260105,,,,0,,,,,,SC_TAS
BC2601,20260106,89830,92700,89830,92700,40,1960,1808.025,90400,89860,BC
BC2602,20260106,90380,94220,90210,93970,15921,7958,734914.165,92320,90010,BC
BC2603,20260106,90130,93960,89980,93830,1011,1277,46582.77,92150,89940,BC
BC2604,20260106,92630,92630,92630,92630,1,6,46.315,92630,89990,BC
BC2605,20260106,92750,92750,92730,92730,2,4,92.74,92740,90510,BC
BC2606,20260106,,,,90980,0,2,0,90980,88800,BC
BC2607,20260106,,,,90920,0,1,0,90920,88740,BC
BC2608,20260106,,,,91840,0,0,0,91840,90000,BC
BC2609,20260106,92350,92350,92350,92350,1,1,46.175,92350,88280,BC
BC2610,20260106,,,,91780,0,0,0,91780,88300,BC
BC2611,20260106,,,,91730,0,0,0,91730,88190,BC
BC2612,20260106,,,,91730,0,0,0,91730,88640,BC
EC2602,20260106,1850,1885.8,1808,1872.7,21716,24996,200445.287,1846,1859.4,EC
EC2604,20260106,1197,1234.1,1178.7,1223.8,10278,23930,61932.8125,1205.1,1189.6,EC
EC2606,20260106,1390.3,1419.2,1380,1417,920,2326,6444.2815,1400.9,1390.2,EC
EC2608,20260106,1498.3,1533.2,1491.3,1533.2,177,1192,1335.527,1509,1503.7,EC
EC2610,20260106,1077.1,1111,1074.6,1105.3,1230,6184,6717.311,1092.2,1076.8,EC
EC2612,20260106,1300.3,1339.1,1300.3,1313.2,8,47,52.6255,1315.6,1315.6,EC
LU2602,20260106,2926,2944,2905,2944,6903,8927,20176.967,2922,2907,LU
LU2603,20260106,2921,2944,2914,2925,89415,82217,261794.722,2927,2917,LU
LU2604,20260106,2923,2944,2915,2924,36278,61278,106252.563,2928,2911,LU
LU2605,20260106,2938,2945,2917,2930,6545,14319,19176.183,2929,2919,LU
LU2606,20260106,2936,2948,2920,2935,748,991,2191.925,2930,2924,LU
LU2607,20260106,2948,2954,2921,2943,21,245,61.566,2931,2928,LU
LU2608,20260106,2960,2966,2921,2941,50,217,146.741,2934,2955,LU
LU2609,20260106,2970,2973,2922,2950,1049,1231,3096.521,2951,2965,LU
LU2610,20260106,2975,2984,2937,2963,53,52,156.555,2953,2963,LU
LU2611,20260106,2977,2977,2956,2970,22,108,65.203,2963,2975,LU
LU2612,20260106,2990,2990,2966,2981,12,18,35.671,2972,2966,LU
LU2701,20260106,2990,2990,2973,2973,2,4,5.963,2981,2962,LU
NR2601,20260106,12785,12930,12785,12930,280,2000,3592.9,12830,12740,NR
NR2602,20260106,12765,13015,12750,12975,16777,23032,216148.23,12880,12765,NR
NR2603,20260106,12805,13060,12800,13010,58209,74434,752380.04,12925,12810,NR
NR2604,20260106,12845,13090,12840,13030,8957,14688,116186.365,12970,12835,NR
NR2605,20260106,12880,13125,12870,13075,4049,7402,52595.495,12985,12865,NR
NR2606,20260106,12985,13125,12935,13115,214,1487,2790.625,13040,12880,NR
NR2607,20260106,,,,12970,0,11,0,12970,12765,NR
NR2608,20260106,,,,12930,0,26,0,12930,12930,NR
NR2609,20260106,13095,13095,13095,13095,1,14,13.095,13095,12825,NR
NR2610,20260106,,,,12865,0,8,0,12865,12830,NR
NR2611,20260106,,,,13000,0,7,0,13000,13000,NR
NR2612,20260106,,,,12865,0,6,0,12865,12865,NR
SC2602,20260106,427.5,429.9,425,428.2,68944,31596,2946035.2,427.3,426.8,SC
SC2603,20260106,429,431.3,426.7,429.4,35343,25195,1515207.03,428.7,428.2,SC
SC2604,20260106,430.1,431.3,427.2,429.6,7045,13051,302497.34,429.3,427.4,SC
SC2605,20260106,430.8,432.7,428.6,430.9,1886,5658,81208.43,430.5,428.2,SC
SC2606,20260106,434.5,434.5,429.7,432.2,1251,6145,54145.47,432.8,430.5,SC
SC2607,20260106,432.9,433.7,427.2,433.1,26,1467,1123.22,432,432.1,SC
SC2608,20260106,433.5,435.1,431.8,433.7,65,901,2814.03,432.9,432.9,SC
SC2609,20260106,435.6,436,433,435,58,1292,2521.68,434.7,432.9,SC
SC2610,20260106,434.6,436.6,434.6,436.6,14,858,609.92,435.6,434.6,SC
SC2611,20260106,,,,436,0,21,0,436,435.1,SC
SC2612,20260106,438.7,442.3,434.9,436.7,31,431,1356.91,437.7,436.2,SC
SC2701,20260106,431,437.6,431,436.4,3,4,130.5,435,439.9,SC
SC2703,20260106,436.2,437.5,436.2,437.5,2,27,87.37,436.8,433.8,SC
SC2706,20260106,442.6,442.6,442.6,442.6,1,61,44.26,442.6,436.2,SC
SC2709,20260106,,,,438.9,0,74,0,438.9,438.9,SC
SC2712,20260106,443.5,443.5,443.5,443.5,1,93,44.35,443.5,442.5,SC
SC2803,20260106,442.9,442.9,442.9,442.9,1,97,44.29,442.9,444.1,SC
SC2806,20260106,448,448,448,448,2,120,89.6,448,449.5,SC
SC2809,20260106,455.4,455.4,453,453,4,152,181.55,453.8,452.6,SC
SC2812,20260106,,,,453.8,0,40,0,453.8,453.8,SC
SC_TAS2602,20260106,,,,0,,,,,,SC_TAS
SC_TAS2603,20260106,,,,0,,,,,,SC_TAS
SC_TAS2604,20260106,,,,0,,,,,,SC_TAS
