index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
96,AD2606,20260601,22620,22780,22620,22735.0,192,429,4362.69,22720,22695,AD
97,AD2607,20260601,22880,22965,22840,22895.0,3086,6768,70649.175,22890,22925,AD
98,AD2608,20260601,23050,23125,22970,23060.0,5145,11942,118600.35,23050,23065,AD
99,AD2609,20260601,23315,23315,23095,23180.0,34,480,787.73,23165,23190,AD
100,AD2610,20260601,23195,23290,23160,23290.0,89,148,2065.605,23205,23290,AD
101,AD2611,20260601,,,,23485.0,0,1,0.0,23485,23485,AD
102,AD2612,20260601,,,,23305.0,0,1,0.0,23305,23305,AD
103,AD2701,20260601,23565,23565,23565,23565.0,1,7,23.565,23565,23845,AD
104,AD2702,20260601,,,,23730.0,0,1,0.0,23730,23730,AD
105,AD2703,20260601,,,,23640.0,0,1,0.0,23640,23640,AD
106,AD2704,20260601,,,,23540.0,0,0,0.0,23540,23540,AD
107,AD2705,20260601,,,,23540.0,0,0,0.0,23540,23540,AD
96,AD2606,20260602,22740,23120,22700,23020,111,387,2537.97,22860,22720,AD
97,AD2607,20260602,22945,23340,22850,23300,4569,6090,105597.835,23110,22890,AD
98,AD2608,20260602,23100,23550,23030,23500,9583,13454,223227.075,23290,23050,AD
99,AD2609,20260602,23280,23670,23280,23640,117,512,2753.695,23535,23165,AD
100,AD2610,20260602,23320,23695,23270,23695,53,150,1241.155,23415,23205,AD
101,AD2611,20260602,,,,23540,0,1,0.0,23540,23485,AD
102,AD2612,20260602,,,,23760,0,1,0.0,23760,23305,AD
103,AD2701,20260602,23780,23780,23780,23780,1,6,23.78,23780,23565,AD
104,AD2702,20260602,,,,23730,0,1,0.0,23730,23730,AD
105,AD2703,20260602,,,,23915,0,1,0.0,23915,23640,AD
106,AD2704,20260602,,,,23640,0,0,0.0,23640,23540,AD
107,AD2705,20260602,,,,23540,0,0,0.0,23540,23540,AD
96,AD2606,20260603,23005,23145,22900,22985.0,93,414,2138.835,22995,22860,AD
97,AD2607,20260603,23285,23285,22980,23080.0,2315,5900,53606.355,23155,23110,AD
98,AD2608,20260603,23470,23500,23170,23265.0,6903,13676,161252.085,23355,23290,AD
99,AD2609,20260603,23585,23610,23330,23350.0,52,519,1221.01,23480,23535,AD
100,AD2610,20260603,23645,23700,23385,23465.0,170,150,4019.38,23640,23415,AD
101,AD2611,20260603,,,,23540.0,0,1,0.0,23540,23540,AD
102,AD2612,20260603,,,,23760.0,0,1,0.0,23760,23760,AD
103,AD2701,20260603,23485,23505,23355,23370.0,6,6,140.725,23450,23780,AD
104,AD2702,20260603,,,,23730.0,0,1,0.0,23730,23730,AD
105,AD2703,20260603,,,,23915.0,0,1,0.0,23915,23915,AD
106,AD2704,20260603,,,,23640.0,0,0,0.0,23640,23640,AD
107,AD2705,20260603,,,,23540.0,0,0,0.0,23540,23540,AD
96,AD2606,20260604,23200,23690,22865,22880,54,420,1241.805,22995,22995,AD
97,AD2607,20260604,22930,23050,22920,22960,2117,5578,48628.435,22970,23155,AD
98,AD2608,20260604,23210,23215,23070,23100,6164,13849,142593.64,23130,23355,AD
99,AD2609,20260604,23260,23320,23195,23195,77,500,1790.965,23255,23480,AD
100,AD2610,20260604,23340,23390,23270,23285,20,155,466.625,23330,23640,AD
101,AD2611,20260604,,,,23540,0,1,0.0,23540,23540,AD
102,AD2612,20260604,,,,23660,0,1,0.0,23660,23760,AD
103,AD2701,20260604,23320,23365,23320,23365,4,2,93.335,23330,23450,AD
104,AD2702,20260604,23445,23445,23445,23445,1,0,23.445,23445,23730,AD
105,AD2703,20260604,23415,23415,23415,23415,1,0,23.415,23415,23915,AD
106,AD2704,20260604,,,,23640,0,0,0.0,23640,23640,AD
107,AD2705,20260604,,,,23540,0,0,0.0,23540,23540,AD
96,AD2606,20260605,22925,22970,22880,22880,57,432,1306.515,22920,22995,AD
97,AD2607,20260605,22880,23045,22880,22995,1399,5441,32142.585,22975,22970,AD
98,AD2608,20260605,23020,23180,23000,23115,6256,14040,144575.2,23105,23130,AD
99,AD2609,20260605,23220,23270,23160,23200,50,530,1160.425,23205,23255,AD
100,AD2610,20260605,23295,23325,23235,23235,45,182,1047.555,23275,23330,AD
101,AD2611,20260605,,,,23540,0,1,0.0,23540,23540,AD
102,AD2612,20260605,,,,23660,0,1,0.0,23660,23660,AD
103,AD2701,20260605,,,,23330,0,2,0.0,23330,23330,AD
104,AD2702,20260605,,,,23445,0,0,0.0,23445,23445,AD
105,AD2703,20260605,,,,23415,0,0,0.0,23415,23415,AD
106,AD2704,20260605,,,,23640,0,0,0.0,23640,23640,AD
107,AD2705,20260605,,,,23540,0,0,0.0,23540,23540,AD
96,AD2606,20260608,22800,22945,22610,22800,114,411,2596.215,22770,22920,AD
97,AD2607,20260608,22960,23015,22650,22885,2463,5284,56226.165,22825,22975,AD
98,AD2608,20260608,23095,23175,22780,22985,7906,14795,181524.815,22960,23105,AD
99,AD2609,20260608,23215,23220,22885,23030,262,697,6019.95,22975,23205,AD
100,AD2610,20260608,23205,23205,22920,23120,53,196,1223.015,23075,23275,AD
101,AD2611,20260608,,,,23455,0,1,0.0,23455,23540,AD
102,AD2612,20260608,,,,23555,0,1,0.0,23555,23660,AD
103,AD2701,20260608,,,,23330,0,2,0.0,23330,23330,AD
104,AD2702,20260608,,,,23445,0,0,0.0,23445,23445,AD
105,AD2703,20260608,,,,23415,0,0,0.0,23415,23415,AD
106,AD2704,20260608,,,,23600,0,0,0.0,23600,23640,AD
107,AD2705,20260608,,,,23540,0,0,0.0,23540,23540,AD
96,AD2606,20260609,22800,23095,22700,23095.0,27,420,616.005,22815,22770,AD
97,AD2607,20260609,22870,23135,22755,23045.0,1524,5084,34897.61,22895,22825,AD
98,AD2608,20260609,23065,23245,22845,23150.0,8280,15326,190415.44,22995,22960,AD
99,AD2609,20260609,23040,23240,22910,23200.0,327,795,7555.885,23105,22975,AD
100,AD2610,20260609,23130,23200,22955,23195.0,37,207,855.955,23130,23075,AD
101,AD2611,20260609,,,,23455.0,0,1,0.0,23455,23455,AD
102,AD2612,20260609,,,,23555.0,0,1,0.0,23555,23555,AD
103,AD2701,20260609,,,,23330.0,0,2,0.0,23330,23330,AD
104,AD2702,20260609,,,,23445.0,0,0,0.0,23445,23445,AD
105,AD2703,20260609,,,,23415.0,0,0,0.0,23415,23415,AD
106,AD2704,20260609,,,,23600.0,0,0,0.0,23600,23600,AD
107,AD2705,20260609,,,,23540.0,0,0,0.0,23540,23540,AD
96,AD2606,20260610,22850,22850,22850,22850,3,423,68.55,22850,22815,AD
97,AD2607,20260610,23025,23050,22840,22985,1374,4943,31519.17,22935,22895,AD
98,AD2608,20260610,23100,23155,22940,23070,8130,15471,187389.335,23045,22995,AD
99,AD2609,20260610,23145,23195,22990,23140,365,982,8427.775,23085,23105,AD
100,AD2610,20260610,23120,23170,23030,23120,125,275,2889.79,23115,23130,AD
101,AD2611,20260610,23105,23160,23105,23160,2,1,46.265,23130,23455,AD
102,AD2612,20260610,,,,23480,0,1,0.0,23480,23555,AD
103,AD2701,20260610,23165,23165,23165,23165,1,1,23.165,23165,23330,AD
104,AD2702,20260610,,,,23445,0,0,0.0,23445,23445,AD
105,AD2703,20260610,23710,23710,23155,23155,2,0,46.865,23430,23415,AD
106,AD2704,20260610,,,,23600,0,0,0.0,23600,23600,AD
107,AD2705,20260610,,,,23540,0,0,0.0,23540,23540,AD
