index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
24,AL2606,20260601,24260,24320,24160,24290.0,8554,51960,103691.82,24240,24260,AL
25,AL2607,20260601,24340,24410,24235,24360.0,175312,293773,2131750.9375,24315,24340,AL
26,AL2608,20260601,24400,24475,24310,24425.0,53546,168987,653110.5525,24390,24405,AL
27,AL2609,20260601,24430,24520,24360,24480.0,23245,95446,283935.5,24425,24445,AL
28,AL2610,20260601,24475,24550,24395,24510.0,2974,36911,36365.7175,24455,24475,AL
29,AL2611,20260601,24490,24555,24420,24525.0,1196,12468,14637.045,24475,24510,AL
30,AL2612,20260601,24520,24565,24425,24515.0,1894,11427,23194.62,24490,24525,AL
31,AL2701,20260601,24535,24590,24445,24545.0,355,5066,4348.955,24500,24555,AL
32,AL2702,20260601,24560,24640,24485,24555.0,234,2479,2872.62,24550,24575,AL
33,AL2703,20260601,24555,24625,24515,24605.0,129,3125,1584.7625,24565,24585,AL
34,AL2704,20260601,24610,24655,24520,24615.0,120,965,1475.7625,24595,24615,AL
35,AL2705,20260601,24590,24655,24555,24645.0,57,325,701.9075,24625,24625,AL
24,AL2606,20260602,24325,24745,24240,24740,23085,42005,283139.6375,24530,24240,AL
25,AL2607,20260602,24420,24840,24325,24825,345686,293598,4248999.715,24580,24315,AL
26,AL2608,20260602,24465,24895,24390,24880,133667,172401,1648201.67,24660,24390,AL
27,AL2609,20260602,24520,24930,24440,24910,47917,96229,591216.435,24675,24425,AL
28,AL2610,20260602,24575,24940,24455,24930,12362,37482,152775.56,24715,24455,AL
29,AL2611,20260602,24550,24940,24475,24915,3011,12505,37313.72,24780,24475,AL
30,AL2612,20260602,24570,24945,24480,24920,4797,11439,59326.455,24730,24490,AL
31,AL2701,20260602,24630,24950,24500,24935,629,5102,7777.4675,24725,24500,AL
32,AL2702,20260602,24540,24965,24530,24920,187,2480,2310.06,24705,24550,AL
33,AL2703,20260602,24645,24965,24545,24920,222,3125,2745.275,24730,24565,AL
34,AL2704,20260602,24685,24985,24580,24950,177,948,2196.245,24815,24595,AL
35,AL2705,20260602,24660,25000,24600,24990,156,320,1936.2875,24820,24625,AL
24,AL2606,20260603,24675,24740,24350,24425.0,9105,38590,111933.8,24585,24530,AL
25,AL2607,20260603,24800,24840,24440,24520.0,231773,284233,2858908.685,24665,24580,AL
26,AL2608,20260603,24860,24910,24520,24590.0,91102,174361,1126779.505,24735,24660,AL
27,AL2609,20260603,24850,24940,24565,24630.0,35983,97502,445791.035,24775,24675,AL
28,AL2610,20260603,24930,24955,24580,24655.0,10202,39324,126589.685,24815,24715,AL
29,AL2611,20260603,24870,24940,24570,24640.0,2595,12690,32188.8225,24805,24780,AL
30,AL2612,20260603,24895,24945,24570,24630.0,4070,12180,50491.9775,24810,24730,AL
31,AL2701,20260603,24875,24950,24590,24655.0,721,5280,8933.4975,24780,24725,AL
32,AL2702,20260603,24915,24950,24585,24660.0,170,2547,2107.3625,24790,24705,AL
33,AL2703,20260603,24980,24980,24610,24665.0,132,3130,1640.5275,24855,24730,AL
34,AL2704,20260603,24950,24965,24655,24740.0,77,951,954.9575,24800,24815,AL
35,AL2705,20260603,24990,25015,24680,24760.0,107,343,1329.8225,24855,24820,AL
24,AL2606,20260604,24380,24395,24225,24260,8565,34745,104032.4,24290,24585,AL
25,AL2607,20260604,24435,24485,24290,24315,205847,274711,2509435.9325,24380,24665,AL
26,AL2608,20260604,24525,24565,24365,24390,78149,180159,955305.6525,24445,24735,AL
27,AL2609,20260604,24500,24610,24420,24445,30158,98145,369425.5725,24495,24775,AL
28,AL2610,20260604,24565,24625,24445,24460,6614,38519,81082.965,24515,24815,AL
29,AL2611,20260604,24555,24620,24455,24470,1742,12721,21356.91,24515,24805,AL
30,AL2612,20260604,24565,24625,24455,24465,2193,12959,26872.9,24505,24810,AL
31,AL2701,20260604,24595,24630,24465,24485,620,5443,7600.85,24515,24780,AL
32,AL2702,20260604,24585,24625,24500,24500,162,2552,1987.95,24540,24790,AL
33,AL2703,20260604,24635,24635,24500,24520,250,3255,3071.04,24565,24855,AL
34,AL2704,20260604,24645,24675,24540,24565,72,963,884.7,24575,24800,AL
35,AL2705,20260604,24695,24695,24555,24595,69,364,849.5075,24620,24855,AL
24,AL2606,20260605,24220,24305,24170,24230,8625,31880,104495.8875,24230,24290,AL
25,AL2607,20260605,24250,24375,24225,24300,171912,271650,2088865.7125,24300,24380,AL
26,AL2608,20260605,24325,24445,24300,24365,85217,182125,1038317.12,24365,24445,AL
27,AL2609,20260605,24350,24500,24350,24415,29205,99612,356593.665,24420,24495,AL
28,AL2610,20260605,24380,24520,24350,24435,7396,39315,90382.0125,24440,24515,AL
29,AL2611,20260605,24390,24515,24365,24425,1895,12952,23158.8675,24440,24515,AL
30,AL2612,20260605,24420,24510,24380,24410,2534,13792,30958.52,24430,24505,AL
31,AL2701,20260605,24330,24530,24330,24430,468,5493,5722.1175,24450,24515,AL
32,AL2702,20260605,24485,24520,24440,24440,60,2543,734.2375,24470,24540,AL
33,AL2703,20260605,24465,24570,24450,24485,239,3257,2926.99,24490,24565,AL
34,AL2704,20260605,24550,24590,24480,24490,80,966,980.91,24520,24575,AL
35,AL2705,20260605,24580,24605,24500,24520,86,388,1054.715,24525,24620,AL
24,AL2606,20260608,24225,24230,23870,24040,15705,27295,188720.275,24030,24230,AL
25,AL2607,20260608,24300,24315,23900,24105,284854,268329,3431639.2575,24090,24300,AL
26,AL2608,20260608,24325,24380,23970,24185,149681,178769,1808141.5775,24155,24365,AL
27,AL2609,20260608,24415,24420,24030,24235,53318,105789,645465.9725,24210,24420,AL
28,AL2610,20260608,24405,24440,24065,24260,10146,39855,123019.0975,24245,24440,AL
29,AL2611,20260608,24415,24440,24065,24270,2278,13089,27609.8025,24240,24440,AL
30,AL2612,20260608,24425,24440,24055,24270,3052,14730,36988.96,24235,24430,AL
31,AL2701,20260608,24420,24455,24065,24310,1507,5957,18277.2175,24255,24450,AL
32,AL2702,20260608,24460,24460,24100,24310,650,2887,7891.825,24280,24470,AL
33,AL2703,20260608,24495,24495,24120,24390,451,3384,5485.0675,24320,24490,AL
34,AL2704,20260608,24470,24480,24150,24365,161,1020,1955.52,24290,24520,AL
35,AL2705,20260608,24515,24515,24180,24425,112,404,1362.8725,24335,24525,AL
24,AL2606,20260609,24040,24050,23860,24015.0,8945,24765,107147.2875,23955,24030,AL
25,AL2607,20260609,24150,24150,23950,24110.0,161003,264111,1936869.5925,24060,24090,AL
26,AL2608,20260609,24200,24220,24020,24175.0,75678,184362,912919.25,24125,24155,AL
27,AL2609,20260609,24240,24265,24080,24230.0,28132,107328,340077.8725,24175,24210,AL
28,AL2610,20260609,24300,24300,24115,24265.0,3651,39728,44196.2525,24210,24245,AL
29,AL2611,20260609,24290,24295,24115,24270.0,800,13171,9688.19,24220,24240,AL
30,AL2612,20260609,24270,24320,24120,24265.0,1781,15053,21560.8075,24210,24235,AL
31,AL2701,20260609,24275,24310,24150,24280.0,669,6329,8105.9225,24230,24255,AL
32,AL2702,20260609,24310,24350,24195,24325.0,113,2898,1372.6725,24295,24280,AL
33,AL2703,20260609,24390,24390,24200,24355.0,196,3401,2383.485,24320,24320,AL
34,AL2704,20260609,24350,24430,24235,24400.0,84,1048,1022.09,24335,24290,AL
35,AL2705,20260609,24385,24410,24225,24390.0,42,414,510.735,24320,24335,AL
24,AL2606,20260610,23970,23995,23740,23840,10085,21950,120050.0875,23805,23955,AL
25,AL2607,20260610,24040,24100,23825,23905,188353,261027,2254382.54,23935,24060,AL
26,AL2608,20260610,24100,24160,23890,23980,114094,194026,1369135.77,24000,24125,AL
27,AL2609,20260610,24165,24220,23955,24050,50449,110778,606788.0775,24055,24175,AL
28,AL2610,20260610,24200,24245,23995,24080,10974,41316,132245.55,24100,24210,AL
29,AL2611,20260610,24200,24250,24030,24135,3885,14747,46854.6775,24120,24220,AL
30,AL2612,20260610,24205,24255,24035,24130,2481,15803,29930.1175,24125,24210,AL
31,AL2701,20260610,24275,24280,24070,24170,1239,6826,14963.7975,24150,24230,AL
32,AL2702,20260610,24285,24285,24125,24195,400,3118,4836.4175,24180,24295,AL
33,AL2703,20260610,24350,24350,24165,24220,242,3454,2932.295,24230,24320,AL
34,AL2704,20260610,24295,24335,24190,24290,135,1066,1636.41,24240,24335,AL
