index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
12,BC2606,20260601,92970,92970,92750,92760.0,35,1920,1625.375,92870,92630,BC
13,BC2607,20260601,93000,93320,92540,92920.0,6050,10346,281006.655,92890,92980,BC
14,BC2608,20260601,92980,93360,92570,92990.0,1518,3874,70524.52,92910,93060,BC
15,BC2609,20260601,92670,93010,92510,92950.0,17,103,789.4,92870,93050,BC
16,BC2610,20260601,92690,93200,92690,93140.0,79,89,3665.605,92800,93150,BC
17,BC2611,20260601,,,,93400.0,0,2,0.0,93400,93400,BC
18,BC2612,20260601,,,,93070.0,0,1,0.0,93070,93070,BC
19,BC2701,20260601,,,,93100.0,0,0,0.0,93100,93100,BC
20,BC2702,20260601,,,,93030.0,0,0,0.0,93030,93030,BC
21,BC2703,20260601,,,,93260.0,0,0,0.0,93260,93260,BC
22,BC2704,20260601,,,,93050.0,0,1,0.0,93050,93050,BC
23,BC2705,20260601,,,,93880.0,0,1,0.0,93880,93880,BC
12,BC2606,20260602,94000,94000,94000,94000,5,1915,235.0,94000,92870,BC
13,BC2607,20260602,93960,94980,93310,94810,9901,10943,465755.715,94080,92890,BC
14,BC2608,20260602,94010,94810,93280,94720,2898,4437,136291.935,94050,92910,BC
15,BC2609,20260602,93910,94610,93290,94520,21,102,987.68,94060,92870,BC
16,BC2610,20260602,94040,94460,93520,94460,5,91,235.22,94080,92800,BC
17,BC2611,20260602,,,,93790,0,2,0.0,93790,93400,BC
18,BC2612,20260602,,,,93800,0,1,0.0,93800,93070,BC
19,BC2701,20260602,,,,94100,0,0,0.0,94100,93100,BC
20,BC2702,20260602,,,,94100,0,0,0.0,94100,93030,BC
21,BC2703,20260602,,,,94000,0,0,0.0,94000,93260,BC
22,BC2704,20260602,,,,94200,0,1,0.0,94200,93050,BC
23,BC2705,20260602,94580,96460,94580,95660,4,4,191.58,95790,93880,BC
12,BC2606,20260603,,,,94000.0,0,1915,0.0,94000,94000,BC
13,BC2607,20260603,94860,95510,94340,94570.0,7273,11353,345689.875,95060,94080,BC
14,BC2608,20260603,95100,95470,94230,94500.0,2195,4840,104328.245,95050,94050,BC
15,BC2609,20260603,94820,95230,94210,94300.0,27,115,1277.68,94640,94060,BC
16,BC2610,20260603,95040,95140,94990,95120.0,11,90,522.97,95080,94080,BC
17,BC2611,20260603,,,,93790.0,0,2,0.0,93790,93790,BC
18,BC2612,20260603,,,,94140.0,0,1,0.0,94140,93800,BC
19,BC2701,20260603,,,,94100.0,0,0,0.0,94100,94100,BC
20,BC2702,20260603,,,,94100.0,0,0,0.0,94100,94100,BC
21,BC2703,20260603,,,,94000.0,0,0,0.0,94000,94000,BC
22,BC2704,20260603,96260,96260,94800,94800.0,2,1,95.53,95530,94200,BC
23,BC2705,20260603,95780,95780,95780,95780.0,1,4,47.89,95780,95790,BC
12,BC2606,20260604,,,,94000,0,1915,0.0,94000,94000,BC
13,BC2607,20260604,94370,94710,93000,93300,7668,11187,360208.075,93950,95060,BC
14,BC2608,20260604,94580,94630,93110,93410,1979,5056,92969.635,93950,95050,BC
15,BC2609,20260604,93920,94140,93210,93210,38,117,1778.27,93590,94640,BC
16,BC2610,20260604,94040,94040,94040,94040,1,89,47.02,94040,95080,BC
17,BC2611,20260604,,,,93790,0,2,0.0,93790,93790,BC
18,BC2612,20260604,,,,94140,0,1,0.0,94140,94140,BC
19,BC2701,20260604,,,,94100,0,0,0.0,94100,94100,BC
20,BC2702,20260604,,,,94100,0,0,0.0,94100,94100,BC
21,BC2703,20260604,,,,94000,0,0,0.0,94000,94000,BC
22,BC2704,20260604,,,,94770,0,1,0.0,94770,95530,BC
23,BC2705,20260604,,,,95220,0,4,0.0,95220,95780,BC
12,BC2606,20260605,93710,93710,93710,93710,30,1945,1405.65,93710,94000,BC
13,BC2607,20260605,94280,94880,93090,93380,8286,11035,389445.415,94000,93950,BC
14,BC2608,20260605,94190,94820,93170,93370,2197,5188,103265.92,94000,93950,BC
15,BC2609,20260605,94330,94690,93260,93370,43,118,2021.725,94030,93590,BC
16,BC2610,20260605,93500,93500,93500,93500,1,89,46.75,93500,94040,BC
17,BC2611,20260605,,,,93790,0,2,0.0,93790,93790,BC
18,BC2612,20260605,,,,94140,0,1,0.0,94140,94140,BC
19,BC2701,20260605,,,,94100,0,0,0.0,94100,94100,BC
20,BC2702,20260605,,,,94100,0,0,0.0,94100,94100,BC
21,BC2703,20260605,,,,94000,0,0,0.0,94000,94000,BC
22,BC2704,20260605,,,,94530,0,1,0.0,94530,94770,BC
23,BC2705,20260605,95390,95390,94380,94380,2,3,94.885,94880,95220,BC
12,BC2606,20260608,92060,92060,92060,92060,5,1915,230.15,92060,93710,BC
13,BC2607,20260608,93070,93200,91670,92260,9869,10890,455452.9,92290,94000,BC
14,BC2608,20260608,92970,93220,91730,92340,3145,5275,145267.33,92370,94000,BC
15,BC2609,20260608,93060,93060,92200,92210,13,118,600.31,92350,94030,BC
16,BC2610,20260608,92190,92190,92020,92020,4,91,184.21,92100,93500,BC
17,BC2611,20260608,,,,93250,0,2,0.0,93250,93790,BC
18,BC2612,20260608,,,,93310,0,1,0.0,93310,94140,BC
19,BC2701,20260608,,,,93270,0,0,0.0,93270,94100,BC
20,BC2702,20260608,,,,93760,0,0,0.0,93760,94100,BC
21,BC2703,20260608,,,,93850,0,0,0.0,93850,94000,BC
22,BC2704,20260608,,,,93860,0,1,0.0,93860,94530,BC
23,BC2705,20260608,,,,93990,0,3,0.0,93990,94880,BC
12,BC2606,20260609,,,,92060.0,0,1915,0.0,92060,92060,BC
13,BC2607,20260609,93080,93100,92040,92710.0,8121,11160,375883.095,92570,92290,BC
14,BC2608,20260609,92940,92960,92130,92790.0,1548,5410,71683.19,92610,92370,BC
15,BC2609,20260609,92700,92830,92110,92830.0,18,124,832.075,92450,92350,BC
16,BC2610,20260609,,,,92100.0,0,91,0.0,92100,92100,BC
17,BC2611,20260609,,,,93250.0,0,2,0.0,93250,93250,BC
18,BC2612,20260609,,,,93300.0,0,1,0.0,93300,93310,BC
19,BC2701,20260609,91270,92290,91270,92290.0,3,2,137.43,91620,93270,BC
20,BC2702,20260609,,,,93760.0,0,0,0.0,93760,93760,BC
21,BC2703,20260609,,,,93850.0,0,0,0.0,93850,93850,BC
22,BC2704,20260609,,,,93860.0,0,1,0.0,93860,93860,BC
23,BC2705,20260609,,,,93990.0,0,3,0.0,93990,93990,BC
12,BC2606,20260610,,,,92060,0,1915,0.0,92060,92060,BC
13,BC2607,20260610,93210,93740,91790,92260,9428,11057,436884.47,92670,92570,BC
14,BC2608,20260610,93130,93830,91860,92400,2576,5829,119216.35,92550,92610,BC
15,BC2609,20260610,93450,93620,91970,92200,51,136,2365.41,92760,92450,BC
16,BC2610,20260610,93400,93400,92290,92320,8,91,371.35,92830,92100,BC
17,BC2611,20260610,,,,92700,0,2,0.0,92700,93250,BC
18,BC2612,20260610,,,,92750,0,1,0.0,92750,93300,BC
19,BC2701,20260610,,,,91620,0,2,0.0,91620,91620,BC
20,BC2702,20260610,,,,92850,0,0,0.0,92850,93760,BC
21,BC2703,20260610,,,,93660,0,0,0.0,93660,93850,BC
22,BC2704,20260610,,,,93810,0,1,0.0,93810,93860,BC
23,BC2705,20260610,,,,93930,0,3,0.0,93930,93990,BC
