index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
236,BR2606,20260601,14455,14775,14260,14660.0,1933,1732,14025.1725,14510,14345,BR
237,BR2607,20260601,14510,14925,14365,14815.0,234324,51123,1719713.075,14675,14440,BR
238,BR2608,20260601,14580,14950,14425,14875.0,19134,25032,141166.2875,14755,14500,BR
239,BR2609,20260601,14530,14975,14445,14890.0,61538,48662,454242.41,14760,14500,BR
240,BR2610,20260601,14560,14955,14455,14915.0,937,4146,6917.9425,14765,14500,BR
241,BR2611,20260601,14505,14910,14485,14880.0,65,533,478.9325,14735,14425,BR
242,BR2612,20260601,14565,14845,14565,14725.0,18,83,132.6275,14735,14425,BR
243,BR2701,20260601,14560,14920,14490,14920.0,210,863,1548.685,14745,14490,BR
244,BR2702,20260601,14530,14890,14530,14890.0,14,21,103.2725,14750,14475,BR
245,BR2703,20260601,14520,14810,14430,14810.0,22,45,161.54,14685,14430,BR
246,BR2704,20260601,14490,14790,14490,14790.0,8,43,58.63,14655,14490,BR
247,BR2705,20260601,14530,14675,14510,14650.0,5,31,36.4475,14575,14290,BR
236,BR2606,20260602,14660,14720,14285,14555,766,1542,5580.785,14570,14510,BR
237,BR2607,20260602,14765,14880,14530,14700,210446,48533,1548323.2325,14710,14675,BR
238,BR2608,20260602,14830,14925,14565,14715,23261,25648,171592.1975,14750,14755,BR
239,BR2609,20260602,14800,14935,14565,14730,61351,46244,452677.57,14755,14760,BR
240,BR2610,20260602,14825,14915,14570,14710,1201,4672,8846.865,14730,14765,BR
241,BR2611,20260602,14695,14840,14615,14680,394,497,2893.25,14685,14735,BR
242,BR2612,20260602,14720,14810,14700,14705,7,83,51.57,14730,14735,BR
243,BR2701,20260602,14750,14890,14550,14685,187,891,1375.9,14715,14745,BR
244,BR2702,20260602,14730,14730,14630,14630,4,21,29.4,14700,14750,BR
245,BR2703,20260602,14645,14725,14645,14665,4,47,29.35,14675,14685,BR
246,BR2704,20260602,14645,14645,14645,14645,1,42,7.3225,14645,14655,BR
