index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
0,CU2606,20260601,104520,104980,104180,104610.0,14397,49970,753680.19,104690,104770,CU
1,CU2607,20260601,104630,105030,104220,104680.0,71092,177344,3720828.55,104670,104840,CU
2,CU2608,20260601,104750,105090,104340,104750.0,22468,112948,1177116.04,104780,104950,CU
3,CU2609,20260601,104690,105050,104310,104740.0,10918,75684,571771.515,104730,104930,CU
4,CU2610,20260601,104740,105030,104310,104730.0,2541,24265,133094.02,104750,104880,CU
5,CU2611,20260601,104610,105040,104290,104750.0,605,13622,31673.925,104700,104840,CU
6,CU2612,20260601,104790,105000,104240,104690.0,2777,29244,145356.36,104680,104800,CU
7,CU2701,20260601,104530,104950,104110,104710.0,1490,11985,78029.41,104730,104800,CU
8,CU2702,20260601,104340,104980,104250,104710.0,144,4973,7532.455,104610,104720,CU
9,CU2703,20260601,104500,104900,104200,104700.0,222,8993,11604.555,104540,104860,CU
10,CU2704,20260601,104580,104920,104200,104710.0,142,6273,7424.055,104560,104820,CU
11,CU2705,20260601,104550,104820,104220,104800.0,29,797,1515.56,104520,104940,CU
0,CU2606,20260602,105780,106520,105040,106460,23930,42365,1268790.275,106040,104690,CU
1,CU2607,20260602,105850,106720,105090,106620,125209,191344,6635529.365,105990,104670,CU
2,CU2608,20260602,105960,106770,105150,106710,44925,117714,2383576.36,106110,104780,CU
3,CU2609,20260602,106000,106740,105130,106670,19230,77947,1019668.14,106040,104730,CU
4,CU2610,20260602,105800,106710,105140,106670,4183,25160,221860.69,106070,104750,CU
5,CU2611,20260602,105680,106680,105130,106610,1432,13752,75879.645,105970,104700,CU
6,CU2612,20260602,105870,106670,105060,106560,5016,29952,265867.385,106000,104680,CU
7,CU2701,20260602,105690,106710,105060,106530,1315,11530,69781.865,106130,104730,CU
8,CU2702,20260602,105630,106600,105160,106500,176,4938,9316.895,105870,104610,CU
9,CU2703,20260602,105880,106500,105000,106410,756,8938,40055.64,105960,104540,CU
10,CU2704,20260602,105660,106580,105100,106520,409,6208,21704.855,106130,104560,CU
11,CU2705,20260602,105600,106560,105100,106530,99,810,5243.1,105920,104520,CU
0,CU2606,20260603,106530,107200,106000,106280.0,16095,37890,858408.425,106660,106040,CU
1,CU2607,20260603,106720,107420,106080,106380.0,105625,187857,5644268.345,106870,105990,CU
2,CU2608,20260603,106800,107510,106190,106460.0,43177,124549,2308749.48,106940,106110,CU
3,CU2609,20260603,106900,107460,106140,106410.0,15068,80281,805402.765,106900,106040,CU
4,CU2610,20260603,106800,107470,106130,106440.0,3147,25043,168063.715,106800,106070,CU
5,CU2611,20260603,106940,107420,106110,106340.0,930,13740,49652.62,106770,105970,CU
6,CU2612,20260603,106700,107400,106050,106320.0,4963,30609,265068.46,106810,106000,CU
7,CU2701,20260603,106880,107370,106030,106320.0,408,11417,21775.565,106740,106130,CU
8,CU2702,20260603,106590,107240,106010,106300.0,177,4926,9447.245,106740,105870,CU
9,CU2703,20260603,106410,107240,105940,106260.0,410,9012,21887.045,106760,105960,CU
10,CU2704,20260603,106790,107320,105930,106300.0,311,6245,16593.49,106710,106130,CU
11,CU2705,20260603,106880,107240,105890,106230.0,95,823,5068.665,106700,105920,CU
0,CU2606,20260604,106210,106420,104760,105090,20510,35215,1080868.2,105390,106660,CU
1,CU2607,20260604,106360,106540,104800,105150,102681,177479,5423658.13,105640,106870,CU
2,CU2608,20260604,106290,106620,104890,105270,42146,121318,2227796.76,105710,106940,CU
3,CU2609,20260604,106210,106600,104890,105250,16241,80194,858528.655,105720,106900,CU
4,CU2610,20260604,106200,106550,104910,105230,2596,25467,137131.015,105640,106800,CU
5,CU2611,20260604,106260,106530,104920,105390,943,13900,49850.81,105720,106770,CU
6,CU2612,20260604,106100,106500,104880,105260,3190,31008,168424.9,105590,106810,CU
7,CU2701,20260604,106320,106460,104870,105180,329,11381,17367.215,105570,106740,CU
8,CU2702,20260604,106410,106410,104900,105150,214,5022,11310.755,105700,106740,CU
9,CU2703,20260604,106350,106540,104840,105190,755,9210,39866.59,105600,106760,CU
10,CU2704,20260604,106400,106400,104890,105180,203,6336,10729.295,105700,106710,CU
11,CU2705,20260604,106350,106380,104930,105250,129,862,6813.26,105630,106700,CU
0,CU2606,20260605,106010,106680,104860,105170,17530,30595,923060.225,105310,105390,CU
1,CU2607,20260605,106080,106810,104900,105150,110386,173561,5837136.345,105750,105640,CU
2,CU2608,20260605,106190,106890,105010,105240,44354,122679,2348260.885,105880,105710,CU
3,CU2609,20260605,106250,106860,105040,105300,17423,80882,921953.155,105830,105720,CU
4,CU2610,20260605,106060,106860,105050,105340,3337,25468,176426.925,105730,105640,CU
5,CU2611,20260605,106060,106810,105000,105250,2343,14878,123633.58,105530,105720,CU
6,CU2612,20260605,105890,106800,105000,105200,2633,31132,139138.97,105680,105590,CU
7,CU2701,20260605,106110,106790,104950,105290,468,11368,24728.41,105670,105570,CU
8,CU2702,20260605,106280,106680,105150,105180,136,4999,7188.875,105710,105700,CU
9,CU2703,20260605,106100,106700,104920,105200,490,9177,25944.67,105890,105600,CU
10,CU2704,20260605,106150,106660,105000,105270,113,6335,5962.76,105530,105700,CU
11,CU2705,20260605,106390,106720,104940,105310,108,895,5700.185,105550,105630,CU
0,CU2606,20260608,104910,104910,103360,104120,27110,24590,1410003.875,104020,105310,CU
1,CU2607,20260608,104790,105000,103350,104120,133752,163456,6960190.91,104070,105750,CU
2,CU2608,20260608,104820,105080,103360,104140,62709,119850,3265024.13,104130,105880,CU
3,CU2609,20260608,104990,105100,103330,104140,28003,80967,1457170.415,104070,105830,CU
4,CU2610,20260608,104910,105120,103280,104060,7208,27293,375066.985,104060,105730,CU
5,CU2611,20260608,104960,105080,103250,104100,3375,15610,175526.17,104010,105530,CU
6,CU2612,20260608,104990,105030,103210,104070,6765,31661,351759.55,103990,105680,CU
7,CU2701,20260608,105000,105000,103220,104000,1057,11430,54934.605,103940,105670,CU
8,CU2702,20260608,104760,104980,103260,103990,527,5176,27385.87,103930,105710,CU
9,CU2703,20260608,104880,105140,103200,103900,2310,10618,120158.08,104030,105890,CU
10,CU2704,20260608,104740,104770,103200,103930,277,6484,14386.45,103870,105530,CU
11,CU2705,20260608,104970,104970,103300,103880,221,965,11488.38,103960,105550,CU
0,CU2606,20260609,104750,104750,103880,104620.0,11880,20475,619213.7,104240,104020,CU
1,CU2607,20260609,104780,104870,103900,104650.0,83818,161032,4376124.715,104410,104070,CU
2,CU2608,20260609,104760,104870,103920,104680.0,36789,119192,1921342.76,104450,104130,CU
3,CU2609,20260609,104800,104850,103880,104690.0,14249,82249,744056.555,104430,104070,CU
4,CU2610,20260609,104900,104900,103910,104660.0,4088,28238,213438.125,104420,104060,CU
5,CU2611,20260609,104670,104790,103920,104620.0,1448,15927,75568.435,104370,104010,CU
6,CU2612,20260609,104710,104740,103870,104580.0,2777,31979,144958.42,104390,103990,CU
7,CU2701,20260609,104580,104690,103830,104530.0,700,11583,36478.525,104220,103940,CU
8,CU2702,20260609,104620,104640,103850,104460.0,382,5261,19904.36,104210,103930,CU
9,CU2703,20260609,104500,104610,103740,104430.0,1400,11187,72969.6,104240,104030,CU
10,CU2704,20260609,104440,104600,103930,104510.0,385,6561,20059.615,104200,103870,CU
11,CU2705,20260609,104400,104670,103910,104450.0,521,1191,27189.61,104370,103960,CU
0,CU2606,20260610,105200,105580,103610,104050,12145,17535,632047.0,104080,104240,CU
1,CU2607,20260610,105210,105680,103600,104110,117195,159899,6122593.955,104480,104410,CU
2,CU2608,20260610,105280,105720,103600,104100,53886,120937,2816268.495,104520,104450,CU
3,CU2609,20260610,105060,105670,103610,104150,23225,84328,1213207.685,104470,104430,CU
4,CU2610,20260610,105160,105660,103610,104150,6135,28745,320262.65,104400,104420,CU
5,CU2611,20260610,105230,105600,103600,104060,2210,16349,115232.03,104280,104370,CU
6,CU2612,20260610,104930,105540,103560,104020,4138,32423,216006.935,104400,104390,CU
7,CU2701,20260610,105120,105480,103480,104050,821,11541,42665.92,103930,104220,CU
8,CU2702,20260610,105180,105320,103520,104040,340,5306,17667.455,103920,104210,CU
9,CU2703,20260610,105000,105410,103420,103810,1308,11385,68032.82,104020,104240,CU
10,CU2704,20260610,105290,105340,103460,104000,446,6825,23187.32,103970,104200,CU
11,CU2705,20260610,105110,105380,103420,104050,434,1201,22612.05,104200,104370,CU
