index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
60,NI2606,20260601,143200,143320,141550,142940.0,3595,20334,51313.003,142730,143510,NI
61,NI2607,20260601,143850,144120,142200,143580.0,233187,124040,3339887.13,143220,144120,NI
62,NI2608,20260601,144050,144600,142730,144040.0,25321,62496,363981.403,143740,144600,NI
63,NI2609,20260601,145260,145260,143250,144620.0,46708,94028,673825.976,144260,145160,NI
64,NI2610,20260601,145460,145520,143700,145050.0,2670,9100,38636.555,144700,145630,NI
65,NI2611,20260601,145720,145780,144210,145330.0,571,2023,8279.076,144990,145900,NI
66,NI2612,20260601,146480,146480,144450,145840.0,787,6233,11448.622,145470,146200,NI
67,NI2701,20260601,146390,146490,144920,146030.0,336,1763,4899.888,145830,146610,NI
68,NI2702,20260601,145850,146670,145430,146320.0,35,435,511.385,146110,146990,NI
69,NI2703,20260601,146780,147190,145800,146970.0,26,690,381.368,146680,147410,NI
70,NI2704,20260601,147700,147700,146120,147350.0,76,396,1117.805,147070,147760,NI
71,NI2705,20260601,147810,148020,146840,147630.0,134,486,1977.079,147540,148140,NI
60,NI2606,20260602,143820,144970,142750,144260,3348,19572,48190.05,143930,142730,NI
61,NI2607,20260602,144380,145600,143080,144850,290015,122571,4193468.239,144590,143220,NI
62,NI2608,20260602,145020,146020,143600,145290,33214,64008,481802.968,145060,143740,NI
63,NI2609,20260602,145330,146530,144060,145800,61360,94403,893142.095,145550,144260,NI
64,NI2610,20260602,145940,146940,144540,146130,4211,9481,61481.133,146000,144700,NI
65,NI2611,20260602,146000,147370,145000,146660,527,2087,7714.517,146380,144990,NI
66,NI2612,20260602,146520,147760,145370,147020,891,6215,13079.374,146790,145470,NI
67,NI2701,20260602,147020,147990,145670,147250,322,1741,4737.111,147110,145830,NI
68,NI2702,20260602,146810,148320,146500,147530,67,462,988.204,147490,146110,NI
69,NI2703,20260602,147560,149030,146340,147890,42,687,622.225,148140,146680,NI
70,NI2704,20260602,147920,149320,147060,148320,39,401,578.481,148320,147070,NI
71,NI2705,20260602,148460,149440,147390,148810,46,495,683.952,148680,147540,NI
60,NI2606,20260603,144760,145190,142220,142420.0,2004,19164,28801.758,143720,143930,NI
61,NI2607,20260603,145200,145880,142750,143070.0,259322,129792,3738283.591,144150,144590,NI
62,NI2608,20260603,146150,146370,143290,143580.0,33961,67907,491119.667,144610,145060,NI
63,NI2609,20260603,146300,146830,143760,144100.0,54745,99272,794830.835,145180,145550,NI
64,NI2610,20260603,146490,147170,144240,144550.0,3680,9765,53581.913,145600,146000,NI
65,NI2611,20260603,146520,147600,144740,145010.0,430,2127,6279.643,146030,146380,NI
66,NI2612,20260603,147300,147960,145060,145400.0,889,6408,12997.867,146200,146790,NI
67,NI2701,20260603,147440,148200,145500,145740.0,405,1790,5931.882,146460,147110,NI
68,NI2702,20260603,148100,148500,145770,146010.0,42,466,616.439,146770,147490,NI
69,NI2703,20260603,148970,148970,146000,146450.0,18,688,264.579,146980,148140,NI
70,NI2704,20260603,148310,148310,146800,146800.0,17,397,250.485,147340,148320,NI
71,NI2705,20260603,149140,149530,147030,147160.0,76,488,1123.224,147790,148680,NI
60,NI2606,20260604,142000,142040,136140,138120,2916,19638,40757.298,139770,143720,NI
61,NI2607,20260604,142440,142730,138500,138770,285290,142024,4017072.806,140800,144150,NI
62,NI2608,20260604,142800,143270,139180,139330,40417,74153,570726.911,141200,144610,NI
63,NI2609,20260604,143250,143760,139610,139750,68771,104106,974515.027,141700,145180,NI
64,NI2610,20260604,143730,144170,140110,140310,5039,10230,71610.488,142110,145600,NI
65,NI2611,20260604,144250,144490,140570,140650,774,2358,11020.1,142370,146030,NI
66,NI2612,20260604,144630,144980,140800,141050,1533,6832,21886.53,142760,146200,NI
67,NI2701,20260604,145060,145850,141390,141480,667,1941,9565.601,143410,146460,NI
68,NI2702,20260604,145600,145600,141760,141940,58,498,830.603,143200,146770,NI
69,NI2703,20260604,145000,145300,142160,142210,54,695,779.023,144260,146980,NI
70,NI2704,20260604,146170,146170,142900,142910,44,395,634.753,144260,147340,NI
71,NI2705,20260604,146340,146710,143470,143470,76,542,1101.769,144960,147790,NI
60,NI2606,20260605,138170,138600,137220,138040,2796,18564,38580.132,137980,139770,NI
61,NI2607,20260605,139010,139400,137700,138490,202537,137487,2810108.039,138740,140800,NI
62,NI2608,20260605,139500,139910,138240,139000,29194,73139,406515.849,139240,141200,NI
63,NI2609,20260605,139980,140460,138700,139440,40307,104853,563139.585,139710,141700,NI
64,NI2610,20260605,140680,140870,139200,140000,2531,10475,35465.066,140120,142110,NI
65,NI2611,20260605,141270,141390,139640,140480,584,2410,8209.913,140580,142370,NI
66,NI2612,20260605,141450,141740,140060,140790,1089,6897,15347.156,140920,142760,NI
67,NI2701,20260605,142110,142130,140560,141310,650,2152,9191.358,141400,143410,NI
68,NI2702,20260605,142090,142390,141000,141640,39,520,553.601,141940,143200,NI
69,NI2703,20260605,142660,142700,141350,142340,58,719,824.5,142150,144260,NI
70,NI2704,20260605,142550,143450,141890,142600,69,390,984.045,142610,144260,NI
71,NI2705,20260605,143300,143750,142120,142860,166,516,2374.952,143060,144960,NI
60,NI2606,20260608,138040,139840,137790,138250,2286,18606,31648.854,138440,137980,NI
61,NI2607,20260608,138650,140520,138200,139090,275398,129025,3834003.732,139210,138740,NI
62,NI2608,20260608,139040,140990,138710,139590,37246,72529,520330.071,139700,139240,NI
63,NI2609,20260608,140000,141510,139170,140100,63467,103829,890122.575,140240,139710,NI
64,NI2610,20260608,140740,141940,139650,140590,3641,10424,51223.419,140680,140120,NI
65,NI2611,20260608,141920,142280,140080,141070,437,2398,6163.446,141030,140580,NI
66,NI2612,20260608,141090,142730,140320,141290,1013,6730,14317.547,141330,140920,NI
67,NI2701,20260608,141490,143000,140780,141710,394,2169,5590.257,141880,141400,NI
68,NI2702,20260608,142210,143270,141310,141650,27,518,384.208,142290,141940,NI
69,NI2703,20260608,142150,143630,141750,142650,95,723,1352.756,142390,142150,NI
70,NI2704,20260608,142850,143960,142340,142560,33,390,472.626,143220,142610,NI
71,NI2705,20260608,143530,144880,142590,143400,248,588,3563.314,143680,143060,NI
60,NI2606,20260609,136810,137280,136000,137000.0,126,18576,1724.526,136860,138440,NI
61,NI2607,20260609,138530,138840,135700,137620.0,264765,128286,3639473.596,137460,139210,NI
62,NI2608,20260609,139000,139380,136200,138100.0,36758,73545,506790.067,137870,139700,NI
63,NI2609,20260609,139600,139860,136750,138600.0,64953,105867,899105.268,138420,140240,NI
64,NI2610,20260609,140150,140290,137260,139130.0,3111,10601,43181.885,138800,140680,NI
65,NI2611,20260609,141070,141070,137730,139560.0,466,2438,6492.9,139330,141030,NI
66,NI2612,20260609,140920,141160,138120,139870.0,921,6801,12851.584,139530,141330,NI
67,NI2701,20260609,141050,141050,138600,140250.0,595,2308,8326.99,139940,141880,NI
68,NI2702,20260609,141320,141320,139060,140550.0,69,555,963.728,139670,142290,NI
69,NI2703,20260609,141320,141320,139320,140990.0,23,723,322.969,140420,142390,NI
70,NI2704,20260609,141170,141610,139670,141320.0,19,391,266.983,140510,143220,NI
71,NI2705,20260609,142800,142800,140050,142000.0,144,557,2041.719,141780,143680,NI
60,NI2606,20260610,135000,135000,133440,134350,978,18090,13174.644,134710,136860,NI
61,NI2607,20260610,136720,137010,133600,135100,230768,128915,3124415.084,135390,137460,NI
62,NI2608,20260610,137400,137500,134110,135610,39406,77235,534904.738,135740,137870,NI
63,NI2609,20260610,138000,138000,134580,136080,60778,108259,828019.07,136230,138420,NI
64,NI2610,20260610,138980,138980,135080,136480,3486,10854,47651.839,136690,138800,NI
65,NI2611,20260610,138800,138880,135540,137020,901,2607,12339.038,136940,139330,NI
66,NI2612,20260610,138840,139270,136000,137420,1227,6864,16857.427,137380,139530,NI
67,NI2701,20260610,139420,139610,136350,137670,641,2441,8814.371,137500,139940,NI
68,NI2702,20260610,139400,139640,137000,137760,63,596,868.175,137800,139670,NI
69,NI2703,20260610,139880,140130,137240,138210,69,719,955.327,138450,140420,NI
70,NI2704,20260610,140230,140520,138000,138280,50,382,695.17,139030,140510,NI
