index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
258,NR2606,20260601,15180,15635,15180,15635.0,160,1080,2462.6,15390,15195,NR
259,NR2607,20260601,15275,15760,15225,15685.0,113529,43697,1757952.725,15480,15280,NR
260,NR2608,20260601,15370,15795,15335,15730.0,70324,57357,1093246.02,15545,15360,NR
261,NR2609,20260601,15420,15770,15385,15715.0,19190,18039,299094.59,15585,15415,NR
262,NR2610,20260601,15505,15780,15485,15725.0,2067,1551,32365.18,15655,15485,NR
263,NR2611,20260601,15570,15830,15570,15785.0,186,360,2924.245,15720,15585,NR
264,NR2612,20260601,15650,15915,15650,15885.0,253,427,4002.01,15815,15685,NR
265,NR2701,20260601,15750,16035,15720,15955.0,5617,8191,89291.885,15895,15795,NR
266,NR2702,20260601,15915,15915,15915,15915.0,1,5,15.915,15915,15780,NR
267,NR2703,20260601,15905,16065,15880,15995.0,9,15,143.6,15955,15865,NR
268,NR2704,20260601,15945,16095,15945,16020.0,12,28,192.175,16010,15915,NR
269,NR2705,20260601,15995,16145,15995,16050.0,7,8,112.495,16070,15920,NR
258,NR2606,20260602,15595,15650,15320,15650,300,840,4666.9,15555,15390,NR
259,NR2607,20260602,15595,15835,15365,15760,113639,36976,1771251.995,15585,15480,NR
260,NR2608,20260602,15600,15915,15425,15840,88473,66161,1387017.945,15675,15545,NR
261,NR2609,20260602,15605,15925,15440,15835,22276,20192,349824.875,15700,15585,NR
262,NR2610,20260602,15550,15965,15510,15900,6440,3569,101489.455,15755,15655,NR
263,NR2611,20260602,15710,16090,15640,16025,3731,2585,59263.17,15880,15720,NR
264,NR2612,20260602,15810,16115,15750,16110,107,391,1698.705,15875,15815,NR
265,NR2701,20260602,15815,16235,15770,16165,8309,10255,133353.82,16045,15895,NR
266,NR2702,20260602,15845,16195,15845,16195,6,9,96.06,16010,15915,NR
267,NR2703,20260602,15960,16255,15960,16225,7,19,113.005,16140,15955,NR
268,NR2704,20260602,15990,16250,15970,16250,9,33,144.865,16095,16010,NR
269,NR2705,20260602,15985,16280,15920,16260,15,18,242.51,16165,16070,NR
258,NR2606,20260603,15670,15800,15670,15710.0,180,790,2832.7,15735,15555,NR
259,NR2607,20260603,15760,16070,15700,15805.0,99972,33026,1584154.77,15845,15585,NR
260,NR2608,20260603,15790,16135,15765,15865.0,88791,70141,1412569.655,15905,15675,NR
261,NR2609,20260603,15770,16130,15750,15855.0,21706,22118,345230.045,15900,15700,NR
262,NR2610,20260603,15860,16160,15795,15895.0,10460,6398,166852.865,15950,15755,NR
263,NR2611,20260603,16025,16300,15920,16030.0,4253,4781,68402.095,16080,15880,NR
264,NR2612,20260603,16095,16315,15965,16055.0,295,333,4759.825,16135,15875,NR
265,NR2701,20260603,16010,16380,16000,16090.0,5425,11108,87765.765,16175,16045,NR
266,NR2702,20260603,16150,16300,16140,16140.0,12,14,194.785,16230,16010,NR
267,NR2703,20260603,16215,16265,16215,16265.0,3,22,48.74,16245,16140,NR
268,NR2704,20260603,16295,16350,16200,16200.0,10,34,162.86,16285,16095,NR
269,NR2705,20260603,16290,16795,16220,16245.0,20,20,326.925,16345,16165,NR
258,NR2606,20260604,15620,15685,15375,15490,170,750,2637.2,15510,15735,NR
259,NR2607,20260604,15750,15835,15295,15525,93624,25219,1454375.335,15530,15845,NR
260,NR2608,20260604,15830,15900,15380,15575,106609,68025,1663386.38,15600,15905,NR
261,NR2609,20260604,15855,15880,15395,15580,28496,21110,444350.34,15590,15900,NR
262,NR2610,20260604,15835,15900,15445,15620,5576,7316,87194.095,15635,15950,NR
263,NR2611,20260604,15955,16015,15565,15750,923,5075,14498.505,15705,16080,NR
264,NR2612,20260604,16020,16060,15665,15705,27,326,428.92,15885,16135,NR
265,NR2701,20260604,16050,16120,15670,15840,3527,11011,56092.99,15900,16175,NR
266,NR2702,20260604,16055,16060,15835,15835,6,15,95.705,15950,16230,NR
267,NR2703,20260604,16130,16130,15815,15815,7,23,111.525,15930,16245,NR
268,NR2704,20260604,16180,16180,15850,15850,9,30,143.66,15960,16285,NR
269,NR2705,20260604,16290,16295,15905,16005,16,13,257.355,16080,16345,NR
258,NR2606,20260605,15535,15535,15390,15460,60,750,927.2,15450,15510,NR
259,NR2607,20260605,15525,15615,15350,15460,38718,21127,599690.345,15485,15530,NR
