index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
48,PB2606,20260601,16470,16585,16250,16535.0,580,5580,4794.65,16530,16495,PB
49,PB2607,20260601,16580,16625,16525,16560.0,47446,64996,393140.8025,16570,16550,PB
50,PB2608,20260601,16580,16650,16555,16590.0,11956,33756,99240.385,16600,16590,PB
51,PB2609,20260601,16670,16705,16610,16640.0,739,5578,6152.0875,16645,16635,PB
52,PB2610,20260601,16685,16735,16660,16675.0,12,134,100.11,16685,16655,PB
53,PB2611,20260601,16785,16785,16670,16710.0,8,133,66.925,16730,16700,PB
54,PB2612,20260601,,,,16740.0,0,83,0.0,16740,16740,PB
55,PB2701,20260601,,,,16790.0,0,180,0.0,16790,16830,PB
56,PB2702,20260601,,,,16855.0,0,23,0.0,16855,16855,PB
57,PB2703,20260601,,,,16860.0,0,24,0.0,16860,16860,PB
58,PB2704,20260601,,,,16835.0,0,19,0.0,16835,16870,PB
59,PB2705,20260601,16845,16855,16845,16855.0,2,12,16.85,16850,16840,PB
48,PB2606,20260602,16550,16575,16515,16550,865,5220,7154.775,16540,16530,PB
49,PB2607,20260602,16565,16610,16535,16600,49871,63994,413351.6525,16575,16570,PB
50,PB2608,20260602,16600,16635,16550,16610,13245,35539,109917.7175,16595,16600,PB
51,PB2609,20260602,16660,16675,16605,16660,940,5644,7823.135,16640,16645,PB
52,PB2610,20260602,16660,16695,16645,16695,3,135,25.0,16665,16685,PB
53,PB2611,20260602,16700,16700,16680,16680,6,134,50.0675,16685,16730,PB
54,PB2612,20260602,,,,16740,0,83,0.0,16740,16740,PB
55,PB2701,20260602,16790,16790,16780,16780,3,180,25.175,16780,16790,PB
56,PB2702,20260602,16780,16815,16750,16750,5,24,41.9475,16775,16855,PB
57,PB2703,20260602,16850,16850,16775,16775,3,26,25.21,16805,16860,PB
58,PB2704,20260602,,,,16835,0,19,0.0,16835,16835,PB
59,PB2705,20260602,,,,16850,0,12,0.0,16850,16850,PB
48,PB2606,20260603,16550,16625,16550,16565.0,560,4840,4648.2375,16600,16540,PB
49,PB2607,20260603,16630,16720,16600,16635.0,62242,61148,518144.9975,16645,16575,PB
50,PB2608,20260603,16640,16730,16620,16670.0,18378,34268,153172.11,16665,16595,PB
51,PB2609,20260603,16670,16770,16665,16725.0,1041,5374,8694.15,16700,16640,PB
52,PB2610,20260603,16795,16795,16755,16755.0,2,134,16.775,16775,16665,PB
53,PB2611,20260603,16765,16765,16765,16765.0,5,134,41.9125,16765,16685,PB
54,PB2612,20260603,16810,16830,16785,16790.0,5,83,42.0,16800,16740,PB
55,PB2701,20260603,16830,16860,16805,16805.0,13,176,109.41,16830,16780,PB
56,PB2702,20260603,16860,16895,16860,16895.0,2,22,16.8775,16875,16775,PB
57,PB2703,20260603,16865,16910,16865,16910.0,3,28,25.3225,16880,16805,PB
58,PB2704,20260603,,,,16855.0,0,19,0.0,16855,16835,PB
59,PB2705,20260603,16905,16905,16905,16905.0,1,13,8.4525,16905,16850,PB
48,PB2606,20260604,16540,16540,16360,16375,395,4695,3238.35,16395,16600,PB
49,PB2607,20260604,16575,16600,16390,16435,74229,68127,611597.135,16475,16645,PB
50,PB2608,20260604,16635,16635,16445,16480,26898,41309,222049.495,16510,16665,PB
51,PB2609,20260604,16710,16710,16495,16525,2531,6309,20956.52,16555,16700,PB
52,PB2610,20260604,16695,16695,16550,16550,141,249,1168.7325,16575,16775,PB
53,PB2611,20260604,16650,16650,16625,16625,8,141,66.5625,16640,16765,PB
54,PB2612,20260604,16655,16655,16655,16655,1,83,8.3275,16655,16800,PB
55,PB2701,20260604,16665,16665,16665,16665,1,176,8.3325,16665,16830,PB
56,PB2702,20260604,16700,16700,16695,16695,2,22,16.6975,16695,16875,PB
57,PB2703,20260604,,,,16765,0,28,0.0,16765,16880,PB
58,PB2704,20260604,16725,16725,16725,16725,1,20,8.3625,16725,16855,PB
59,PB2705,20260604,16770,16770,16770,16770,1,14,8.385,16770,16905,PB
48,PB2606,20260605,16395,16410,16340,16350,335,4555,2741.8375,16365,16395,PB
49,PB2607,20260605,16455,16455,16365,16405,52767,70881,432798.885,16400,16475,PB
50,PB2608,20260605,16470,16500,16415,16445,17949,45205,147640.9775,16450,16510,PB
51,PB2609,20260605,16540,16540,16470,16485,1436,6533,11843.645,16495,16555,PB
52,PB2610,20260605,16585,16595,16495,16500,72,296,595.765,16545,16575,PB
53,PB2611,20260605,,,,16585,0,141,0.0,16585,16640,PB
54,PB2612,20260605,,,,16640,0,83,0.0,16640,16655,PB
55,PB2701,20260605,16635,16660,16610,16610,4,178,33.2625,16630,16665,PB
56,PB2702,20260605,16610,16610,16610,16610,1,22,8.305,16610,16695,PB
57,PB2703,20260605,16630,16630,16630,16630,2,29,16.63,16630,16765,PB
58,PB2704,20260605,16750,16750,16675,16675,2,21,16.7125,16710,16725,PB
59,PB2705,20260605,16710,16710,16700,16700,2,15,16.705,16705,16770,PB
48,PB2606,20260608,16400,16400,16255,16320,735,4280,6005.7,16340,16365,PB
49,PB2607,20260608,16380,16455,16305,16340,52640,74442,431046.3625,16375,16400,PB
50,PB2608,20260608,16415,16490,16360,16395,20354,49354,167055.345,16410,16450,PB
51,PB2609,20260608,16480,16540,16410,16450,1442,6957,11875.9675,16470,16495,PB
52,PB2610,20260608,16560,16560,16475,16485,26,312,214.7675,16520,16545,PB
53,PB2611,20260608,16520,16520,16515,16515,2,141,16.5175,16515,16585,PB
54,PB2612,20260608,16560,16580,16560,16580,3,83,24.85,16565,16640,PB
55,PB2701,20260608,16635,16635,16575,16615,7,177,58.13,16605,16630,PB
56,PB2702,20260608,,,,16610,0,22,0.0,16610,16610,PB
57,PB2703,20260608,,,,16630,0,29,0.0,16630,16630,PB
58,PB2704,20260608,16660,16660,16650,16650,2,21,16.655,16655,16710,PB
59,PB2705,20260608,16680,16680,16680,16680,1,16,8.34,16680,16705,PB
48,PB2606,20260609,16290,16290,16045,16080.0,645,4275,5221.5625,16190,16340,PB
49,PB2607,20260609,16300,16335,16055,16170.0,90098,83062,728116.6825,16160,16375,PB
50,PB2608,20260609,16370,16370,16115,16210.0,42117,58386,341439.66,16210,16410,PB
51,PB2609,20260609,16430,16430,16175,16250.0,13351,12447,108816.42,16300,16470,PB
52,PB2610,20260609,16395,16420,16210,16305.0,112,364,914.45,16325,16520,PB
53,PB2611,20260609,16455,16455,16260,16270.0,60,181,491.455,16380,16515,PB
54,PB2612,20260609,16500,16500,16365,16365.0,9,84,73.87,16415,16565,PB
55,PB2701,20260609,16500,16510,16350,16350.0,6,177,49.3075,16435,16605,PB
56,PB2702,20260609,16510,16510,16425,16425.0,5,24,41.1525,16460,16610,PB
57,PB2703,20260609,16515,16515,16305,16400.0,17,29,139.68,16430,16630,PB
58,PB2704,20260609,16560,16560,16475,16480.0,6,22,49.5625,16520,16655,PB
59,PB2705,20260609,16590,16590,16485,16485.0,10,23,82.6675,16530,16680,PB
48,PB2606,20260610,16060,16075,16045,16075,285,4180,2288.8375,16060,16190,PB
49,PB2607,20260610,16190,16195,16055,16130,59281,81449,477755.0225,16115,16160,PB
50,PB2608,20260610,16185,16240,16095,16155,25306,61924,204446.8675,16155,16210,PB
51,PB2609,20260610,16250,16295,16155,16210,5728,13544,46461.845,16220,16300,PB
52,PB2610,20260610,16290,16325,16220,16245,26,375,211.3275,16255,16325,PB
53,PB2611,20260610,16335,16335,16260,16305,13,181,105.8525,16285,16380,PB
54,PB2612,20260610,16390,16390,16320,16320,16,84,130.8025,16350,16415,PB
55,PB2701,20260610,16415,16415,16335,16335,3,178,24.575,16380,16435,PB
56,PB2702,20260610,,,,16460,0,24,0.0,16460,16460,PB
57,PB2703,20260610,16505,16505,16505,16505,2,29,16.505,16505,16430,PB
58,PB2704,20260610,16480,16480,16480,16480,2,24,16.48,16480,16520,PB
59,PB2705,20260610,16510,16510,16460,16460,2,24,16.485,16485,16530,PB
