index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
128,RB2606,20260601,3048,3088,3048,3073.0,270,750,829.38,3071,3054,RB
129,RB2607,20260601,3180,3206,3173,3195.0,32582,92733,103931.229,3189,3169,RB
130,RB2608,20260601,3171,3196,3165,3190.0,360,2301,1145.548,3182,3161,RB
131,RB2609,20260601,3147,3174,3142,3162.0,52841,224863,166977.189,3159,3139,RB
132,RB2610,20260601,3156,3189,3156,3177.0,679167,1709019,2155398.951,3173,3157,RB
133,RB2611,20260601,3176,3201,3171,3190.0,10465,118490,33376.902,3189,3173,RB
134,RB2612,20260601,3193,3220,3193,3214.0,81,4893,259.604,3204,3199,RB
135,RB2701,20260601,3199,3223,3193,3212.0,24034,151112,77150.06,3210,3194,RB
136,RB2702,20260601,3208,3227,3207,3227.0,15,205,48.254,3216,3202,RB
137,RB2703,20260601,3222,3235,3212,3228.0,44,2216,141.867,3224,3209,RB
138,RB2704,20260601,3223,3238,3214,3233.0,195,2107,628.482,3222,3217,RB
139,RB2705,20260601,3220,3236,3214,3229.0,1207,3331,3896.09,3227,3214,RB
128,RB2606,20260602,,,,3073,0,750,0.0,3073,3071,RB
129,RB2607,20260602,3199,3203,3186,3197,30830,80610,98489.329,3194,3189,RB
130,RB2608,20260602,3189,3194,3181,3188,170,2323,541.941,3187,3182,RB
131,RB2609,20260602,3166,3171,3155,3168,41340,226306,130773.323,3163,3159,RB
132,RB2610,20260602,3180,3184,3169,3180,491678,1701321,1562153.399,3177,3173,RB
133,RB2611,20260602,3189,3197,3182,3190,9701,121808,30935.251,3188,3189,RB
134,RB2612,20260602,3211,3216,3209,3215,27,4894,86.727,3212,3204,RB
135,RB2701,20260602,3223,3223,3202,3212,16948,153457,54435.105,3211,3210,RB
136,RB2702,20260602,3224,3227,3217,3222,22,207,70.893,3222,3216,RB
137,RB2703,20260602,3226,3235,3218,3224,39,2223,125.825,3226,3224,RB
138,RB2704,20260602,3226,3229,3220,3224,38,2113,122.521,3224,3222,RB
139,RB2705,20260602,3231,3233,3214,3218,1211,4155,3901.327,3221,3227,RB
