index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
248,RU2606,20260601,17735,17900,17705,17870.0,18,226,320.48,17800,17660,RU
249,RU2607,20260601,17770,18020,17745,18005.0,1114,1023,19928.49,17885,17755,RU
250,RU2608,20260601,17805,18020,17800,18015.0,30,162,535.605,17850,17775,RU
251,RU2609,20260601,17840,18080,17800,18065.0,316733,193053,5677292.795,17920,17805,RU
252,RU2610,20260601,17810,18065,17785,18065.0,93,149,1666.545,17915,17790,RU
253,RU2611,20260601,17895,18100,17800,18100.0,2257,2476,40577.455,17975,17800,RU
254,RU2701,20260601,18635,18870,18590,18860.0,28196,27932,527577.145,18710,18575,RU
255,RU2703,20260601,18650,18860,18640,18860.0,20,82,374.36,18715,18605,RU
256,RU2704,20260601,18675,18885,18675,18885.0,18,102,338.025,18775,18630,RU
257,RU2705,20260601,18700,18900,18620,18880.0,338,530,6340.315,18755,18610,RU
248,RU2606,20260602,17810,18050,17745,18005,45,213,803.345,17850,17800,RU
249,RU2607,20260602,18000,18545,17825,18110,1056,1047,19031.365,18020,17885,RU
250,RU2608,20260602,17965,18170,17935,18170,17,163,305.655,17975,17850,RU
251,RU2609,20260602,18050,18225,17890,18170,331575,194821,5986508.54,18050,17920,RU
252,RU2610,20260602,17995,18210,17905,18165,73,163,1320.055,18080,17915,RU
253,RU2611,20260602,18095,18235,17925,18185,1006,2533,18230.73,18120,17975,RU
254,RU2701,20260602,18800,19005,18680,18960,31616,29238,595956.375,18845,18710,RU
255,RU2703,20260602,18765,19015,18765,19015,52,118,985.95,18960,18715,RU
256,RU2704,20260602,18780,19075,18765,18990,52,110,985.665,18955,18775,RU
257,RU2705,20260602,18850,19030,18715,19030,314,607,5935.57,18900,18755,RU
248,RU2606,20260603,18030,18155,17960,18000.0,27,207,486.39,18010,17850,RU
249,RU2607,20260603,18065,18365,18015,18100.0,1431,1076,25958.095,18135,18020,RU
250,RU2608,20260603,18125,18350,18060,18135.0,35,169,635.96,18170,17975,RU
251,RU2609,20260603,18150,18440,18090,18165.0,371024,191901,6756020.885,18205,18050,RU
252,RU2610,20260603,18135,18435,18100,18170.0,99,170,1803.405,18215,18080,RU
253,RU2611,20260603,18150,18450,18110,18200.0,2346,2843,42771.655,18230,18120,RU
254,RU2701,20260603,18945,19180,18835,18915.0,42586,32151,807659.215,18965,18845,RU
255,RU2703,20260603,19025,19200,18890,18890.0,35,128,667.53,19070,18960,RU
256,RU2704,20260603,19040,19180,18905,18980.0,30,109,570.83,19025,18955,RU
257,RU2705,20260603,19000,19225,18895,18980.0,336,645,6391.5,19020,18900,RU
248,RU2606,20260604,17915,17915,17715,17715,2,206,35.63,17815,18010,RU
249,RU2607,20260604,18090,18140,17700,17830,1148,1014,20544.93,17895,18135,RU
250,RU2608,20260604,18105,18175,17795,17835,54,167,970.305,17965,18170,RU
251,RU2609,20260604,18160,18220,17775,17925,397923,179922,7155140.595,17980,18205,RU
252,RU2610,20260604,18165,18165,17805,17935,99,179,1777.435,17950,18215,RU
253,RU2611,20260604,18190,18245,17805,17950,1802,3034,32373.845,17965,18230,RU
254,RU2701,20260604,18945,18975,18525,18690,37938,30329,710496.74,18725,18965,RU
255,RU2703,20260604,18975,18975,18600,18725,161,229,3012.21,18705,19070,RU
256,RU2704,20260604,18975,18975,18610,18735,37,107,694.0,18755,19025,RU
257,RU2705,20260604,18990,19025,18605,18760,663,828,12462.615,18795,19020,RU
248,RU2606,20260605,17795,17795,17635,17660,23,206,407.64,17720,17815,RU
249,RU2607,20260605,17830,17935,17690,17785,1104,1004,19675.705,17820,17895,RU
250,RU2608,20260605,17905,17975,17765,17830,40,164,715.08,17875,17965,RU
251,RU2609,20260605,17925,18035,17760,17860,306702,174183,5491535.17,17905,17980,RU
252,RU2610,20260605,17990,18015,17780,17875,68,160,1214.675,17860,17950,RU
253,RU2611,20260605,17960,18040,17790,17885,958,2857,17184.315,17935,17965,RU
254,RU2701,20260605,18690,18785,18530,18620,24300,30609,453428.32,18655,18725,RU
255,RU2703,20260605,18735,18815,18595,18640,27,229,505.335,18715,18705,RU
256,RU2704,20260605,18725,18800,18595,18625,24,104,448.985,18705,18755,RU
257,RU2705,20260605,18780,18860,18600,18715,617,822,11571.39,18750,18795,RU
248,RU2606,20260608,17575,17580,17320,17370,24,205,417.58,17395,17720,RU
249,RU2607,20260608,17790,17790,17425,17505,1679,879,29408.905,17515,17820,RU
250,RU2608,20260608,17695,17695,17480,17560,45,156,790.345,17560,17875,RU
251,RU2609,20260608,17860,17895,17475,17565,349035,160319,6143942.795,17600,17905,RU
252,RU2610,20260608,17880,17880,17515,17555,71,159,1249.46,17595,17860,RU
253,RU2611,20260608,17905,17920,17505,17585,932,2870,16428.895,17625,17935,RU
254,RU2701,20260608,18595,18655,18230,18330,42345,27893,778017.17,18370,18655,RU
255,RU2703,20260608,18550,18550,18310,18355,70,226,1288.975,18410,18715,RU
256,RU2704,20260608,18640,18640,18305,18380,116,92,2139.825,18445,18705,RU
257,RU2705,20260608,18670,18670,18310,18410,1010,876,18621.45,18435,18750,RU
248,RU2606,20260609,17405,17520,17405,17520.0,7,203,122.455,17490,17395,RU
249,RU2607,20260609,17495,17605,17420,17525.0,993,893,17390.435,17510,17515,RU
250,RU2608,20260609,17305,17615,17305,17585.0,19,153,333.66,17560,17560,RU
251,RU2609,20260609,17610,17665,17465,17590.0,294662,158908,5180904.105,17580,17600,RU
252,RU2610,20260609,17615,17660,17495,17610.0,194,157,3416.93,17610,17595,RU
253,RU2611,20260609,17585,17685,17480,17605.0,900,2900,15842.06,17600,17625,RU
254,RU2701,20260609,18300,18415,18230,18350.0,28090,28548,515098.06,18335,18370,RU
255,RU2703,20260609,18410,18450,18300,18380.0,108,248,1982.01,18350,18410,RU
256,RU2704,20260609,18405,18405,18305,18355.0,14,95,256.905,18350,18445,RU
257,RU2705,20260609,18420,18500,18300,18420.0,307,907,5654.465,18415,18435,RU
248,RU2606,20260610,,,,17485,0,203,0.0,17485,17490,RU
249,RU2607,20260610,17505,17590,17200,17305,1099,979,19043.55,17325,17510,RU
250,RU2608,20260610,17540,17540,17240,17305,34,150,590.3,17360,17560,RU
251,RU2609,20260610,17600,17650,17245,17330,324260,160045,5645971.57,17410,17580,RU
252,RU2610,20260610,17595,17645,17275,17325,89,182,1549.94,17415,17610,RU
253,RU2611,20260610,17630,17665,17230,17315,2404,2374,41779.3,17375,17600,RU
254,RU2701,20260610,18360,18410,17995,18075,30096,29280,546585.015,18160,18335,RU
255,RU2703,20260610,18390,18390,18065,18115,51,239,927.18,18180,18350,RU
256,RU2704,20260610,18325,18325,18070,18080,33,81,600.56,18195,18350,RU
257,RU2705,20260610,18420,18485,18075,18120,577,912,10509.06,18210,18415,RU
