date,open,high,low,close,volume,hold,settle
2005-01-04,12445.0,12485.0,12380.0,12385.0,29474,31878,0.0
2005-01-05,12395.0,12470.0,12360.0,12460.0,40760,33702,0.0
2005-01-06,12540.0,12695.0,12505.0,12680.0,50866,36358,0.0
2005-01-07,12690.0,12690.0,12615.0,12635.0,37968,35382,0.0
2005-01-10,12705.0,12775.0,12630.0,12635.0,41532,34480,0.0
2005-01-11,12705.0,12740.0,12595.0,12615.0,31592,32636,0.0
2005-01-12,12570.0,12675.0,12550.0,12675.0,27792,33370,0.0
2005-01-13,12675.0,12770.0,12660.0,12755.0,33030,31752,0.0
2005-01-14,12725.0,12795.0,12705.0,12770.0,21558,31804,0.0
2005-01-17,12755.0,12770.0,12695.0,12740.0,19310,30592,0.0
2005-01-18,12715.0,12795.0,12715.0,12770.0,19524,29870,0.0
2005-01-19,12790.0,12850.0,12790.0,12830.0,20154,30032,0.0
2005-01-20,13075.0,13090.0,13025.0,13055.0,22370,24162,0.0
2005-01-21,13015.0,13040.0,12980.0,13030.0,15598,23664,0.0
2005-01-24,12965.0,13145.0,12925.0,13120.0,22334,25892,0.0
2005-01-25,13080.0,13210.0,13050.0,13190.0,24332,27888,0.0
2005-01-26,13205.0,13230.0,13115.0,13165.0,22712,28750,0.0
2005-01-27,13150.0,13215.0,13120.0,13175.0,24928,30594,0.0
2005-01-28,12930.0,13090.0,12930.0,12990.0,39372,28810,0.0
2005-01-31,12965.0,13095.0,12950.0,13085.0,26306,29210,0.0
2005-02-01,13100.0,13185.0,13080.0,13180.0,25728,30332,0.0
2005-02-02,13335.0,13335.0,13255.0,13265.0,15770,15826,0.0
2005-02-03,13165.0,13215.0,13150.0,13200.0,18802,29706,0.0
2005-02-04,13140.0,13225.0,13130.0,13220.0,13844,29294,0.0
2005-02-16,13395.0,13445.0,13320.0,13410.0,20040,30024,0.0
2005-02-17,13395.0,13465.0,13375.0,13440.0,17010,30806,0.0
2005-02-18,13425.0,13540.0,13410.0,13510.0,20202,28520,0.0
2005-02-21,13555.0,13575.0,13400.0,13405.0,26374,27184,0.0
2005-02-22,13405.0,13565.0,13375.0,13550.0,26248,27036,0.0
2005-02-23,13650.0,13765.0,13635.0,13715.0,32474,27146,0.0
2005-02-24,13700.0,13750.0,13660.0,13725.0,29656,26960,0.0
2005-02-25,13690.0,13740.0,13675.0,13705.0,22126,26492,0.0
2005-02-28,13880.0,13905.0,13785.0,13825.0,25984,27178,0.0
2005-03-01,13880.0,13960.0,13770.0,13840.0,27102,27040,0.0
2005-03-02,13660.0,13725.0,13640.0,13725.0,26748,8382,0.0
2005-03-03,13825.0,13890.0,13815.0,13870.0,20826,25360,0.0
2005-03-04,13880.0,13985.0,13840.0,13980.0,20906,23738,0.0
2005-03-07,14200.0,14240.0,14155.0,14230.0,20970,26222,0.0
2005-03-08,14260.0,14345.0,14260.0,14345.0,19108,16810,0.0
2005-03-09,14300.0,14370.0,14270.0,14360.0,20732,26740,0.0
2005-03-10,14430.0,14430.0,14330.0,14335.0,15744,27358,0.0
2005-03-11,14305.0,14385.0,13910.0,13915.0,36338,28562,0.0
2005-03-14,14020.0,14275.0,13840.0,14255.0,49338,30560,0.0
2005-03-15,14220.0,14260.0,14165.0,14240.0,29258,29414,0.0
2005-03-16,14280.0,14580.0,14200.0,14450.0,33850,31222,0.0
2005-03-17,14460.0,14510.0,14285.0,14345.0,38304,30942,0.0
2005-03-18,14050.0,14195.0,13920.0,13975.0,34306,28992,0.0
2005-03-21,13850.0,13960.0,13810.0,13915.0,24072,18116,0.0
2005-03-22,13950.0,13985.0,13810.0,13880.0,29002,30282,0.0
2005-03-23,13980.0,14050.0,13840.0,13845.0,33890,30114,0.0
2005-03-24,13800.0,13910.0,13710.0,13810.0,28660,30390,0.0
2005-03-25,13920.0,14320.0,13880.0,14220.0,51310,31714,0.0
2005-03-28,14200.0,14335.0,14160.0,14280.0,44560,31610,0.0
2005-03-29,14420.0,14480.0,14270.0,14330.0,42172,32630,0.0
2005-03-30,14295.0,14355.0,14240.0,14305.0,27236,31390,0.0
