date,open,high,low,close,volume,hold,settle
2017-08-23,23080.0,23155.0,23045.0,23070.0,9078,6958,23090.0
2017-08-24,23070.0,23120.0,23010.0,23050.0,4510,6420,23065.0
2017-08-25,23040.0,23095.0,23030.0,23050.0,3012,5830,23060.0
2017-08-28,23055.0,23100.0,23000.0,23075.0,3914,5684,23060.0
2017-08-29,23100.0,23135.0,23035.0,23050.0,2572,5352,23080.0
2017-08-30,23025.0,23085.0,23005.0,23020.0,1842,5314,23040.0
2017-08-31,23030.0,23080.0,23020.0,23025.0,1784,4908,23050.0
2017-09-01,23020.0,23095.0,23020.0,23030.0,2186,4792,23055.0
2017-09-04,23055.0,23645.0,23040.0,23400.0,14420,6228,23375.0
2017-09-05,23425.0,23575.0,23300.0,23495.0,5994,5966,23395.0
2017-09-06,23535.0,23585.0,23335.0,23345.0,6078,5762,23435.0
2017-09-07,23365.0,23410.0,23220.0,23295.0,4074,5270,23315.0
2017-09-08,23325.0,23340.0,23020.0,23080.0,5524,4380,23145.0
2017-09-11,23105.0,24075.0,22530.0,23210.0,15894,4024,23250.0
2017-09-12,23165.0,23290.0,23130.0,23225.0,2178,3876,23230.0
2017-09-13,23190.0,23285.0,23050.0,23155.0,3018,3580,23175.0
2017-09-14,23125.0,23210.0,23080.0,23085.0,1432,3482,23135.0
2017-09-15,23075.0,23120.0,23020.0,23050.0,1498,3390,23070.0
2017-09-18,23030.0,23095.0,22880.0,23080.0,1904,3038,23045.0
2017-09-19,23160.0,23200.0,23035.0,23095.0,1962,2674,23100.0
2017-09-20,23085.0,23390.0,23070.0,23385.0,3342,2334,23260.0
2017-09-21,23390.0,23390.0,23210.0,23210.0,1426,2034,23290.0
2017-09-22,23235.0,23280.0,23125.0,23155.0,1880,1952,23195.0
2017-09-25,23145.0,23245.0,23135.0,23235.0,974,1880,23200.0
2017-09-26,23255.0,23370.0,23205.0,23320.0,1508,1952,23295.0
2017-09-27,23300.0,23310.0,23085.0,23105.0,1778,1910,23165.0
2017-09-28,23080.0,23145.0,22860.0,22900.0,1928,2080,23015.0
2017-09-29,22845.0,23010.0,22845.0,22920.0,1072,1848,22955.0
2017-10-09,23055.0,23055.0,22860.0,22960.0,582,1820,22920.0
2017-10-10,22980.0,22995.0,22920.0,22935.0,658,1796,22950.0
2017-10-11,22995.0,23000.0,22900.0,22910.0,604,1732,22945.0
2017-10-12,22900.0,22965.0,22860.0,22925.0,1104,1736,22915.0
2017-10-13,22940.0,23010.0,22910.0,22940.0,826,1650,22950.0
2017-10-16,23000.0,23110.0,22925.0,23060.0,980,1596,23045.0
2017-10-17,23005.0,23070.0,22990.0,23000.0,340,1510,23030.0
2017-10-18,23015.0,23080.0,23015.0,23015.0,332,1518,23045.0
2017-10-19,23035.0,23035.0,22840.0,22945.0,532,1564,22955.0
2017-10-20,22905.0,22930.0,22805.0,22865.0,854,1590,22855.0
2017-10-23,22845.0,22920.0,22775.0,22870.0,654,1596,22855.0
2017-10-24,22895.0,22975.0,22895.0,22895.0,504,1566,22930.0
2017-10-25,22920.0,22950.0,22900.0,22950.0,254,1508,22930.0
2017-10-26,22930.0,22990.0,22900.0,22930.0,200,1474,22940.0
2017-10-27,22940.0,22940.0,22840.0,22855.0,228,1490,22860.0
2017-10-30,22885.0,22980.0,22825.0,22885.0,262,1420,22910.0
2017-10-31,22915.0,22950.0,22860.0,22950.0,274,1400,22885.0
2017-11-01,22995.0,23045.0,22880.0,22975.0,426,1348,22985.0
2017-11-02,22900.0,23030.0,22890.0,23015.0,302,1308,22985.0
2017-11-03,23040.0,23080.0,22970.0,23060.0,450,1194,23035.0
2017-11-06,23070.0,23100.0,23025.0,23095.0,322,1184,23060.0
2017-11-07,23060.0,23160.0,23045.0,23120.0,430,1104,23085.0
2017-11-08,23165.0,23165.0,23040.0,23060.0,262,1066,23080.0
2017-11-09,23075.0,23080.0,23005.0,23055.0,136,1050,23040.0
2017-11-10,23080.0,23095.0,23035.0,23055.0,86,1028,23060.0
2017-11-13,23015.0,23270.0,22905.0,23140.0,290,1018,23125.0
2017-11-14,23160.0,23160.0,23075.0,23100.0,192,946,23115.0
2017-11-15,23050.0,23080.0,22970.0,23000.0,194,878,23025.0
2017-11-16,23040.0,23055.0,22965.0,23040.0,160,842,23025.0
2017-11-17,23030.0,23050.0,23005.0,23005.0,90,822,23020.0
2017-11-20,23005.0,23035.0,22925.0,22965.0,154,816,22970.0
2017-11-21,22905.0,22965.0,22905.0,22905.0,136,762,22925.0
2017-11-22,22890.0,22980.0,22880.0,22880.0,130,770,22910.0
2017-11-23,22900.0,23000.0,22880.0,22915.0,216,728,22945.0
2017-11-24,22915.0,22985.0,22840.0,22930.0,76,706,22915.0
2017-11-27,22910.0,23015.0,22910.0,22980.0,104,674,22965.0
2017-11-28,23025.0,23185.0,22920.0,23175.0,520,560,23110.0
2017-11-29,23210.0,23240.0,23085.0,23100.0,226,474,23175.0
2017-11-30,23100.0,23255.0,23100.0,23215.0,166,474,23190.0
2017-12-01,23005.0,24660.0,23005.0,23575.0,682,70,23550.0
