date,open,high,low,close,volume,hold,settle
2013-12-06,74.8,74.95,71.8,72.05,102076,10462,73.15
2013-12-09,71.5,76.05,71.4,74.15,381842,27074,74.4
2013-12-10,73.95,74.85,72.3,72.6,429364,37456,73.5
2013-12-11,72.6,73.5,72.35,73.4,257088,35208,72.9
2013-12-12,73.5,75.8,73.3,75.35,407892,40950,75.15
2013-12-13,75.15,75.85,73.8,74.8,461736,42202,74.8
2013-12-16,74.9,75.65,73.6,74.7,273528,40610,74.45
2013-12-17,74.9,75.35,74.2,74.2,200904,37974,74.65
2013-12-18,74.0,74.4,72.95,73.6,186512,33076,73.6
2013-12-19,73.6,73.85,72.75,72.95,128378,30656,73.25
2013-12-20,72.95,73.65,72.6,73.3,100588,32320,73.1
2013-12-23,73.1,75.7,72.85,74.8,352236,49832,74.75
2013-12-24,75.0,75.35,74.25,74.55,211864,38586,74.8
2013-12-25,74.55,75.1,74.05,74.2,143258,33922,74.65
2013-12-26,74.25,74.3,71.7,71.7,267836,56458,72.4
2013-12-27,71.5,73.05,71.4,72.5,289764,43006,72.15
2013-12-30,72.1,72.3,69.35,70.9,366680,45910,70.65
2013-12-31,70.7,70.85,69.6,69.85,185018,50708,70.25
2014-01-02,69.8,70.05,69.05,69.4,128012,51560,69.45
2014-01-03,69.3,69.95,68.8,69.55,145246,57384,69.4
2014-01-06,69.45,69.55,66.65,66.75,348528,88992,67.25
2014-01-07,66.75,67.25,66.1,66.85,264794,79876,66.75
2014-01-08,66.5,66.8,65.2,65.75,208354,79714,66.0
2014-01-09,65.25,68.4,65.2,66.6,531612,80218,67.15
2014-01-10,66.35,67.4,66.1,66.95,200074,69642,66.9
2014-01-13,67.05,67.35,66.1,66.65,134468,63780,66.75
2014-01-14,66.75,68.1,66.3,67.8,203896,59304,67.1
2014-01-15,67.7,67.95,67.0,67.25,134192,53928,67.4
2014-01-17,64.7,65.4,64.5,65.15,196258,69732,65.05
2014-01-20,65.2,66.7,65.0,65.7,211614,69338,65.75
2014-01-21,65.65,65.7,64.9,65.1,145718,69192,65.3
2014-01-22,64.95,66.1,64.8,65.15,193288,65802,65.45
2014-01-23,64.95,65.95,64.85,65.55,247574,77598,0.0
2014-01-24,65.65,66.45,65.55,65.75,169772,75708,65.8
2014-01-27,65.9,65.9,64.85,65.2,154176,74136,65.3
2014-01-28,65.1,65.5,62.7,63.9,350774,65614,63.65
2014-01-29,63.85,65.5,63.2,65.4,311328,55228,64.25
2014-01-30,65.5,65.65,64.35,64.8,148892,53972,64.95
2014-02-07,64.8,66.0,64.8,65.1,110984,63040,65.4
2014-02-10,65.05,65.7,64.45,65.65,175582,78826,65.05
2014-02-11,65.8,66.8,65.45,65.55,412296,116294,66.05
2014-02-12,65.55,65.7,64.2,65.2,226758,114096,65.15
2014-02-13,65.15,65.85,64.85,65.3,238134,118358,65.3
2014-02-14,65.4,65.7,65.1,65.4,160102,117782,65.4
2014-02-17,65.6,67.25,65.55,66.5,490334,167914,66.45
2014-02-18,66.45,67.1,65.0,65.4,505878,184002,65.95
2014-02-19,65.45,65.65,64.0,64.55,585322,185726,64.65
2014-02-20,64.65,65.05,64.35,64.75,287558,162044,64.7
2014-02-21,64.7,64.95,64.45,64.8,203328,149138,64.7
2014-02-24,64.85,64.9,63.1,64.55,364030,126224,64.1
2014-02-25,64.5,65.1,64.15,64.2,209260,126776,64.6
2014-02-26,64.2,64.6,63.4,64.15,206914,128092,64.15
2014-02-27,64.1,64.4,62.4,62.7,452786,154320,63.0
2014-02-28,62.7,63.1,61.9,62.0,317300,161300,62.45
2014-03-03,62.0,62.35,61.55,62.0,196958,150534,61.95
2014-03-04,62.0,63.1,61.35,62.4,286654,143054,62.05
2014-03-05,62.55,63.35,62.4,62.8,286348,165450,62.8
2014-03-06,62.75,63.35,62.3,62.5,275706,183724,62.7
2014-03-10,63.0,63.75,60.45,62.25,513542,127028,61.95
2014-03-11,62.25,64.2,62.1,63.75,324232,114420,63.25
2014-03-12,63.2,65.75,63.05,64.75,381628,125222,64.45
2014-03-14,64.9,65.2,63.3,63.5,255926,133254,64.15
2014-03-17,63.85,63.85,61.65,62.25,395486,132998,62.2
2014-03-18,62.5,63.6,62.35,63.05,216466,122910,62.95
2014-03-19,63.1,63.8,62.75,63.25,227166,132742,63.2
2014-03-20,63.3,63.55,62.6,63.05,154612,128860,63.1
2014-03-21,63.0,64.75,62.25,64.25,406630,105968,63.65
2014-03-24,64.25,64.5,63.8,64.35,146794,106626,64.15
2014-03-25,64.3,65.35,63.65,63.8,244580,105086,64.25
2014-03-26,63.6,64.65,63.55,64.45,106176,105450,64.3
2014-03-27,64.4,66.1,64.35,64.95,248830,116550,65.15
2014-03-28,64.9,65.95,64.9,65.85,117282,116366,65.5
2014-03-31,66.0,67.55,66.0,66.95,246918,114664,66.9
2014-04-01,67.0,68.0,66.5,66.6,202060,106110,67.4
2014-04-02,66.75,66.95,65.6,66.05,179682,99248,66.25
2014-04-03,66.0,67.2,65.65,67.2,111710,100592,66.45
2014-04-04,67.3,68.05,65.7,65.8,241074,110302,67.1
2014-04-08,65.75,66.35,64.05,66.1,211454,105232,65.6
2014-04-09,66.15,68.6,66.05,67.45,324386,99732,67.15
2014-04-10,67.15,68.4,67.15,67.6,287958,103870,67.85
2014-04-11,67.5,67.95,66.3,66.4,162810,98072,67.05
2014-04-14,66.4,68.05,65.65,66.25,257302,88608,66.95
2014-04-15,66.2,66.65,63.65,63.65,160190,78444,64.75
2014-04-16,62.65,63.3,62.5,62.85,124006,66392,62.95
2014-04-17,62.75,64.65,62.6,63.75,276516,73406,63.8
2014-04-18,63.75,64.0,63.0,63.2,145044,68090,63.35
2014-04-21,63.15,64.75,62.6,63.7,298076,83482,63.95
2014-04-22,63.6,64.1,63.05,63.55,149488,84488,63.5
2014-04-23,63.65,63.9,63.0,63.4,133022,82436,63.4
2014-04-24,63.6,63.85,63.15,63.5,116708,85488,63.45
2014-04-25,63.6,64.1,63.35,63.55,94282,79624,63.6
2014-04-28,63.45,63.8,62.3,63.4,119102,79834,63.3
2014-04-29,63.5,63.8,62.8,62.9,111394,88830,63.2
2014-04-30,62.7,63.2,62.45,62.8,138162,84380,62.8
2014-05-01,63.25,63.25,63.25,63.25,62,298,63.3
2014-05-05,62.7,63.8,62.7,63.65,128622,82876,63.45
2014-05-06,63.8,64.35,63.35,63.35,136648,86620,63.9
2014-05-07,63.3,63.65,63.0,63.15,95074,79672,63.25
2014-05-08,63.15,63.35,62.0,62.85,200836,82318,62.7
2014-05-09,62.95,63.05,61.8,61.85,131558,104040,62.3
2014-05-12,61.6,62.5,60.85,62.45,184136,95150,61.8
2014-05-13,62.55,62.95,61.65,61.7,121624,102460,62.3
2014-05-14,61.8,62.15,60.95,61.45,170060,120288,61.45
2014-05-15,61.5,61.85,61.05,61.15,111802,112774,61.45
2014-05-16,61.05,61.1,59.2,60.1,311496,128952,60.0
2014-05-19,60.2,60.4,59.6,59.85,121134,125016,60.0
2014-05-20,59.8,59.95,59.0,59.55,177858,137656,59.35
2014-05-21,59.5,59.8,58.75,59.15,121114,149500,59.25
2014-05-22,59.35,59.8,58.95,59.1,107492,148346,59.35
2014-05-23,59.05,60.1,58.65,59.5,221444,144930,59.45
2014-05-26,59.55,60.1,59.25,59.95,143490,141518,59.7
2014-05-27,59.8,60.6,59.55,59.6,229340,139254,60.05
2014-05-28,59.55,59.75,59.2,59.3,106836,140372,59.4
2014-05-29,59.1,59.4,58.8,58.9,100268,150152,59.15
2014-05-30,58.95,59.25,58.5,58.85,166436,158444,58.8
2014-06-03,58.8,59.25,58.75,59.2,72938,154998,58.95
2014-06-04,59.2,59.6,58.55,58.6,172602,182860,58.9
2014-06-05,58.5,59.25,58.4,59.15,122086,163664,58.85
2014-06-06,59.2,59.55,59.0,59.4,96952,148634,59.25
2014-06-09,59.5,59.5,58.9,59.1,83564,153376,59.15
2014-06-10,59.2,59.7,58.95,59.6,106532,144228,59.35
2014-06-11,59.7,60.4,59.35,59.35,208436,131982,59.9
2014-06-12,59.35,59.65,59.15,59.5,86662,138740,59.3
2014-06-13,59.4,59.95,59.2,59.2,111460,142326,59.55
2014-06-16,59.2,59.45,58.9,58.9,79260,165234,59.1
2014-06-17,59.0,59.5,58.85,59.5,96802,150806,59.25
2014-06-18,59.55,59.75,59.15,59.2,72676,148750,59.4
2014-06-19,59.4,59.5,58.9,59.0,82150,159724,59.15
2014-06-20,59.05,59.75,59.0,59.7,77868,142564,59.4
2014-06-23,59.7,60.2,59.45,59.6,103678,138968,59.75
2014-06-24,59.55,60.2,59.3,59.7,102278,139734,59.65
2014-06-25,59.75,61.15,59.65,60.05,270162,138120,60.35
2014-06-26,60.15,60.85,59.95,60.8,127718,130720,60.35
2014-06-27,60.8,60.95,60.1,60.5,109910,132020,60.55
2014-06-30,60.4,61.3,59.9,59.9,161178,129414,60.6
2014-07-01,59.95,59.95,59.5,59.55,73416,132412,59.75
2014-07-02,59.5,60.1,59.4,59.9,87632,124486,59.75
2014-07-03,59.75,60.4,59.75,60.0,85718,121538,60.1
2014-07-04,60.1,60.2,59.5,59.5,71566,128334,59.65
2014-07-07,59.45,59.65,59.1,59.5,91738,140792,59.35
2014-07-08,59.5,59.65,59.35,59.45,40606,140660,59.45
2014-07-09,59.35,59.55,59.1,59.1,48600,149252,59.3
2014-07-10,59.05,59.8,59.0,59.7,72134,141186,59.5
2014-07-11,59.75,60.65,59.65,60.5,128684,132948,60.2
2014-07-14,60.45,60.65,60.05,60.3,45534,134392,60.3
2014-07-15,60.35,60.6,60.1,60.35,46440,124218,60.25
2014-07-16,60.45,61.9,60.3,61.25,194042,120806,61.35
2014-07-17,61.3,61.75,61.15,61.5,59130,119668,61.45
2014-07-18,61.6,62.6,60.25,60.75,78276,115730,61.05
2014-07-21,60.85,61.6,60.7,61.55,48076,115858,61.2
2014-07-22,61.5,62.25,61.1,61.35,45534,117098,61.4
2014-07-23,61.4,61.6,61.1,61.35,35058,118268,61.35
2014-07-24,61.35,61.8,61.0,61.7,51780,121120,61.4
2014-07-25,61.8,62.3,61.5,61.9,105446,119420,61.85
2014-07-28,62.0,62.55,61.7,62.25,87662,117940,62.2
2014-07-29,62.3,62.45,61.85,61.9,53660,110476,62.05
2014-07-30,61.75,62.15,61.6,61.7,42754,105484,61.85
2014-07-31,61.75,63.5,61.7,63.05,177398,105750,62.85
2014-08-01,63.1,63.2,62.5,62.85,83296,91344,62.8
2014-08-04,62.9,63.9,62.9,63.45,76254,80168,63.5
2014-08-05,63.45,63.7,63.05,63.65,35736,75688,63.4
2014-08-06,63.6,63.65,63.3,63.45,24580,70610,63.45
2014-08-07,62.1,63.95,62.1,63.8,117708,79202,63.05
2014-08-08,64.35,64.5,63.75,64.35,56494,75340,64.05
2014-08-11,64.3,65.15,64.2,65.0,67686,71670,64.75
2014-08-12,65.1,65.4,64.6,65.35,53262,63916,65.0
2014-08-13,65.2,66.0,64.95,65.4,74558,50136,65.45
2014-08-14,65.45,65.55,63.0,63.8,79676,39146,63.9
2014-08-15,63.6,64.75,63.5,64.2,40876,34220,64.3
2014-08-18,64.1,64.45,63.3,64.0,31430,34150,63.95
2014-08-19,64.0,64.35,63.4,64.1,23850,32140,63.95
2014-08-20,64.05,64.9,63.6,64.2,21132,31252,64.1
2014-08-21,64.25,64.8,63.95,64.0,17308,28330,64.35
2014-08-22,63.8,63.8,61.15,63.8,38164,26542,63.0
2014-08-25,63.8,64.85,63.75,64.55,17456,25590,64.25
2014-08-26,64.35,65.5,64.3,65.45,18222,23234,64.85
2014-08-27,65.8,67.0,65.65,66.55,44896,18776,66.5
2014-08-28,59.55,60.0,59.05,59.85,13586,22236,59.6
2014-08-29,59.55,60.0,59.2,59.35,17752,25180,59.5
2014-09-01,59.4,59.4,57.35,59.25,41406,28810,58.8
2014-09-02,59.15,59.9,59.15,59.25,18182,27926,59.4
2014-09-03,59.3,59.55,58.9,59.05,10146,28728,59.25
2014-09-04,58.9,59.65,58.9,59.25,12108,27690,59.35
2014-09-05,59.1,59.4,58.8,59.3,15362,27950,59.1
2014-09-09,59.15,60.4,59.15,60.4,31100,26128,59.85
2014-09-10,60.4,61.4,60.05,61.0,53204,25014,60.7
2014-09-11,61.1,61.25,60.75,61.1,32990,26638,61.0
2014-09-12,61.1,61.7,60.5,61.45,41378,26926,60.95
2014-09-15,61.4,63.95,61.15,62.25,59648,29646,62.15
2014-09-16,62.45,63.65,62.25,62.8,73232,42368,62.95
2014-09-17,62.85,63.25,62.65,62.7,34040,40854,62.95
2014-09-18,62.6,63.45,62.6,62.9,43500,39472,62.95
2014-09-19,62.9,63.3,62.2,62.55,44660,37912,62.5
2014-09-22,62.3,62.55,60.4,61.5,64490,28988,61.3
2014-09-23,61.6,62.0,61.35,61.55,27576,24888,61.75
2014-09-24,61.7,62.15,61.1,61.9,37262,22904,61.6
2014-09-25,62.0,63.0,61.1,61.15,35348,20742,62.0
2014-09-26,61.2,61.95,61.15,61.7,25788,19492,61.6
2014-09-29,62.15,62.95,61.75,62.1,35018,20714,62.25
2014-09-30,62.1,62.85,62.1,62.5,23470,21446,62.4
2014-10-09,61.95,62.65,61.6,62.55,20070,25970,62.15
2014-10-10,62.3,62.65,61.4,61.5,29172,22912,61.85
2014-10-13,61.5,62.6,61.45,62.35,21870,23122,62.1
2014-10-14,62.3,62.95,62.15,62.4,14770,24228,62.5
2014-10-15,62.2,62.8,61.5,61.55,22114,21858,61.85
2014-10-16,61.75,62.0,61.3,61.55,29044,23342,61.6
2014-10-17,61.8,62.3,61.65,62.0,16694,22076,61.95
2014-10-20,62.0,62.1,61.35,61.55,17098,22888,61.65
2014-10-21,61.5,62.0,61.45,61.6,12476,21812,61.7
2014-10-22,61.65,62.15,61.5,62.0,20570,21740,61.85
2014-10-23,61.9,62.75,61.9,62.75,29120,23678,62.25
2014-10-24,62.85,63.3,62.4,63.05,25098,29016,62.7
2014-10-27,63.05,63.6,62.15,62.2,20698,27800,62.65
2014-10-28,62.4,62.5,61.8,61.95,12762,24746,62.2
2014-10-29,61.7,62.7,61.7,62.55,21714,25022,62.35
2014-10-30,62.7,62.95,62.25,62.3,14494,24494,62.55
2014-10-31,62.5,62.7,62.0,62.15,9946,23222,62.4
2014-11-03,62.3,62.5,62.05,62.2,11984,22532,62.25
2014-11-04,62.3,62.8,60.05,60.3,71514,25750,61.55
2014-11-05,60.3,60.75,60.2,60.45,23782,25224,60.5
2014-11-06,60.4,60.75,59.5,60.7,33212,26926,60.3
2014-11-07,60.55,60.8,60.3,60.75,14538,26258,60.55
2014-11-10,60.7,60.7,60.2,60.4,15376,28530,60.4
2014-11-11,60.2,60.9,60.1,60.7,15556,28986,60.5
2014-11-12,60.75,60.9,60.45,60.65,12820,27648,60.6
2014-11-13,60.6,60.8,60.5,60.65,7862,27714,60.6
2014-11-14,60.9,63.6,60.55,61.95,33390,20600,61.65
2014-11-17,62.1,62.4,61.8,62.25,21714,17494,62.1
2014-11-18,62.5,62.6,62.1,62.4,9778,17140,62.3
2014-11-19,62.45,62.55,61.95,62.3,9672,14910,62.2
2014-11-20,62.5,62.5,62.0,62.15,6116,14328,62.25
2014-11-21,62.2,62.45,61.45,62.2,13564,13344,61.9
2014-11-24,62.3,63.55,62.1,63.15,23500,14604,62.8
2014-11-25,63.3,64.05,62.25,62.65,51768,16268,62.95
2014-11-26,62.55,62.7,61.5,62.25,29280,14480,62.05
2014-11-27,62.1,62.4,61.55,61.75,11444,13668,61.85
