date,open,high,low,close,volume,hold,settle,variety,variety_name,category,contract
2005-01-04,2000.0,2002.0,1979.0,1983.0,10124,24962,0.0,FU,燃料油,能源化工,FU0
2005-01-05,1995.0,2015.0,1991.0,2007.0,28536,27260,0.0,FU,燃料油,能源化工,FU0
2005-01-06,2000.0,2000.0,1988.0,1989.0,13644,24308,0.0,FU,燃料油,能源化工,FU0
2005-01-07,2020.0,2020.0,1999.0,2002.0,14540,23902,0.0,FU,燃料油,能源化工,FU0
2005-01-10,2007.0,2019.0,2005.0,2014.0,18996,24126,0.0,FU,燃料油,能源化工,FU0
2005-01-11,2008.0,2012.0,2002.0,2004.0,11006,24270,0.0,FU,燃料油,能源化工,FU0
2005-01-12,2015.0,2018.0,2005.0,2017.0,9608,24214,0.0,FU,燃料油,能源化工,FU0
2005-01-13,2020.0,2030.0,2017.0,2023.0,21372,25636,0.0,FU,燃料油,能源化工,FU0
2005-01-14,2032.0,2039.0,2027.0,2027.0,16240,25514,0.0,FU,燃料油,能源化工,FU0
2005-01-17,2032.0,2032.0,2002.0,2015.0,9854,23542,0.0,FU,燃料油,能源化工,FU0
2005-01-18,2023.0,2044.0,2017.0,2042.0,16892,24066,0.0,FU,燃料油,能源化工,FU0
2005-01-19,2065.0,2065.0,2045.0,2052.0,8104,7300,0.0,FU,燃料油,能源化工,FU0
2005-01-20,2044.0,2044.0,2027.0,2030.0,6924,7548,0.0,FU,燃料油,能源化工,FU0
2005-01-21,2030.0,2037.0,2028.0,2034.0,3878,7754,0.0,FU,燃料油,能源化工,FU0
2005-01-24,2022.0,2035.0,2022.0,2025.0,12840,21290,0.0,FU,燃料油,能源化工,FU0
2005-01-25,2060.0,2060.0,2051.0,2055.0,5222,9788,0.0,FU,燃料油,能源化工,FU0
2005-01-26,2067.0,2074.0,2053.0,2054.0,9876,10828,0.0,FU,燃料油,能源化工,FU0
2005-01-27,2051.0,2056.0,2037.0,2050.0,8672,10618,0.0,FU,燃料油,能源化工,FU0
2005-01-28,2044.0,2047.0,2038.0,2045.0,5386,9130,0.0,FU,燃料油,能源化工,FU0
2005-01-31,2010.0,2023.0,2010.0,2017.0,9898,18422,0.0,FU,燃料油,能源化工,FU0
2005-02-01,2036.0,2044.0,2031.0,2038.0,5044,9736,0.0,FU,燃料油,能源化工,FU0
2005-02-02,2033.0,2042.0,2029.0,2042.0,3804,9978,0.0,FU,燃料油,能源化工,FU0
2005-02-03,2037.0,2052.0,2035.0,2038.0,6548,8274,0.0,FU,燃料油,能源化工,FU0
2005-02-04,2039.0,2054.0,2035.0,2054.0,4284,8382,0.0,FU,燃料油,能源化工,FU0
2005-02-16,2075.0,2075.0,2060.0,2065.0,4194,8512,0.0,FU,燃料油,能源化工,FU0
2005-02-17,2075.0,2095.0,2071.0,2094.0,10462,12458,0.0,FU,燃料油,能源化工,FU0
2005-02-18,2086.0,2091.0,2079.0,2081.0,7570,10608,0.0,FU,燃料油,能源化工,FU0
2005-02-21,2092.0,2095.0,2084.0,2088.0,6108,10522,0.0,FU,燃料油,能源化工,FU0
2005-02-22,2092.0,2115.0,2086.0,2106.0,8236,9682,0.0,FU,燃料油,能源化工,FU0
2005-02-23,2152.0,2180.0,2152.0,2165.0,10182,6304,0.0,FU,燃料油,能源化工,FU0
2005-02-24,2168.0,2173.0,2151.0,2153.0,5212,7278,0.0,FU,燃料油,能源化工,FU0
2005-02-25,2145.0,2164.0,2135.0,2161.0,8094,7662,0.0,FU,燃料油,能源化工,FU0
2005-02-28,2170.0,2190.0,2166.0,2179.0,9050,9814,0.0,FU,燃料油,能源化工,FU0
2005-03-01,2176.0,2180.0,2155.0,2158.0,4626,9048,0.0,FU,燃料油,能源化工,FU0
2005-03-02,2158.0,2174.0,2147.0,2167.0,6234,8736,0.0,FU,燃料油,能源化工,FU0
2005-03-03,2188.0,2238.0,2175.0,2226.0,19054,10144,0.0,FU,燃料油,能源化工,FU0
2005-03-04,2230.0,2262.0,2224.0,2244.0,21856,11472,0.0,FU,燃料油,能源化工,FU0
2005-03-07,2248.0,2258.0,2234.0,2244.0,9118,11514,0.0,FU,燃料油,能源化工,FU0
2005-03-08,2244.0,2253.0,2242.0,2243.0,6128,12596,0.0,FU,燃料油,能源化工,FU0
2005-03-09,2266.0,2332.0,2262.0,2310.0,30362,14970,0.0,FU,燃料油,能源化工,FU0
2005-03-10,2301.0,2323.0,2300.0,2310.0,16762,14454,0.0,FU,燃料油,能源化工,FU0
2005-03-11,2288.0,2297.0,2268.0,2280.0,13362,15126,0.0,FU,燃料油,能源化工,FU0
2005-03-14,2320.0,2365.0,2312.0,2344.0,13864,11864,0.0,FU,燃料油,能源化工,FU0
2005-03-15,2371.0,2408.0,2360.0,2408.0,11904,9416,0.0,FU,燃料油,能源化工,FU0
2005-03-16,2408.0,2459.0,2305.0,2403.0,30350,13742,0.0,FU,燃料油,能源化工,FU0
2005-03-17,2468.0,2515.0,2464.0,2482.0,24764,15710,0.0,FU,燃料油,能源化工,FU0
2005-03-18,2460.0,2490.0,2419.0,2429.0,19760,14282,0.0,FU,燃料油,能源化工,FU0
2005-03-21,2477.0,2490.0,2442.0,2462.0,27164,16358,0.0,FU,燃料油,能源化工,FU0
2005-03-22,2450.0,2491.0,2420.0,2473.0,38302,18938,0.0,FU,燃料油,能源化工,FU0
2005-03-23,2419.0,2419.0,2342.0,2352.0,47124,17300,0.0,FU,燃料油,能源化工,FU0
2005-03-24,2290.0,2371.0,2280.0,2367.0,69076,16576,0.0,FU,燃料油,能源化工,FU0
2005-03-25,2380.0,2409.0,2363.0,2383.0,44956,15726,0.0,FU,燃料油,能源化工,FU0
2005-03-28,2382.0,2416.0,2381.0,2386.0,35090,16812,0.0,FU,燃料油,能源化工,FU0
2005-03-29,2380.0,2392.0,2358.0,2365.0,42564,17122,0.0,FU,燃料油,能源化工,FU0
2005-03-30,2380.0,2398.0,2376.0,2388.0,28484,15038,0.0,FU,燃料油,能源化工,FU0
2005-03-31,2410.0,2462.0,2404.0,2449.0,47166,15260,0.0,FU,燃料油,能源化工,FU0
2005-04-01,2490.0,2500.0,2465.0,2487.0,45046,13760,0.0,FU,燃料油,能源化工,FU0
2005-04-04,2533.0,2590.0,2533.0,2582.0,54774,17688,0.0,FU,燃料油,能源化工,FU0
2005-04-05,2542.0,2572.0,2539.0,2564.0,41524,17312,0.0,FU,燃料油,能源化工,FU0
2005-04-06,2536.0,2650.0,2532.0,2614.0,108836,23128,0.0,FU,燃料油,能源化工,FU0
2005-04-07,2625.0,2676.0,2615.0,2668.0,141992,25366,0.0,FU,燃料油,能源化工,FU0
2005-04-08,2615.0,2633.0,2576.0,2606.0,211982,28656,0.0,FU,燃料油,能源化工,FU0
2005-04-11,2599.0,2648.0,2585.0,2633.0,150610,32464,0.0,FU,燃料油,能源化工,FU0
2005-04-12,2659.0,2666.0,2620.0,2644.0,95656,30716,0.0,FU,燃料油,能源化工,FU0
2005-04-13,2520.0,2537.0,2488.0,2509.0,130680,22940,0.0,FU,燃料油,能源化工,FU0
2005-04-14,2496.0,2533.0,2470.0,2525.0,135032,24726,0.0,FU,燃料油,能源化工,FU0
2005-04-15,2548.0,2555.0,2529.0,2534.0,72188,22486,0.0,FU,燃料油,能源化工,FU0
2005-04-18,2509.0,2522.0,2492.0,2507.0,78492,24470,0.0,FU,燃料油,能源化工,FU0
2005-04-19,2515.0,2536.0,2515.0,2528.0,83404,31294,0.0,FU,燃料油,能源化工,FU0
2005-04-20,2600.0,2638.0,2585.0,2615.0,142830,36794,0.0,FU,燃料油,能源化工,FU0
2005-04-21,2620.0,2641.0,2566.0,2569.0,139500,31554,0.0,FU,燃料油,能源化工,FU0
2005-04-22,2605.0,2627.0,2598.0,2615.0,118234,31326,0.0,FU,燃料油,能源化工,FU0
2005-04-25,2660.0,2680.0,2648.0,2669.0,129710,36536,0.0,FU,燃料油,能源化工,FU0
2005-04-26,2625.0,2635.0,2615.0,2631.0,74164,36142,0.0,FU,燃料油,能源化工,FU0
2005-04-27,2628.0,2652.0,2628.0,2630.0,85290,35686,0.0,FU,燃料油,能源化工,FU0
2005-04-28,2550.0,2574.0,2546.0,2567.0,89628,33362,0.0,FU,燃料油,能源化工,FU0
2005-04-29,2582.0,2590.0,2574.0,2589.0,47266,29402,0.0,FU,燃料油,能源化工,FU0
2005-05-09,2600.0,2625.0,2595.0,2599.0,40548,28342,0.0,FU,燃料油,能源化工,FU0
2005-05-10,2631.0,2637.0,2606.0,2610.0,50612,27670,0.0,FU,燃料油,能源化工,FU0
