date,open,high,low,close,volume,hold,settle
2020-10-12,5798.0,5832.0,5750.0,5832.0,51327,19362,5808.0
2020-10-13,5932.0,6042.0,5900.0,6042.0,538024,77665,6008.0
2020-10-14,6054.0,6138.0,5992.0,6104.0,309822,89404,6064.0
2020-10-15,6126.0,6270.0,6112.0,6266.0,559919,167776,6204.0
2020-10-16,6224.0,6454.0,6224.0,6454.0,1300979,251716,6342.0
2020-10-19,6462.0,6596.0,6432.0,6596.0,1458246,316768,6536.0
2020-10-20,6602.0,6618.0,6482.0,6564.0,1388290,306556,6546.0
2020-10-21,6536.0,6586.0,6488.0,6500.0,794840,288029,6536.0
2020-10-22,6530.0,6546.0,6274.0,6274.0,1221706,224512,6372.0
2020-10-23,6252.0,6314.0,6214.0,6238.0,646077,174759,6270.0
2020-10-26,6236.0,6326.0,6228.0,6254.0,479646,172231,6274.0
2020-10-27,6218.0,6286.0,6136.0,6144.0,453060,170317,6212.0
2020-10-28,6150.0,6206.0,6126.0,6178.0,356361,163360,6162.0
2020-10-29,6130.0,6176.0,6052.0,6058.0,315482,152349,6116.0
2020-10-30,6008.0,6102.0,5990.0,6016.0,237954,138240,6044.0
2020-11-02,6010.0,6172.0,6008.0,6094.0,380653,142514,6116.0
2020-11-03,6118.0,6162.0,6074.0,6076.0,195213,145515,6126.0
2020-11-04,6110.0,6114.0,6026.0,6066.0,157732,139596,6080.0
2020-11-05,6080.0,6100.0,5966.0,5982.0,159705,147914,6034.0
2020-11-06,5990.0,6004.0,5854.0,5888.0,263988,149173,5924.0
2020-11-09,5880.0,5926.0,5858.0,5902.0,153150,145719,5894.0
2020-11-10,6038.0,6124.0,5944.0,6006.0,334924,137063,6026.0
2020-11-11,6022.0,6112.0,6002.0,6066.0,217347,140201,6072.0
2020-11-12,6080.0,6136.0,6038.0,6048.0,194634,148000,6088.0
2020-11-13,6040.0,6070.0,5934.0,5956.0,168873,145772,5992.0
2020-11-16,5904.0,5990.0,5894.0,5964.0,175421,145686,5938.0
2020-11-17,5990.0,6032.0,5940.0,5968.0,158023,147265,5988.0
2020-11-18,5960.0,6024.0,5922.0,6000.0,149577,147703,5982.0
2020-11-19,6030.0,6032.0,5974.0,5994.0,105680,146178,6000.0
2020-11-20,6000.0,6050.0,5972.0,6006.0,149135,141034,6020.0
2020-11-23,6002.0,6080.0,5990.0,6040.0,108810,143354,6030.0
2020-11-24,6048.0,6108.0,6026.0,6100.0,162979,149334,6072.0
2020-11-25,6094.0,6144.0,6066.0,6100.0,142038,145102,6106.0
2020-11-26,6100.0,6130.0,6046.0,6064.0,101462,144093,6094.0
2020-11-27,6054.0,6100.0,6040.0,6096.0,77786,140693,6070.0
2020-11-30,6104.0,6130.0,6006.0,6016.0,121528,132433,6076.0
2020-12-01,6030.0,6062.0,6012.0,6030.0,62963,133521,6036.0
2020-12-02,6036.0,6052.0,5942.0,5946.0,103446,130763,5986.0
2020-12-03,5944.0,6014.0,5908.0,5988.0,108400,133235,5974.0
2020-12-04,5990.0,6098.0,5964.0,6092.0,169067,123153,6040.0
2020-12-07,6106.0,6250.0,6072.0,6248.0,183565,127385,6164.0
2020-12-08,6244.0,6286.0,6168.0,6182.0,167934,124591,6234.0
2020-12-09,6200.0,6264.0,6150.0,6192.0,126151,120890,6212.0
2020-12-10,6198.0,6240.0,6160.0,6166.0,101269,117503,6202.0
2020-12-11,6184.0,6270.0,6160.0,6228.0,137450,116593,6208.0
2020-12-14,6222.0,6362.0,6222.0,6344.0,168282,121355,6310.0
2020-12-15,6362.0,6362.0,6200.0,6278.0,109640,112146,6290.0
2020-12-16,6290.0,6312.0,6246.0,6270.0,60191,108722,6280.0
2020-12-17,6282.0,6338.0,6268.0,6338.0,77862,113180,6306.0
2020-12-18,6338.0,6392.0,6284.0,6318.0,95235,110392,6342.0
2020-12-21,6320.0,6336.0,6208.0,6266.0,84230,102287,6272.0
2020-12-22,6266.0,6304.0,6162.0,6216.0,112532,92204,6244.0
2020-12-23,6238.0,6262.0,6130.0,6226.0,92850,90039,6212.0
2020-12-24,6260.0,6290.0,6216.0,6290.0,54709,92485,6258.0
2020-12-25,6284.0,6340.0,6262.0,6304.0,90907,94324,6308.0
2020-12-28,6322.0,6328.0,6232.0,6256.0,84325,93098,6276.0
2020-12-29,6282.0,6286.0,6162.0,6184.0,79914,96048,6222.0
2020-12-30,6186.0,6282.0,6180.0,6282.0,85557,90496,6240.0
2020-12-31,6286.0,6450.0,6252.0,6422.0,154007,110849,6364.0
2021-01-04,6400.0,6560.0,6400.0,6538.0,81076,119217,6492.0
2021-01-05,6522.0,6696.0,6514.0,6594.0,242893,130278,6606.0
2021-01-06,6610.0,6746.0,6580.0,6714.0,199265,131341,6674.0
2021-01-07,6702.0,6866.0,6666.0,6848.0,166757,144270,6770.0
2021-01-08,6844.0,6910.0,6724.0,6804.0,177939,134523,6824.0
2021-01-11,6814.0,6818.0,6548.0,6572.0,231048,115681,6666.0
2021-01-12,6576.0,6662.0,6512.0,6646.0,115900,113051,6588.0
2021-01-13,6660.0,6772.0,6626.0,6726.0,152543,113824,6704.0
2021-01-14,6712.0,6738.0,6592.0,6596.0,140959,106915,6658.0
2021-01-15,6582.0,6682.0,6546.0,6576.0,133221,112056,6612.0
2021-01-18,6576.0,6652.0,6534.0,6626.0,107559,112937,6600.0
2021-01-19,6626.0,6784.0,6602.0,6644.0,188263,116695,6692.0
2021-01-20,6656.0,6712.0,6608.0,6658.0,105982,116012,6668.0
2021-01-21,6662.0,6728.0,6610.0,6614.0,131373,116341,6682.0
2021-01-22,6614.0,6656.0,6476.0,6494.0,153163,115097,6572.0
2021-01-25,6456.0,6538.0,6456.0,6512.0,90273,107240,6502.0
2021-01-26,6512.0,6580.0,6440.0,6454.0,75969,104809,6530.0
2021-01-27,6468.0,6548.0,6440.0,6538.0,80911,105251,6490.0
2021-01-28,6508.0,6546.0,6424.0,6458.0,92218,102132,6480.0
2021-01-29,6470.0,6624.0,6466.0,6618.0,109238,99181,6546.0
2021-02-01,6632.0,6766.0,6602.0,6724.0,124583,105670,6692.0
2021-02-02,6750.0,6808.0,6710.0,6748.0,122483,101117,6764.0
2021-02-03,6782.0,6832.0,6668.0,6706.0,144204,101606,6758.0
2021-02-04,6724.0,6798.0,6690.0,6792.0,87938,103148,6748.0
2021-02-05,6786.0,6820.0,6738.0,6776.0,84605,102138,6784.0
2021-02-08,6794.0,7036.0,6790.0,7004.0,197240,124557,6938.0
2021-02-09,7008.0,7118.0,6982.0,7098.0,155634,119320,7048.0
2021-02-10,7096.0,7144.0,7040.0,7144.0,117712,122182,7094.0
2021-02-18,7350.0,7734.0,7350.0,7734.0,171281,142055,7614.0
2021-02-19,7702.0,7762.0,7490.0,7594.0,266154,136019,7630.0
2021-02-22,7594.0,8078.0,7530.0,8024.0,298198,144433,7868.0
2021-02-23,7998.0,8236.0,7908.0,7968.0,326422,134002,8068.0
2021-02-24,7970.0,8142.0,7910.0,8040.0,259723,143096,8042.0
2021-02-25,8158.0,8526.0,8070.0,8506.0,403889,143864,8342.0
2021-02-26,8508.0,8578.0,8260.0,8362.0,355427,140089,8418.0
2021-03-01,8304.0,8400.0,7928.0,8046.0,522283,116235,8136.0
2021-03-02,8016.0,8062.0,7712.0,7824.0,371043,110290,7882.0
2021-03-03,7880.0,7998.0,7726.0,7788.0,290389,107125,7870.0
2021-03-04,7836.0,7840.0,7580.0,7720.0,344548,111244,7708.0
2021-03-05,7700.0,7874.0,7616.0,7780.0,416678,111700,7760.0
2021-03-08,7832.0,8090.0,7808.0,7920.0,340200,105385,7946.0
2021-03-09,7900.0,7900.0,7600.0,7600.0,248490,101209,7774.0
2021-03-10,7640.0,7684.0,7306.0,7370.0,332635,105526,7490.0
2021-03-11,7418.0,7596.0,7354.0,7578.0,266319,100833,7448.0
2021-03-12,7578.0,7692.0,7502.0,7548.0,277590,103289,7594.0
2021-03-15,7540.0,7618.0,7384.0,7436.0,250308,101413,7498.0
2021-03-16,7394.0,7468.0,7136.0,7162.0,284911,112908,7310.0
2021-03-17,7154.0,7278.0,7114.0,7228.0,204396,108491,7204.0
2021-03-18,7172.0,7286.0,7124.0,7264.0,201682,107314,7224.0
2021-03-19,7256.0,7352.0,6954.0,7014.0,370591,99479,7184.0
2021-03-22,7018.0,7248.0,6994.0,7206.0,210196,92697,7130.0
2021-03-23,7220.0,7284.0,7136.0,7208.0,197358,100062,7216.0
2021-03-24,7108.0,7230.0,7060.0,7158.0,236125,99857,7146.0
2021-03-25,7200.0,7222.0,7014.0,7018.0,186811,111733,7126.0
