date,open,high,low,close,volume,hold,settle
2019-08-16,3600.0,3735.0,3597.0,3685.0,268800,28664,3686.0
2019-08-19,3690.0,3696.0,3662.0,3673.0,52502,25730,3679.0
2019-08-20,3679.0,3679.0,3655.0,3662.0,21768,24242,3666.0
2019-08-21,3664.0,3675.0,3663.0,3671.0,15386,21638,3670.0
2019-08-22,3675.0,3675.0,3616.0,3633.0,23448,21882,3639.0
2019-08-23,3630.0,3639.0,3625.0,3635.0,7190,20906,3632.0
2019-08-26,3640.0,3664.0,3623.0,3632.0,13120,21592,3642.0
2019-08-27,3633.0,3648.0,3628.0,3641.0,6742,20960,3639.0
2019-08-28,3640.0,3643.0,3626.0,3627.0,6666,23000,3629.0
2019-08-29,3621.0,3636.0,3600.0,3623.0,7224,23748,3624.0
2019-08-30,3624.0,3640.0,3611.0,3619.0,11028,24854,3626.0
2019-09-02,3626.0,3635.0,3619.0,3623.0,8028,25300,3626.0
2019-09-03,3626.0,3626.0,3611.0,3618.0,5222,25322,3618.0
2019-09-04,3620.0,3635.0,3601.0,3625.0,14308,26442,3618.0
2019-09-05,3635.0,3635.0,3616.0,3618.0,7620,26050,3622.0
2019-09-06,3617.0,3709.0,3616.0,3658.0,60784,32904,3663.0
2019-09-09,3663.0,3673.0,3623.0,3660.0,17402,33122,3651.0
2019-09-10,3663.0,3672.0,3645.0,3652.0,6618,33064,3654.0
2019-09-11,3653.0,3664.0,3630.0,3637.0,6696,31990,3643.0
2019-09-12,3635.0,3642.0,3628.0,3631.0,4166,31176,3635.0
2019-09-16,3635.0,3651.0,3629.0,3639.0,4980,31416,3644.0
2019-09-17,3642.0,3685.0,3639.0,3673.0,11958,32256,3658.0
2019-09-18,3681.0,3685.0,3656.0,3670.0,11186,31138,3669.0
2019-09-19,3666.0,3676.0,3663.0,3671.0,4758,29970,3670.0
2019-09-20,3668.0,3692.0,3645.0,3667.0,11402,28356,3671.0
2019-09-23,3664.0,3678.0,3662.0,3670.0,4758,27460,3671.0
2019-09-24,3666.0,3677.0,3655.0,3673.0,2942,26832,3667.0
2019-09-25,3666.0,3674.0,3645.0,3655.0,3610,26030,3657.0
2019-09-26,3651.0,3680.0,3650.0,3665.0,3314,25876,3667.0
2019-09-27,3650.0,3668.0,3640.0,3645.0,3812,24018,3648.0
2019-09-30,3642.0,3654.0,3638.0,3639.0,1928,23088,3645.0
2019-10-08,3636.0,3649.0,3630.0,3642.0,1454,22714,3638.0
2019-10-09,3642.0,3660.0,3640.0,3648.0,1762,22348,3648.0
2019-10-10,3655.0,3655.0,3643.0,3648.0,894,22356,3646.0
2019-10-11,3650.0,3650.0,3639.0,3641.0,1108,22272,3643.0
2019-10-14,3641.0,3648.0,3631.0,3641.0,1858,21648,3641.0
2019-10-15,3634.0,3649.0,3634.0,3634.0,1006,21720,3639.0
2019-10-16,3631.0,3643.0,3630.0,3637.0,1198,21184,3635.0
2019-10-17,3642.0,3643.0,3632.0,3639.0,668,20982,3636.0
2019-10-18,3635.0,3640.0,3634.0,3639.0,1240,20754,3637.0
2019-10-21,3636.0,3640.0,3630.0,3630.0,1008,20394,3634.0
2019-10-22,3630.0,3635.0,3609.0,3618.0,6528,16792,3618.0
2019-10-23,3616.0,3629.0,3610.0,3618.0,1394,16604,3618.0
2019-10-24,3629.0,3640.0,3609.0,3624.0,846,16546,3620.0
2019-10-25,3619.0,3627.0,3613.0,3617.0,710,16262,3619.0
2019-10-28,3617.0,3625.0,3617.0,3620.0,576,16136,3621.0
2019-10-29,3618.0,3624.0,3614.0,3622.0,944,15986,3619.0
2019-10-30,3624.0,3624.0,3617.0,3620.0,780,15916,3619.0
2019-10-31,3620.0,3649.0,3618.0,3629.0,2760,15406,3631.0
2019-11-01,3628.0,3630.0,3620.0,3624.0,728,15324,3623.0
2019-11-04,3624.0,3630.0,3621.0,3621.0,870,15170,3624.0
2019-11-05,3624.0,3631.0,3596.0,3615.0,5278,13270,3612.0
2019-11-06,3615.0,3620.0,3610.0,3620.0,1284,12588,3615.0
2019-11-07,3620.0,3626.0,3610.0,3619.0,910,12308,3616.0
2019-11-08,3619.0,3624.0,3610.0,3610.0,1448,11840,3617.0
2019-11-11,3610.0,3617.0,3603.0,3603.0,630,11766,3610.0
2019-11-12,3605.0,3614.0,3605.0,3605.0,242,11716,3608.0
2019-11-13,3610.0,3616.0,3608.0,3610.0,338,11588,3612.0
