date,open,high,low,close,volume,hold,settle
2014-08-12,5810.0,5956.0,5808.0,5912.0,233812,46588,5906.0
2014-08-13,5920.0,5946.0,5880.0,5926.0,119328,46610,5910.0
2014-08-14,5918.0,5936.0,5710.0,5740.0,142708,35404,5784.0
2014-08-15,5740.0,5780.0,5730.0,5774.0,63946,33498,5754.0
2014-08-18,5776.0,5796.0,5730.0,5748.0,48440,33734,5756.0
2014-08-19,5740.0,5780.0,5690.0,5776.0,39674,32334,5744.0
2014-08-20,5778.0,5778.0,5514.0,5730.0,47588,33542,5730.0
2014-08-21,5746.0,5778.0,5722.0,5742.0,15598,33038,5742.0
2014-08-22,5736.0,5754.0,5706.0,5716.0,27818,33512,5726.0
2014-08-25,5710.0,5742.0,5676.0,5738.0,40176,29610,5722.0
2014-08-26,5742.0,5770.0,5726.0,5752.0,15454,24442,5742.0
2014-08-27,5744.0,5788.0,5744.0,5766.0,16096,21552,5770.0
2014-08-28,5760.0,5780.0,5734.0,5780.0,11954,20416,5756.0
2014-08-29,5776.0,5810.0,5756.0,5800.0,16324,19760,5778.0
2014-09-01,5804.0,5828.0,5776.0,5776.0,22664,21208,5804.0
2014-09-02,5772.0,5798.0,5714.0,5762.0,34782,24782,5754.0
2014-09-03,5762.0,5792.0,5750.0,5754.0,10766,24676,5774.0
2014-09-04,5750.0,5788.0,5720.0,5764.0,13020,24444,5750.0
2014-09-05,5768.0,5784.0,5736.0,5752.0,10634,24888,5758.0
2014-09-09,5740.0,5754.0,5648.0,5662.0,35286,32824,5682.0
2014-09-10,5638.0,5786.0,5636.0,5710.0,25276,27534,5698.0
2014-09-11,5708.0,5714.0,5686.0,5698.0,8168,27304,5702.0
2014-09-12,5700.0,5736.0,5690.0,5728.0,5146,25880,5718.0
2014-09-15,5722.0,5786.0,5716.0,5776.0,8792,24370,5766.0
2014-09-16,5788.0,5808.0,5758.0,5764.0,6570,22790,5782.0
2014-09-17,5778.0,5786.0,5762.0,5778.0,2508,22772,5774.0
2014-09-18,5780.0,5788.0,5754.0,5758.0,3976,22258,5768.0
2014-09-19,5760.0,5762.0,5694.0,5700.0,11852,21826,5728.0
2014-09-22,5682.0,5686.0,5510.0,5540.0,20942,22332,5566.0
2014-09-23,5522.0,5592.0,5522.0,5562.0,11374,22412,5556.0
2014-09-24,5570.0,5640.0,5556.0,5590.0,6288,21070,5598.0
2014-09-25,5604.0,5634.0,5444.0,5468.0,30972,23844,5494.0
2014-09-26,5456.0,5536.0,5450.0,5500.0,13168,23138,5496.0
2014-09-29,5500.0,5540.0,5462.0,5538.0,6662,21986,5498.0
2014-09-30,5540.0,5586.0,5530.0,5572.0,6968,18852,5564.0
2014-10-09,5560.0,5646.0,5532.0,5636.0,5898,18644,5586.0
2014-10-10,5634.0,5642.0,5584.0,5594.0,4890,17962,5614.0
2014-10-13,5602.0,5698.0,5602.0,5630.0,13556,16212,5658.0
2014-10-14,5620.0,5638.0,5564.0,5580.0,6462,15798,5582.0
2014-10-15,5584.0,5608.0,5532.0,5536.0,6656,15832,5554.0
2014-10-16,5530.0,5580.0,5524.0,5570.0,6804,14838,5556.0
2014-10-17,5600.0,5622.0,5566.0,5588.0,3240,14220,5596.0
2014-10-20,5590.0,5620.0,5570.0,5620.0,2064,14028,5608.0
2014-10-21,5616.0,5620.0,5602.0,5610.0,1346,13702,5610.0
2014-10-22,5612.0,5620.0,5534.0,5540.0,3878,14006,5574.0
2014-10-23,5534.0,5596.0,5530.0,5580.0,2328,13558,5560.0
2014-10-24,5612.0,5622.0,5576.0,5618.0,2080,12914,5610.0
2014-10-27,5618.0,5620.0,5588.0,5598.0,1116,12778,5604.0
2014-10-28,5604.0,5610.0,5572.0,5606.0,962,12592,5596.0
2014-10-29,5600.0,5626.0,5600.0,5614.0,2024,12358,5618.0
2014-10-30,5618.0,5620.0,5550.0,5568.0,2918,11966,5582.0
2014-10-31,5552.0,5600.0,5368.0,5428.0,13816,11502,5484.0
2014-11-03,5420.0,5432.0,5368.0,5390.0,4352,12310,5402.0
2014-11-04,5384.0,5540.0,5334.0,5506.0,20824,9570,5492.0
2014-11-05,5480.0,5520.0,5450.0,5452.0,4706,8452,5486.0
2014-11-06,5460.0,5510.0,5440.0,5492.0,1588,8126,5494.0
2014-11-07,5492.0,5512.0,5490.0,5506.0,1234,7538,5504.0
2014-11-10,5510.0,5510.0,5492.0,5510.0,878,7260,5504.0
2014-11-11,5508.0,5512.0,5492.0,5510.0,1096,6860,5506.0
2014-11-12,5510.0,5512.0,5494.0,5508.0,832,6676,5506.0
2014-11-13,5506.0,5508.0,5470.0,5508.0,1438,6532,5488.0
2014-11-14,5504.0,5508.0,5484.0,5506.0,318,6442,5502.0
2014-11-17,5508.0,5510.0,5482.0,5482.0,482,6224,5506.0
2014-11-18,5478.0,5490.0,5448.0,5474.0,2982,6216,5462.0
2014-11-19,5456.0,5512.0,5456.0,5512.0,1710,5658,5496.0
2014-11-20,5500.0,5510.0,5470.0,5508.0,2044,4206,5498.0
2014-11-21,5500.0,5510.0,5470.0,5500.0,1146,3226,5506.0
2014-11-24,5518.0,5526.0,5498.0,5514.0,340,3226,5520.0
2014-11-25,5510.0,5518.0,5482.0,5488.0,364,3186,5496.0
2014-11-26,5488.0,5530.0,5450.0,5520.0,1194,3112,5504.0
2014-11-27,5530.0,5542.0,5502.0,5538.0,2926,1896,5530.0
