date,open,high,low,close,volume,hold,settle
2023-09-15,2950.0,3060.0,2790.0,2859.0,407987,30330,2915.0
2023-09-18,2858.0,2922.0,2836.0,2904.0,283416,32473,2884.0
2023-09-19,2913.0,3086.0,2898.0,3040.0,515904,46067,3023.0
2023-09-20,3058.0,3148.0,3038.0,3113.0,598941,59971,3100.0
2023-09-21,3116.0,3118.0,3033.0,3049.0,432914,52380,3069.0
2023-09-22,3061.0,3106.0,3051.0,3070.0,326405,51010,3078.0
2023-09-25,3078.0,3094.0,2930.0,2945.0,323538,53987,3001.0
2023-09-26,2946.0,2970.0,2870.0,2902.0,291703,51323,2918.0
2023-09-27,2908.0,2943.0,2860.0,2888.0,242500,44508,2908.0
2023-09-28,2898.0,2905.0,2797.0,2800.0,218744,44124,2860.0
2023-10-09,2795.0,2839.0,2750.0,2779.0,111355,47212,2784.0
2023-10-10,2783.0,2783.0,2626.0,2720.0,344386,58555,2694.0
2023-10-11,2716.0,2743.0,2657.0,2704.0,304232,61771,2700.0
2023-10-12,2695.0,2765.0,2677.0,2749.0,217512,63391,2707.0
2023-10-13,2752.0,2765.0,2666.0,2682.0,232766,70131,2703.0
2023-10-16,2706.0,2713.0,2641.0,2658.0,232274,80874,2673.0
2023-10-17,2650.0,2655.0,2561.0,2569.0,298316,103956,2605.0
2023-10-18,2571.0,2604.0,2563.0,2584.0,206359,101662,2585.0
2023-10-19,2570.0,2578.0,2506.0,2527.0,383008,108959,2535.0
2023-10-20,2525.0,2572.0,2504.0,2533.0,299451,107147,2538.0
2023-10-23,2531.0,2582.0,2519.0,2545.0,305841,113158,2547.0
2023-10-24,2543.0,2596.0,2525.0,2583.0,300187,106394,2560.0
2023-10-25,2587.0,2609.0,2555.0,2557.0,209723,102488,2579.0
2023-10-26,2551.0,2578.0,2525.0,2552.0,236277,108706,2549.0
2023-10-27,2539.0,2581.0,2538.0,2571.0,164847,105619,2560.0
2023-10-30,2572.0,2611.0,2557.0,2594.0,200479,100535,2584.0
2023-10-31,2590.0,2638.0,2582.0,2621.0,204110,92551,2607.0
