date,open,high,low,close,volume,hold,settle
2022-12-22,19100.0,19720.0,18160.0,18310.0,28742,4710,18540.0
2022-12-23,18180.0,18220.0,17060.0,17060.0,30354,7629,17425.0
2022-12-26,16940.0,17435.0,16825.0,17170.0,23991,7922,17185.0
2022-12-27,17200.0,17410.0,17130.0,17165.0,13350,8685,17285.0
2022-12-28,17100.0,17575.0,16960.0,17425.0,21736,8197,17365.0
2022-12-29,17390.0,17665.0,17325.0,17515.0,12999,7813,17495.0
2022-12-30,17535.0,18520.0,17535.0,17895.0,37967,7708,18070.0
2023-01-03,17870.0,18040.0,17600.0,17770.0,15386,7390,17815.0
2023-01-04,17715.0,18050.0,17555.0,17640.0,14744,7502,17850.0
2023-01-05,17615.0,17800.0,17500.0,17585.0,10709,7552,17640.0
2023-01-06,17530.0,17825.0,17530.0,17820.0,8604,7712,17675.0
2023-01-09,17850.0,17920.0,17670.0,17695.0,12281,12581,17785.0
2023-01-10,17705.0,17785.0,17460.0,17475.0,14945,19286,17690.0
2023-01-11,17460.0,17555.0,17315.0,17350.0,20389,28032,17435.0
2023-01-12,17330.0,17770.0,17270.0,17445.0,34783,38561,17525.0
2023-01-13,17450.0,17690.0,17420.0,17520.0,31521,52350,17555.0
2023-01-16,17450.0,17670.0,17450.0,17515.0,23451,59021,17530.0
2023-01-17,17530.0,17800.0,17530.0,17615.0,37276,73217,17635.0
2023-01-18,17650.0,17825.0,17620.0,17710.0,43134,81677,17720.0
2023-01-19,17720.0,18375.0,17650.0,18330.0,45507,89496,17885.0
2023-01-20,18400.0,18625.0,18105.0,18590.0,54931,91870,18360.0
2023-01-30,18660.0,18720.0,17980.0,18075.0,32749,94836,18290.0
2023-01-31,18065.0,18260.0,17820.0,17860.0,36851,99965,18075.0
2023-02-01,17860.0,18060.0,17660.0,17900.0,48186,103413,17840.0
2023-02-02,17840.0,18020.0,17575.0,17625.0,46937,105227,17855.0
2023-02-03,17670.0,17820.0,17500.0,17745.0,61844,84586,17680.0
2023-02-06,17695.0,17820.0,17625.0,17765.0,24588,67793,17710.0
2023-02-07,17780.0,17850.0,17655.0,17715.0,24892,57889,17745.0
2023-02-08,17740.0,18025.0,17680.0,17875.0,36280,51702,17805.0
2023-02-09,17875.0,18105.0,17820.0,18020.0,23555,53909,17985.0
2023-02-10,18000.0,18105.0,17775.0,17955.0,19541,54190,17940.0
2023-02-13,17955.0,18080.0,17850.0,17920.0,17928,53361,17975.0
2023-02-14,17930.0,18035.0,17900.0,17945.0,18859,51783,17975.0
2023-02-15,18000.0,18110.0,17865.0,17885.0,25670,50866,17960.0
2023-02-16,17950.0,17950.0,17585.0,17630.0,32027,47060,17805.0
2023-02-17,17630.0,17750.0,17360.0,17375.0,27627,47877,17610.0
2023-02-20,17300.0,17495.0,17260.0,17470.0,32048,48666,17380.0
2023-02-21,17555.0,17800.0,17550.0,17675.0,34830,46597,17630.0
2023-02-22,17650.0,17755.0,17505.0,17575.0,41633,47406,17645.0
2023-02-23,17620.0,17700.0,17570.0,17620.0,39303,46217,17635.0
2023-02-24,17635.0,17680.0,17555.0,17635.0,44344,45607,17605.0
2023-02-27,17615.0,17745.0,17460.0,17480.0,42878,46391,17600.0
2023-02-28,17500.0,17580.0,17420.0,17520.0,68158,44252,17495.0
2023-03-01,17500.0,17595.0,17485.0,17540.0,29733,45681,17540.0
2023-03-02,17550.0,17620.0,17510.0,17525.0,30400,47030,17540.0
2023-03-03,17510.0,17560.0,17480.0,17490.0,53516,44830,17520.0
2023-03-06,17490.0,17520.0,17290.0,17300.0,36285,47066,17430.0
2023-03-07,17300.0,17410.0,17100.0,17130.0,38319,50572,17310.0
2023-03-08,17140.0,17330.0,17010.0,17175.0,23780,50393,17115.0
2023-03-09,17195.0,17220.0,17010.0,17075.0,38897,51650,17090.0
2023-03-10,17085.0,17115.0,16865.0,16960.0,42969,51827,16990.0
2023-03-13,16960.0,17040.0,16820.0,16970.0,37179,52516,16930.0
2023-03-14,16940.0,17060.0,16860.0,16905.0,27612,51114,16950.0
2023-03-15,16880.0,16960.0,16710.0,16740.0,28714,51155,16875.0
2023-03-16,16690.0,16710.0,15950.0,15975.0,45330,53627,16330.0
2023-03-17,16060.0,16310.0,16010.0,16120.0,44038,54550,16175.0
2023-03-20,16160.0,16295.0,16020.0,16080.0,34958,52766,16185.0
2023-03-21,16200.0,16330.0,15785.0,15870.0,45907,58019,15970.0
2023-03-22,15870.0,16030.0,15745.0,15965.0,49933,58933,15865.0
2023-03-23,15990.0,16070.0,15850.0,15895.0,34570,58690,15950.0
2023-03-24,15920.0,15980.0,15750.0,15895.0,42570,60439,15890.0
2023-03-27,15900.0,16065.0,15880.0,15915.0,34828,60151,15950.0
2023-03-28,15950.0,15995.0,15865.0,15910.0,42609,60224,15925.0
2023-03-29,15640.0,15890.0,15480.0,15750.0,55338,61440,15765.0
2023-03-30,15710.0,15790.0,15650.0,15730.0,34111,62460,15705.0
2023-03-31,15740.0,15820.0,15490.0,15515.0,54924,65673,15700.0
2023-04-03,15555.0,15600.0,15310.0,15310.0,53344,66447,15435.0
2023-04-04,15310.0,15310.0,14990.0,15070.0,62029,68747,15135.0
2023-04-06,15040.0,15335.0,14710.0,15225.0,90203,67573,14980.0
2023-04-07,15255.0,15310.0,15120.0,15225.0,56010,69080,15230.0
2023-04-10,15250.0,15290.0,14865.0,14930.0,56688,68942,15030.0
2023-04-11,14925.0,15050.0,14830.0,14965.0,44975,68790,14970.0
2023-04-12,14980.0,15310.0,14980.0,15155.0,66574,72907,15165.0
2023-04-13,15155.0,15230.0,15025.0,15065.0,47834,73790,15110.0
2023-04-14,15100.0,15220.0,15015.0,15085.0,65570,75421,15110.0
2023-04-17,15110.0,15400.0,15095.0,15395.0,80138,73197,15260.0
2023-04-18,15420.0,15545.0,15300.0,15480.0,73674,71320,15445.0
2023-04-19,15540.0,15660.0,15410.0,15440.0,69044,67939,15535.0
2023-04-20,15400.0,15450.0,15150.0,15160.0,73032,71782,15240.0
2023-04-21,15100.0,15225.0,15035.0,15140.0,55796,69726,15125.0
2023-04-24,15100.0,15295.0,15015.0,15120.0,49468,72000,15185.0
2023-04-25,15160.0,15410.0,15160.0,15400.0,53476,72600,15285.0
2023-04-26,15375.0,15550.0,15300.0,15325.0,67064,72262,15420.0
2023-04-27,15305.0,15475.0,15125.0,15175.0,59387,66623,15290.0
2023-04-28,15170.0,15275.0,15090.0,15190.0,50403,60818,15165.0
2023-05-04,15160.0,15325.0,15120.0,15190.0,42299,65291,15210.0
2023-05-05,15160.0,15295.0,15010.0,15225.0,57306,69038,15145.0
2023-05-08,15300.0,15360.0,15205.0,15235.0,44316,70272,15260.0
2023-05-09,15230.0,15240.0,15070.0,15100.0,44109,70881,15135.0
2023-05-10,15090.0,15160.0,14535.0,14565.0,110812,80773,14755.0
2023-05-11,14505.0,14520.0,14320.0,14400.0,77693,81343,14420.0
2023-05-12,14360.0,14450.0,14150.0,14150.0,62643,82878,14315.0
2023-05-15,14180.0,14270.0,14040.0,14085.0,57217,82520,14125.0
2023-05-16,14090.0,14215.0,14020.0,14050.0,53521,84450,14085.0
2023-05-17,14030.0,14080.0,13815.0,13860.0,64711,86748,13885.0
2023-05-18,13860.0,13920.0,13550.0,13620.0,88463,87886,13680.0
2023-05-19,13505.0,13520.0,13170.0,13250.0,99229,90555,13330.0
2023-05-22,13170.0,13190.0,12695.0,12880.0,112779,89892,12965.0
2023-05-23,12900.0,13280.0,12880.0,13150.0,95956,86235,13120.0
2023-05-24,13120.0,13275.0,13010.0,13090.0,72858,85262,13105.0
2023-05-25,13025.0,13035.0,12585.0,12635.0,89371,88354,12820.0
2023-05-26,12580.0,12985.0,12505.0,12860.0,102220,87292,12690.0
2023-05-29,12930.0,13230.0,12760.0,12880.0,74437,88566,12885.0
2023-05-30,12885.0,12945.0,12785.0,12880.0,55542,88362,12865.0
2023-05-31,12790.0,12860.0,12700.0,12815.0,63175,82346,12780.0
2023-06-01,12890.0,13030.0,12875.0,12975.0,68167,81666,12950.0
2023-06-02,13000.0,13365.0,12970.0,13220.0,92383,76895,13135.0
2023-06-05,13270.0,13295.0,12915.0,13020.0,61490,77159,13025.0
2023-06-06,13030.0,13135.0,12950.0,12990.0,54538,79501,13020.0
2023-06-07,13020.0,13050.0,12610.0,12705.0,68878,81671,12825.0
2023-06-08,12755.0,12855.0,12565.0,12765.0,69427,79206,12740.0
2023-06-09,12825.0,12880.0,12710.0,12730.0,59057,78706,12790.0
2023-06-12,12695.0,12720.0,12540.0,12545.0,49428,80767,12625.0
2023-06-13,12510.0,12665.0,12380.0,12535.0,79222,84435,12515.0
2023-06-14,12560.0,12700.0,12420.0,12540.0,89495,84603,12565.0
2023-06-15,12535.0,12630.0,12270.0,12370.0,83846,87835,12445.0
2023-06-16,12435.0,12570.0,12395.0,12495.0,66755,90251,12490.0
2023-06-19,12700.0,13360.0,12610.0,13240.0,199390,83727,13095.0
2023-06-20,13270.0,13870.0,13220.0,13760.0,215686,76870,13585.0
2023-06-21,13630.0,13740.0,13125.0,13380.0,185212,75227,13400.0
2023-06-26,13150.0,13285.0,13000.0,13065.0,98203,80039,13130.0
2023-06-27,13120.0,13265.0,13020.0,13120.0,76679,81317,13135.0
2023-06-28,13125.0,13220.0,13070.0,13140.0,68436,76554,13140.0
2023-06-29,13200.0,13540.0,13120.0,13375.0,100393,74605,13335.0
2023-06-30,13405.0,13490.0,13190.0,13275.0,86355,66383,13385.0
2023-07-03,13400.0,13470.0,13280.0,13380.0,39868,64986,13370.0
2023-07-04,13370.0,13445.0,13105.0,13235.0,54573,64630,13285.0
2023-07-05,13340.0,13340.0,13080.0,13100.0,38213,63317,13190.0
2023-07-06,13200.0,13290.0,13135.0,13215.0,35465,68603,13210.0
2023-07-07,13240.0,13370.0,13080.0,13220.0,50473,73273,13255.0
2023-07-10,13230.0,13400.0,13210.0,13330.0,54146,76760,13320.0
2023-07-11,13400.0,13560.0,13350.0,13380.0,59764,79624,13440.0
2023-07-12,13400.0,14010.0,13380.0,13950.0,107954,92713,13665.0
2023-07-13,13800.0,14225.0,13635.0,13650.0,167777,94689,13910.0
2023-07-14,13690.0,13900.0,13560.0,13665.0,114669,96061,13745.0
2023-07-17,13605.0,13650.0,13150.0,13260.0,102167,89276,13455.0
2023-07-18,13360.0,13430.0,13210.0,13325.0,64196,89135,13330.0
2023-07-19,13360.0,13630.0,13360.0,13495.0,86264,89552,13490.0
2023-07-20,13550.0,13740.0,13520.0,13640.0,80503,89754,13620.0
2023-07-21,13600.0,13610.0,13250.0,13365.0,58843,89289,13410.0
2023-07-24,13400.0,13530.0,13365.0,13440.0,49047,89081,13450.0
2023-07-25,13500.0,13645.0,13500.0,13555.0,50181,91655,13565.0
2023-07-26,13630.0,13770.0,13590.0,13615.0,69165,90914,13680.0
2023-07-27,13640.0,13795.0,13515.0,13570.0,60060,90237,13665.0
2023-07-28,13530.0,13620.0,13440.0,13610.0,54704,88786,13520.0
2023-07-31,13700.0,13935.0,13650.0,13725.0,69625,86823,13790.0
2023-08-01,13800.0,13830.0,13650.0,13745.0,37806,81563,13730.0
2023-08-02,13690.0,13950.0,13655.0,13860.0,59219,75167,13825.0
2023-08-03,13680.0,13680.0,12895.0,13290.0,71156,58273,13425.0
2023-08-04,13400.0,13490.0,13175.0,13330.0,42897,50485,13355.0
2023-08-07,13330.0,13430.0,13140.0,13200.0,40834,46562,13265.0
2023-08-08,13235.0,13295.0,13160.0,13185.0,14333,42393,13200.0
2023-08-09,13265.0,13665.0,13240.0,13595.0,60103,58406,13480.0
2023-08-10,13605.0,13710.0,13550.0,13625.0,40549,61736,13620.0
2023-08-11,13690.0,13720.0,13455.0,13645.0,46871,61966,13590.0
2023-08-14,13780.0,13885.0,13595.0,13660.0,52679,65000,13735.0
2023-08-15,13675.0,13710.0,13595.0,13635.0,37510,65631,13640.0
2023-08-16,13580.0,13620.0,13390.0,13460.0,45149,67805,13470.0
2023-08-17,13415.0,13575.0,13350.0,13515.0,38771,66654,13485.0
2023-08-18,13575.0,13665.0,13475.0,13530.0,34233,66072,13550.0
2023-08-21,13500.0,13730.0,13495.0,13625.0,45305,65616,13610.0
2023-08-22,13650.0,13750.0,13590.0,13695.0,49031,66000,13680.0
2023-08-23,13720.0,13815.0,13655.0,13665.0,41935,66486,13735.0
2023-08-24,13705.0,13840.0,13650.0,13725.0,52216,69007,13750.0
2023-08-25,13755.0,13850.0,13700.0,13795.0,32852,70596,13765.0
2023-08-28,13870.0,13930.0,13305.0,13410.0,74095,68873,13635.0
2023-08-29,13420.0,13560.0,13375.0,13510.0,34984,66763,13470.0
2023-08-30,13560.0,13590.0,13435.0,13540.0,35130,66448,13520.0
2023-08-31,13560.0,13640.0,13500.0,13540.0,33549,61096,13550.0
2023-09-01,13590.0,13930.0,13590.0,13805.0,54335,56781,13745.0
