index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
116,AG2606,20260601,18160,18403,18000,18118.0,8919,16910,243399.357,18193,18152,AG
117,AG2607,20260601,18253,18451,18038,18132.0,21106,15637,577214.8515,18232,18202,AG
118,AG2608,20260601,18294,18485,18050,18156.0,747027,267921,20464902.597,18263,18206,AG
119,AG2609,20260601,18321,18496,18066,18193.0,30874,13215,846281.3325,18273,18220,AG
120,AG2610,20260601,18331,18509,18075,18189.0,163164,84876,4475164.395,18284,18228,AG
121,AG2611,20260601,18362,18517,18099,18210.0,2865,6862,78626.796,18295,18248,AG
122,AG2612,20260601,18320,18520,18088,18210.0,34837,57793,956500.4355,18304,18262,AG
123,AG2701,20260601,18366,18563,18120,18220.0,3427,4609,94117.125,18308,18226,AG
124,AG2702,20260601,18347,18543,18130,18245.0,3014,5459,82883.2665,18332,18275,AG
125,AG2703,20260601,18413,18550,18154,18276.0,601,1550,16544.388,18352,18304,AG
126,AG2704,20260601,18405,18569,18185,18277.0,464,1647,12783.8445,18367,18315,AG
127,AG2705,20260601,18466,18610,18248,18321.0,299,559,8245.6995,18385,18386,AG
116,AG2606,20260602,18183,18487,17800,18449,8390,14084,228739.548,18175,18193,AG
117,AG2607,20260602,18276,18513,17831,18495,22482,14920,612403.8645,18159,18232,AG
118,AG2608,20260602,18253,18540,17850,18522,690899,272959,18819157.3815,18159,18263,AG
119,AG2609,20260602,18270,18552,17871,18542,46917,13072,1279467.705,18180,18273,AG
120,AG2610,20260602,18269,18563,17875,18550,208380,87138,5684581.9035,18186,18284,AG
121,AG2611,20260602,18283,18566,17897,18559,2961,6879,80786.103,18188,18295,AG
122,AG2612,20260602,18290,18585,17900,18566,54908,57997,1499091.438,18201,18304,AG
123,AG2701,20260602,18319,18596,17920,18582,3998,4572,109197.6,18208,18308,AG
124,AG2702,20260602,18349,18600,17927,18578,3354,5495,91731.5505,18233,18332,AG
125,AG2703,20260602,18350,18634,17962,18606,720,1546,19747.8345,18285,18352,AG
126,AG2704,20260602,18405,18645,17972,18615,1115,1652,30567.033,18276,18367,AG
127,AG2705,20260602,18392,18665,18012,18638,431,588,11847.7485,18325,18385,AG
116,AG2606,20260603,18263,18422,17877,17960.0,5106,13004,138734.229,18113,18175,AG
117,AG2607,20260603,18371,18458,17901,17988.0,14445,14960,393674.0805,18168,18159,AG
118,AG2608,20260603,18375,18484,17920,18008.0,551038,279219,15045441.4515,18202,18159,AG
119,AG2609,20260603,18399,18498,17942,18035.0,36005,14072,983453.565,18209,18180,AG
120,AG2610,20260603,18409,18508,17952,18038.0,181630,89635,4967136.0705,18231,18186,AG
121,AG2611,20260603,18350,18515,17973,18050.0,3007,6938,82238.4435,18232,18188,AG
122,AG2612,20260603,18421,18528,17980,18068.0,39041,58275,1068989.1795,18254,18201,AG
123,AG2701,20260603,18444,18541,17995,18076.0,2195,4632,60086.163,18249,18208,AG
124,AG2702,20260603,18415,18548,18008,18102.0,2055,5621,56284.5525,18259,18233,AG
125,AG2703,20260603,18491,18547,18050,18120.0,412,1558,11275.4385,18245,18285,AG
126,AG2704,20260603,18477,18580,18043,18123.0,747,1662,20512.7265,18306,18276,AG
127,AG2705,20260603,18529,18600,18078,18175.0,267,614,7319.883,18276,18325,AG
116,AG2606,20260604,17889,17984,17610,17698,4610,11870,123004.029,17788,18113,AG
117,AG2607,20260604,17922,18020,17641,17706,16034,15721,428790.9615,17828,18168,AG
118,AG2608,20260604,17951,18036,17650,17730,555102,287231,14859523.8375,17845,18202,AG
119,AG2609,20260604,18000,18055,17676,17743,41301,14715,1106764.5885,17865,18209,AG
120,AG2610,20260604,17976,18066,17688,17761,198548,92195,5326027.0395,17883,18231,AG
121,AG2611,20260604,17979,18080,17709,17791,2837,7109,76194.606,17904,18232,AG
122,AG2612,20260604,18005,18093,17713,17800,29136,58997,782425.848,17902,18254,AG
123,AG2701,20260604,17998,18108,17739,17816,2986,4755,80297.892,17927,18249,AG
124,AG2702,20260604,18042,18117,17748,17810,2540,5810,68280.0135,17921,18259,AG
125,AG2703,20260604,18038,18136,17800,17852,483,1572,12998.8065,17941,18245,AG
126,AG2704,20260604,18052,18149,17784,17857,803,1759,21631.4895,17958,18306,AG
127,AG2705,20260604,18116,18174,17823,17900,399,681,10758.5805,17975,18276,AG
116,AG2606,20260605,18011,18176,17143,17480,5536,10004,147109.551,17715,17788,AG
117,AG2607,20260605,18000,18214,17175,17514,22087,15547,587728.572,17739,17828,AG
118,AG2608,20260605,18038,18230,17170,17528,705730,289322,18816178.8285,17774,17845,AG
119,AG2609,20260605,18042,18244,17200,17567,52799,15805,1407947.8995,17777,17865,AG
120,AG2610,20260605,18033,18258,17221,17569,252277,93461,6736547.151,17801,17883,AG
121,AG2611,20260605,18080,18272,17232,17595,2771,7131,74155.5105,17840,17904,AG
122,AG2612,20260605,18080,18285,17250,17593,40620,59014,1083459.8115,17782,17902,AG
123,AG2701,20260605,18133,18300,17276,17611,3789,4913,101365.503,17835,17927,AG
124,AG2702,20260605,18073,18311,17291,17622,2797,5886,74863.0695,17843,17921,AG
125,AG2703,20260605,18148,18320,17315,17637,592,1647,15911.9985,17918,17941,AG
126,AG2704,20260605,18181,18352,17322,17661,1071,1827,28749.459,17895,17958,AG
127,AG2705,20260605,18196,18380,17353,17702,777,761,20901.9915,17933,17975,AG
116,AG2606,20260608,17330,17330,15910,16124,13950,5598,342788.856,16381,17715,AG
117,AG2607,20260608,17371,17371,15963,16180,37945,17260,942321.7005,16555,17739,AG
118,AG2608,20260608,17242,17250,15970,16204,958488,284624,23887346.4135,16614,17774,AG
119,AG2609,20260608,17318,17318,15998,16220,73592,17340,1836233.625,16634,17777,AG
120,AG2610,20260608,17300,17300,16001,16226,372741,96573,9305847.9915,16643,17801,AG
121,AG2611,20260608,17340,17340,16025,16242,5972,7380,149409.849,16678,17840,AG
122,AG2612,20260608,17401,17401,16035,16264,67861,58535,1696370.4045,16665,17782,AG
123,AG2701,20260608,17350,17350,16060,16287,7040,5078,176485.3605,16712,17835,AG
124,AG2702,20260608,17400,17400,16069,16300,5399,5905,135102.243,16682,17843,AG
125,AG2703,20260608,17400,17400,16117,16327,1054,1795,26512.2975,16769,17918,AG
126,AG2704,20260608,17400,17400,16125,16344,2416,2064,60851.6085,16791,17895,AG
127,AG2705,20260608,17502,17502,16177,16389,1403,1075,35282.8725,16765,17933,AG
116,AG2606,20260609,16559,16559,16181,16400.0,614,5340,15076.029,16369,16381,AG
117,AG2607,20260609,16594,16594,16210,16449.0,16906,16909,415866.2775,16399,16555,AG
118,AG2608,20260609,16580,16615,16223,16458.0,602609,279277,14846112.555,16424,16614,AG
119,AG2609,20260609,16522,16625,16243,16471.0,47687,17134,1175689.7895,16436,16634,AG
120,AG2610,20260609,16600,16635,16251,16485.0,259232,97525,6395368.335,16446,16643,AG
121,AG2611,20260609,16692,16692,16268,16489.0,3758,7446,92814.873,16465,16678,AG
122,AG2612,20260609,16600,16673,16279,16504.0,36167,59665,893849.931,16476,16665,AG
123,AG2701,20260609,16625,16700,16303,16536.0,5110,5157,126514.152,16505,16712,AG
124,AG2702,20260609,16750,16750,16326,16550.0,2324,5918,57491.7405,16492,16682,AG
125,AG2703,20260609,16737,16742,16376,16570.0,269,1802,6680.0535,16555,16769,AG
126,AG2704,20260609,16712,16752,16370,16596.0,1232,2154,30605.151,16561,16791,AG
127,AG2705,20260609,16765,16765,16431,16613.0,508,1143,12647.4855,16597,16765,AG
116,AG2606,20260610,16400,16400,15197,15579,364,5140,8555.226,15668,16369,AG
117,AG2607,20260610,16490,16550,15236,15608,42159,17811,993629.133,15712,16399,AG
118,AG2608,20260610,16500,16577,15240,15622,1087128,277658,25723445.565,15774,16424,AG
119,AG2609,20260610,16511,16575,15260,15636,86654,18557,2052103.1505,15787,16436,AG
120,AG2610,20260610,16525,16594,15269,15640,434623,100617,10300844.172,15800,16446,AG
121,AG2611,20260610,16528,16599,15284,15658,6953,7505,165420.375,15860,16465,AG
122,AG2612,20260610,16545,16599,15300,15676,74521,60508,1767117.189,15808,16476,AG
123,AG2701,20260610,16588,16622,15307,15674,8381,5183,199551.558,15873,16505,AG
124,AG2702,20260610,16590,16640,15323,15696,5570,6540,131912.319,15788,16492,AG
125,AG2703,20260610,16651,16667,15349,15667,896,1843,21203.0205,15776,16555,AG
126,AG2704,20260610,16639,16691,15381,15754,1772,2319,42179.4705,15868,16561,AG
127,AG2705,20260610,16679,16718,15400,15774,1535,1206,36445.14,15828,16597,AG
