index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
84,AO2606,20260601,2753,2768,2723,2746.0,1639,8445,8995.252,2744,2735,AO
85,AO2607,20260601,2790,2805,2762,2788.0,15483,24234,86221.648,2784,2784,AO
86,AO2608,20260601,2852,2856,2815,2839.0,6178,44373,35072.45,2838,2836,AO
87,AO2609,20260601,2898,2910,2867,2892.0,404967,311559,2339333.756,2888,2888,AO
88,AO2610,20260601,2942,2945,2900,2922.0,8643,56348,50500.15,2921,2916,AO
89,AO2611,20260601,2967,2973,2925,2946.0,930,3428,5485.402,2949,2946,AO
90,AO2612,20260601,3004,3004,2956,2975.0,116,2348,689.884,2973,2981,AO
91,AO2701,20260601,2997,3018,2983,3005.0,2905,15368,17433.456,3000,3002,AO
92,AO2702,20260601,3007,3029,2991,3010.0,26,320,156.614,3011,3016,AO
93,AO2703,20260601,3015,3043,3010,3029.0,166,1112,1003.718,3023,3021,AO
94,AO2704,20260601,3041,3060,3023,3048.0,56,357,340.472,3039,3041,AO
95,AO2705,20260601,3110,3110,3045,3070.0,129,444,789.722,3060,3053,AO
84,AO2606,20260602,2727,2739,2681,2719,1260,7500,6832.02,2711,2744,AO
85,AO2607,20260602,2808,2808,2732,2754,13492,24834,74435.008,2758,2784,AO
86,AO2608,20260602,2836,2853,2779,2802,5559,43274,31187.782,2805,2838,AO
87,AO2609,20260602,2890,2891,2824,2851,372220,308963,2125437.404,2855,2888,AO
88,AO2610,20260602,2907,2919,2851,2876,6730,56592,38788.788,2881,2921,AO
89,AO2611,20260602,2931,2933,2880,2909,624,3512,3628.92,2907,2949,AO
90,AO2612,20260602,2961,2967,2920,2940,284,2323,1668.8,2938,2973,AO
91,AO2701,20260602,3005,3010,2940,2963,3743,15713,22249.24,2972,3000,AO
92,AO2702,20260602,2997,3008,2964,2973,51,298,305.256,2992,3011,AO
93,AO2703,20260602,2995,3021,2953,2996,295,1018,1772.556,3004,3023,AO
94,AO2704,20260602,3020,3035,3004,3013,80,322,482.124,3013,3039,AO
95,AO2705,20260602,3055,3098,3011,3020,162,439,981.918,3030,3060,AO
84,AO2606,20260603,2709,2709,2660,2683.0,1800,6690,9651.24,2680,2711,AO
85,AO2607,20260603,2762,2762,2706,2724.0,11320,25401,61744.914,2727,2758,AO
86,AO2608,20260603,2790,2805,2754,2772.0,8089,42710,44944.742,2778,2805,AO
87,AO2609,20260603,2852,2856,2793,2813.0,291880,314164,1646796.776,2821,2855,AO
88,AO2610,20260603,2856,2883,2813,2836.0,9943,56228,56510.886,2841,2881,AO
89,AO2611,20260603,2902,2902,2840,2857.0,1089,3430,6236.762,2863,2907,AO
90,AO2612,20260603,2930,2930,2868,2884.0,239,2307,1387.976,2903,2938,AO
91,AO2701,20260603,2963,2971,2900,2919.0,3119,15784,18273.934,2929,2972,AO
92,AO2702,20260603,2970,2970,2917,2936.0,39,306,229.428,2941,2992,AO
93,AO2703,20260603,2980,2990,2937,2956.0,181,1006,1075.684,2971,3004,AO
94,AO2704,20260603,3005,3005,2970,2989.0,38,321,226.632,2982,3013,AO
95,AO2705,20260603,3016,3019,2988,3003.0,202,416,1213.136,3002,3030,AO
84,AO2606,20260604,2686,2693,2630,2639,1410,5880,7511.55,2663,2680,AO
85,AO2607,20260604,2721,2743,2671,2679,14585,26102,78828.7,2702,2727,AO
86,AO2608,20260604,2780,2791,2719,2726,7801,42212,42830.78,2745,2778,AO
87,AO2609,20260604,2805,2831,2751,2760,327757,322129,1829220.592,2790,2821,AO
88,AO2610,20260604,2822,2854,2773,2781,8310,57699,46615.912,2804,2841,AO
89,AO2611,20260604,2857,2876,2802,2813,944,3454,5348.146,2832,2863,AO
90,AO2612,20260604,2898,2909,2833,2845,191,2359,1093.504,2862,2903,AO
91,AO2701,20260604,2923,2939,2863,2875,2720,15845,15756.418,2896,2929,AO
92,AO2702,20260604,2937,2944,2885,2894,89,283,517.928,2909,2941,AO
93,AO2703,20260604,2961,2961,2905,2907,177,918,1033.562,2919,2971,AO
94,AO2704,20260604,2986,2986,2915,2929,49,318,288.656,2945,2982,AO
95,AO2705,20260604,2993,3001,2931,2941,289,408,1711.998,2961,3002,AO
84,AO2606,20260605,2639,2665,2636,2660,1215,5175,6447.75,2653,2663,AO
85,AO2607,20260605,2673,2698,2666,2686,8651,25893,46414.768,2682,2702,AO
86,AO2608,20260605,2735,2740,2712,2730,3733,41610,20365.898,2727,2745,AO
87,AO2609,20260605,2755,2773,2742,2766,227446,319656,1254317.016,2757,2790,AO
88,AO2610,20260605,2784,2796,2762,2791,6411,58314,35646.986,2780,2804,AO
89,AO2611,20260605,2803,2822,2791,2821,534,3393,2999.548,2808,2832,AO
90,AO2612,20260605,2842,2852,2821,2847,81,2343,460.108,2840,2862,AO
91,AO2701,20260605,2879,2884,2857,2878,3079,16146,17687.178,2872,2896,AO
92,AO2702,20260605,2884,2894,2879,2894,34,291,196.274,2886,2909,AO
93,AO2703,20260605,2901,2917,2891,2917,74,910,429.604,2902,2919,AO
94,AO2704,20260605,2919,2928,2911,2928,56,324,326.836,2918,2945,AO
95,AO2705,20260605,2925,2942,2913,2942,225,501,1317.734,2928,2961,AO
84,AO2606,20260608,2664,2670,2645,2655,405,5040,2152.17,2657,2653,AO
85,AO2607,20260608,2673,2705,2673,2693,12674,26109,68154.64,2688,2682,AO
86,AO2608,20260608,2721,2755,2720,2743,5410,41026,29601.53,2735,2727,AO
87,AO2609,20260608,2760,2793,2754,2780,276979,309455,1536169.842,2773,2757,AO
88,AO2610,20260608,2794,2814,2778,2799,7910,59445,44195.78,2793,2780,AO
89,AO2611,20260608,2821,2844,2807,2820,747,3322,4220.882,2825,2808,AO
90,AO2612,20260608,2854,2869,2840,2849,754,2268,4299.066,2850,2840,AO
91,AO2701,20260608,2889,2901,2869,2878,3305,15974,19063.226,2883,2872,AO
92,AO2702,20260608,2893,2914,2893,2896,36,300,208.832,2900,2886,AO
93,AO2703,20260608,2921,2930,2905,2910,87,923,506.998,2913,2902,AO
94,AO2704,20260608,2929,2942,2926,2933,14,327,82.128,2933,2918,AO
95,AO2705,20260608,2931,2958,2930,2947,94,506,552.852,2940,2928,AO
84,AO2606,20260609,2667,2752,2648,2745.0,450,4740,2413.98,2682,2657,AO
85,AO2607,20260609,2702,2775,2674,2755.0,19502,24819,106394.338,2727,2688,AO
86,AO2608,20260609,2734,2823,2722,2804.0,10075,39213,55917.046,2775,2735,AO
87,AO2609,20260609,2770,2854,2757,2838.0,403248,302391,2263783.03,2806,2773,AO
88,AO2610,20260609,2797,2878,2777,2860.0,10299,59667,58097.632,2820,2793,AO
89,AO2611,20260609,2821,2899,2802,2884.0,1344,3443,7704.126,2866,2825,AO
90,AO2612,20260609,2853,2924,2834,2900.0,1541,2171,8951.884,2904,2850,AO
91,AO2701,20260609,2874,2961,2865,2939.0,5869,16197,34359.01,2927,2883,AO
92,AO2702,20260609,2899,2972,2889,2966.0,27,304,157.654,2919,2900,AO
93,AO2703,20260609,2900,3000,2900,2982.0,440,727,2629.582,2988,2913,AO
94,AO2704,20260609,2945,3009,2935,2987.0,45,339,268.968,2988,2933,AO
95,AO2705,20260609,2949,3022,2934,2994.0,280,580,1676.67,2994,2940,AO
84,AO2606,20260610,2770,2800,2769,2800,420,4515,2334.75,2779,2682,AO
85,AO2607,20260610,2759,2831,2739,2811,28419,22130,158366.15,2786,2727,AO
86,AO2608,20260610,2813,2880,2787,2855,11860,37571,67220.906,2833,2775,AO
87,AO2609,20260610,2840,2921,2823,2894,550091,286157,3155763.668,2868,2806,AO
88,AO2610,20260610,2874,2939,2846,2916,12966,59160,74909.974,2888,2820,AO
89,AO2611,20260610,2890,2956,2863,2935,1201,3498,6992.572,2911,2866,AO
90,AO2612,20260610,2914,2976,2877,2958,897,2137,5254.856,2929,2904,AO
91,AO2701,20260610,2934,3003,2903,2982,6846,14927,40467.68,2955,2927,AO
