index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
108,AU2606,20260601,984.88,999.8,980.02,981.0,3785,8757,374141.634,988.48,977.5,AU
109,AU2607,20260601,987.74,1001.72,982.44,982.48,3923,1947,389214.126,992.12,979.02,AU
110,AU2608,20260601,987.92,1003.22,983.5,983.58,240345,193569,23868225.864,993.08,980.5,AU
111,AU2610,20260601,990.88,1005.66,986.02,986.02,34720,51432,3456383.674,995.5,983,AU
112,AU2612,20260601,992.58,1008.12,988.34,988.48,11091,32886,1106199.74,997.38,985.5,AU
113,AU2702,20260601,997.08,1010.5,991.02,991.02,1512,5789,151290.98,1000.6,986.9,AU
114,AU2704,20260601,998.08,1012.6,993.22,993.42,653,3378,65394.842,1001.44,988.66,AU
115,AU2706,20260601,999.08,1014.48,995.76,995.76,499,336,50070.092,1003.4,995.24,AU
108,AU2606,20260602,981,987.66,969.84,987.36,4020,6624,393593.256,979.08,988.48,AU
109,AU2607,20260602,983.4,989.16,971.54,989.14,3500,2133,342347.182,978.12,992.12,AU
110,AU2608,20260602,982.6,990.96,972.58,990.6,206219,190813,20204667.154,979.76,993.08,AU
111,AU2610,20260602,986.02,993.36,975,992.92,39217,52227,3850816.642,981.92,995.5,AU
112,AU2612,20260602,987.28,995.54,977.18,995.08,14287,33518,1407124.598,984.88,997.38,AU
113,AU2702,20260602,990.24,998.12,980,997.4,1838,5890,181626.78,988.16,1000.6,AU
114,AU2704,20260602,992.88,1000.16,982.46,999.74,372,3352,36870.132,991.12,1001.44,AU
115,AU2706,20260602,995.54,1002.66,985,1002.52,305,347,30296.672,993.32,1003.4,AU
108,AU2606,20260603,983.8,984.56,971.9,973.74,1536,6018,150033.108,976.76,979.08,AU
109,AU2607,20260603,986,986.72,973.66,975.08,1242,2162,121675.132,979.66,978.12,AU
110,AU2608,20260603,986.48,988.2,974.58,977.08,153332,192532,15037008.47,980.68,979.76,AU
111,AU2610,20260603,989.38,990.56,977.1,979.26,30176,53140,2966510.254,983.06,981.92,AU
112,AU2612,20260603,991.08,992.92,979.46,981.46,8332,33871,820785.8,985.1,984.88,AU
113,AU2702,20260603,993.76,995.54,982.34,984.32,796,5987,78587.626,987.28,988.16,AU
114,AU2704,20260603,995.76,996.92,984.3,986.18,308,3360,30484.662,989.76,991.12,AU
115,AU2706,20260603,998.2,999.34,986.78,988.56,190,343,18847.558,991.96,993.32,AU
