index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
220,BU2606,20260601,4369,4510,4318,4497.0,16253,23169,71484.114,4398,4338,BU
221,BU2607,20260601,4297,4476,4280,4464.0,78243,90565,342213.769,4373,4309,BU
222,BU2608,20260601,4265,4428,4225,4417.0,28163,98774,121973.927,4330,4261,BU
223,BU2609,20260601,4178,4345,4140,4336.0,393532,248488,1667518.885,4237,4178,BU
224,BU2610,20260601,4102,4241,4048,4223.0,30944,41123,128141.42,4141,4078,BU
225,BU2611,20260601,3990,4120,3927,4116.0,2157,2195,8687.076,4027,3968,BU
226,BU2612,20260601,3852,3991,3805,3985.0,7637,18582,29835.496,3906,3844,BU
227,BU2701,20260601,3705,3868,3690,3868.0,428,1551,1633.567,3816,3727,BU
228,BU2702,20260601,3679,3794,3674,3794.0,8,125,29.792,3724,3705,BU
229,BU2703,20260601,3765,3800,3765,3800.0,14,179,52.845,3774,3687,BU
230,BU2704,20260601,3780,3780,3780,3780.0,2,42,7.56,3780,3649,BU
231,BU2705,20260601,3655,3789,3640,3789.0,13,8,48.086,3698,3665,BU
232,BU2706,20260601,3645,3755,3636,3755.0,34,103,125.611,3694,3657,BU
233,BU2709,20260601,3638,3731,3634,3731.0,47,208,173.389,3689,3653,BU
234,BU2712,20260601,3600,3670,3559,3666.0,62,278,224.759,3625,3610,BU
235,BU2803,20260601,3600,3652,3600,3652.0,15,39,54.552,3636,3615,BU
220,BU2606,20260602,4495,4579,4463,4474,13318,20096,60308.701,4528,4398,BU
221,BU2607,20260602,4460,4555,4442,4453,79343,89479,356646.196,4494,4373,BU
222,BU2608,20260602,4411,4507,4356,4405,27537,99282,122525.149,4449,4330,BU
223,BU2609,20260602,4326,4423,4306,4321,475507,248671,2075849.337,4365,4237,BU
224,BU2610,20260602,4208,4318,4208,4225,26614,47277,113492.782,4264,4141,BU
225,BU2611,20260602,4109,4191,4093,4105,1950,2356,8089.223,4148,4027,BU
226,BU2612,20260602,3971,4063,3966,3977,12021,20927,48203.403,4009,3906,BU
227,BU2701,20260602,3865,3942,3844,3854,546,1691,2122.324,3887,3816,BU
228,BU2702,20260602,3880,3880,3823,3823,5,127,19.261,3852,3724,BU
229,BU2703,20260602,3801,3874,3801,3813,17,177,65.295,3840,3774,BU
230,BU2704,20260602,3826,3889,3771,3771,23,44,87.999,3826,3780,BU
231,BU2705,20260602,3794,3840,3749,3749,7,8,26.502,3786,3698,BU
232,BU2706,20260602,3770,3802,3732,3735,33,114,124.683,3778,3694,BU
233,BU2709,20260602,3726,3760,3681,3683,22,202,81.999,3727,3689,BU
234,BU2712,20260602,3707,3707,3621,3629,54,272,197.484,3657,3625,BU
235,BU2803,20260602,3661,3661,3619,3620,5,39,18.147,3629,3636,BU
220,BU2606,20260603,4473,4498,4420,4472.0,9542,18034,42575.608,4461,4528,BU
221,BU2607,20260603,4432,4473,4389,4457.0,52306,87057,232115.431,4437,4494,BU
222,BU2608,20260603,4384,4417,4332,4400.0,18194,97685,79769.972,4384,4449,BU
223,BU2609,20260603,4302,4331,4242,4313.0,414306,239194,1779340.836,4294,4365,BU
224,BU2610,20260603,4212,4234,4148,4218.0,19600,51453,82335.419,4200,4264,BU
225,BU2611,20260603,4090,4126,4037,4103.0,2166,2615,8852.703,4087,4148,BU
226,BU2612,20260603,3956,3989,3909,3980.0,13287,21256,52619.029,3960,4009,BU
227,BU2701,20260603,3840,3868,3792,3855.0,760,1428,2920.126,3842,3887,BU
228,BU2702,20260603,3801,3825,3751,3811.0,12,128,45.628,3802,3852,BU
229,BU2703,20260603,3783,3798,3728,3798.0,9,176,33.941,3771,3840,BU
230,BU2704,20260603,3778,3778,3737,3761.0,14,45,52.536,3752,3826,BU
231,BU2705,20260603,3726,3745,3719,3745.0,7,7,26.129,3732,3786,BU
232,BU2706,20260603,3724,3734,3714,3734.0,5,117,18.627,3725,3778,BU
233,BU2709,20260603,3686,3693,3686,3693.0,2,203,7.379,3689,3727,BU
234,BU2712,20260603,3629,3653,3600,3653.0,24,269,87.087,3628,3657,BU
235,BU2803,20260603,3622,3641,3595,3641.0,9,37,32.626,3625,3629,BU
220,BU2606,20260604,4483,4532,4457,4502,7383,16555,33153.965,4490,4461,BU
221,BU2607,20260604,4480,4514,4439,4485,58362,88532,261195.305,4475,4437,BU
222,BU2608,20260604,4425,4454,4380,4424,25380,95101,112058.216,4415,4384,BU
223,BU2609,20260604,4338,4371,4290,4339,387302,255653,1677025.126,4330,4294,BU
224,BU2610,20260604,4235,4268,4189,4241,23511,56603,99399.241,4227,4200,BU
225,BU2611,20260604,4121,4141,4077,4122,1849,2990,7598.837,4109,4087,BU
226,BU2612,20260604,3961,4010,3945,3991,10746,22566,42784.278,3981,3960,BU
227,BU2701,20260604,3874,3880,3827,3871,463,1576,1785.985,3857,3842,BU
228,BU2702,20260604,3839,3839,3815,3815,7,128,26.807,3829,3802,BU
229,BU2703,20260604,3804,3820,3787,3801,14,176,53.214,3801,3771,BU
230,BU2704,20260604,3785,3790,3761,3761,14,49,52.819,3772,3752,BU
231,BU2705,20260604,3787,3787,3787,3787,1,7,3.787,3787,3732,BU
232,BU2706,20260604,3754,3767,3719,3728,8,117,29.916,3739,3725,BU
233,BU2709,20260604,3700,3718,3685,3685,13,204,48.105,3700,3689,BU
234,BU2712,20260604,3666,3666,3625,3625,34,276,123.798,3641,3628,BU
235,BU2803,20260604,3670,3670,3620,3629,10,38,36.388,3638,3625,BU
220,BU2606,20260605,4460,4530,4450,4506,4857,15230,21825.924,4493,4490,BU
221,BU2607,20260605,4446,4514,4433,4478,49732,86996,222640.341,4476,4475,BU
222,BU2608,20260605,4335,4458,4335,4412,23722,93142,104751.578,4415,4415,BU
223,BU2609,20260605,4291,4385,4281,4337,437157,265648,1895946.99,4336,4330,BU
224,BU2610,20260605,4166,4279,4166,4233,20771,58122,87967.867,4235,4227,BU
225,BU2611,20260605,4065,4150,4065,4112,1576,3159,6484.281,4114,4109,BU
226,BU2612,20260605,3950,4018,3942,3976,10406,23282,41409.857,3979,3981,BU
227,BU2701,20260605,3816,3889,3816,3860,396,1619,1528.863,3860,3857,BU
228,BU2702,20260605,3825,3825,3799,3823,3,129,11.447,3815,3829,BU
229,BU2703,20260605,3795,3811,3772,3793,8,177,30.339,3792,3801,BU
230,BU2704,20260605,3744,3770,3740,3768,17,56,63.824,3754,3772,BU
231,BU2705,20260605,3736,3750,3724,3750,9,9,33.662,3740,3787,BU
232,BU2706,20260605,3714,3768,3714,3739,28,124,104.438,3729,3739,BU
233,BU2709,20260605,3700,3724,3688,3724,16,206,59.189,3699,3700,BU
234,BU2712,20260605,3612,3643,3612,3628,22,285,79.824,3628,3641,BU
235,BU2803,20260605,,,,3628,0,38,0.0,3628,3638,BU
220,BU2606,20260608,4515,4736,4488,4732,15641,8410,72639.433,4644,4493,BU
221,BU2607,20260608,4488,4699,4467,4686,92122,87962,422469.601,4585,4476,BU
