index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
294,EC2606,20260601,3050,3055,2972,3030.5,7767,8747,116804.3325,3007.5,2999,EC
295,EC2607,20260601,3650,3947.5,3649.5,3899.0,26698,21372,514604.79,3855,3491,EC
296,EC2608,20260601,2988.5,3315,2980,3210.0,7486,10999,118506.9925,3166,2909,EC
297,EC2609,20260601,2242,2379,2229.5,2307.0,733,865,8485.4425,2315,2194.5,EC
298,EC2610,20260601,2035,2112,2005.5,2058.0,6822,14009,70334.515,2061.5,1988,EC
299,EC2611,20260601,2080,2215,2080,2190.0,17,21,185.775,2185.5,2067.5,EC
300,EC2612,20260601,2340,2422,2332,2419.5,113,521,1347.195,2384,2282,EC
301,EC2703,20260601,1754,1781.5,1701.5,1770.0,39,228,340.4575,1745.5,1703.5,EC
294,EC2606,20260602,3030.5,3033,3003,3019,2829,7143,42649.5525,3015,3007.5,EC
295,EC2607,20260602,3910,3986,3611.5,3667,27929,20501,528374.615,3783.5,3855,EC
296,EC2608,20260602,3255,3362.5,3028,3069.5,9633,11746,153339.8425,3183.5,3166,EC
297,EC2609,20260602,2358.5,2373.5,2140,2150,912,974,10165.5575,2229,2315,EC
298,EC2610,20260602,2080,2085,1882,1895.5,8167,13177,80399.88,1968.5,2061.5,EC
299,EC2611,20260602,2211.5,2211.5,2125.5,2125.5,4,20,43.2825,2164,2185.5,EC
300,EC2612,20260602,2419.5,2448,2251.5,2270,109,511,1267.61,2325.5,2384,EC
301,EC2703,20260602,1809.5,1809.5,1681,1683,59,238,507.9825,1721.5,1745.5,EC
294,EC2606,20260603,3016,3027,3005,3023.0,1613,6159,24327.17,3016,3015,EC
295,EC2607,20260603,3680,3838,3602,3765.0,20721,21866,385990.7025,3725.5,3783.5,EC
296,EC2608,20260603,3100,3195,3021,3132.0,5434,12554,84772.0575,3120,3183.5,EC
297,EC2609,20260603,2189,2192.5,2085.5,2160.5,472,973,5069.25,2147.5,2229,EC
298,EC2610,20260603,1915,1930,1831,1889.5,5546,12984,52082.0425,1878,1968.5,EC
299,EC2611,20260603,2106,2151,2077,2140.0,11,23,116.5,2118,2164,EC
300,EC2612,20260603,2298,2361.5,2229.5,2308.0,124,521,1421.8575,2293,2325.5,EC
301,EC2703,20260603,1685,1708,1652,1700.0,22,244,185.7725,1688.5,1721.5,EC
294,EC2606,20260604,3023,3049,3017.5,3026,982,5602,14879.3575,3030,3016,EC
295,EC2607,20260604,3744,3798,3570,3679.5,22335,21913,411555.4325,3685,3725.5,EC
296,EC2608,20260604,3132,3142,2939,2985,6241,12852,95169.6525,3049.5,3120,EC
297,EC2609,20260604,2135,2185,2026.5,2069.5,511,1045,5403.43,2114.5,2147.5,EC
298,EC2610,20260604,1889.5,1900,1756.5,1785.5,5090,12818,46526.675,1828,1878,EC
299,EC2611,20260604,2103,2139.5,2070,2070,19,23,201.235,2118,2118,EC
300,EC2612,20260604,2269.5,2290,2206,2207,84,514,940.8375,2240,2293,EC
301,EC2703,20260604,1698,1715,1676,1680,52,261,441.1425,1696.5,1688.5,EC
294,EC2606,20260605,3024,3046,3020,3046,821,5186,12447.415,3032,3030,EC
295,EC2607,20260605,3660,3736,3602,3658.5,14086,21014,257936.3625,3662,3685,EC
296,EC2608,20260605,2960.5,3030,2870,2875.5,5626,12471,82973.5525,2949.5,3049.5,EC
297,EC2609,20260605,1997,2084.5,1961.5,1969,392,1033,3948.7425,2014.5,2114.5,EC
298,EC2610,20260605,1785.5,1799,1713,1713,4039,12618,35435.3375,1754.5,1828,EC
299,EC2611,20260605,2059.5,2071.5,1989.5,1989.5,14,20,141.61,2023,2118,EC
300,EC2612,20260605,2201,2214,2140,2140,109,514,1181.43,2167.5,2240,EC
301,EC2703,20260605,1692,1718.5,1658,1668.5,34,261,287.245,1689.5,1696.5,EC
294,EC2606,20260608,3070,3155,3055,3134,1229,4737,19103.8175,3108.5,3032,EC
295,EC2607,20260608,3705,4009,3705,4000,20785,23292,399246.0975,3841.5,3662,EC
296,EC2608,20260608,2959.5,3222,2944.5,3212,7867,12898,121356.38,3085,2949.5,EC
297,EC2609,20260608,1992,2135,1973,2132.5,446,1115,4606.2775,2065.5,2014.5,EC
298,EC2610,20260608,1760,1892.5,1721.5,1880,7179,12253,65376.6975,1821,1754.5,EC
299,EC2611,20260608,1939,2071,1939,2053.5,11,17,110.37,2006.5,2023,EC
300,EC2612,20260608,2200,2279,2160.5,2254,103,514,1147.6075,2228,2167.5,EC
301,EC2703,20260608,1668.5,1737,1660,1721.5,16,259,136.215,1702.5,1689.5,EC
294,EC2606,20260609,3125.5,3149,3107,3139.5,653,4483,10220.735,3130,3108.5,EC
295,EC2607,20260609,3900,3989,3780,3960.0,21090,23993,408035.955,3869,3841.5,EC
296,EC2608,20260609,3130,3193,2994,3161.0,7659,13495,117929.1225,3079,3085,EC
297,EC2609,20260609,2070.5,2100,1976,2065.5,450,1103,4550.0425,2022,2065.5,EC
298,EC2610,20260609,1819,1849,1747,1821.0,5236,12449,46802.2575,1787.5,1821,EC
299,EC2611,20260609,1988.5,1988.5,1988,1988.5,3,17,29.825,1988,2006.5,EC
300,EC2612,20260609,2181,2231.5,2151,2225.0,73,520,795.615,2179.5,2228,EC
301,EC2703,20260609,1650.5,1722,1632,1722.0,40,275,334.88,1674,1702.5,EC
294,EC2606,20260610,3151,3173,3133,3141,415,4183,6537.915,3150.5,3130,EC
295,EC2607,20260610,4038,4069,3893,3972,18911,24542,376134.73,3977.5,3869,EC
296,EC2608,20260610,3250,3315,3155,3202,8236,14350,133031.8125,3230,3079,EC
297,EC2609,20260610,2100,2174,2041,2067,673,1228,7052.605,2095.5,2022,EC
298,EC2610,20260610,1870,1903,1755,1768,5207,12501,46949.3775,1803,1787.5,EC
299,EC2611,20260610,2052,2052,1989.5,1989.5,2,18,20.2075,2020.5,1988,EC
300,EC2612,20260610,2256,2256,2183.5,2219,94,578,1041.43,2215.5,2179.5,EC
301,EC2703,20260610,1750,1768,1665,1665,31,284,266.9825,1722,1674,EC
