index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
208,FU2607,20260601,4051,4213,4031,4200.0,25541,31162,105642.934,4136,4089,FU
209,FU2608,20260601,3905,4053,3872,4046.0,4020,6697,15940.537,3965,3938,FU
210,FU2609,20260601,3768,3928,3732,3920.0,269445,189273,1034235.431,3838,3793,FU
211,FU2610,20260601,3674,3823,3646,3813.0,7531,19287,28108.702,3732,3705,FU
212,FU2611,20260601,3579,3729,3553,3720.0,11132,23212,40763.037,3661,3605,FU
213,FU2612,20260601,3516,3645,3495,3643.0,1049,4356,3757.297,3581,3550,FU
214,FU2701,20260601,3468,3586,3444,3583.0,8115,15188,28678.822,3534,3488,FU
215,FU2702,20260601,3416,3567,3415,3545.0,90,394,314.19,3491,3443,FU
216,FU2703,20260601,3407,3512,3392,3507.0,642,2192,2225.334,3466,3427,FU
217,FU2704,20260601,3385,3486,3372,3486.0,79,402,272.685,3451,3401,FU
218,FU2705,20260601,3365,3458,3349,3458.0,477,1183,1632.259,3421,3378,FU
219,FU2706,20260601,3469,3469,3398,3423.0,39,26,133.058,3411,3378,FU
208,FU2607,20260602,4160,4333,4148,4194,38076,30288,161360.793,4237,4136,FU
209,FU2608,20260602,4001,4159,3988,4022,6591,7174,26794.428,4065,3965,FU
210,FU2609,20260602,3880,4027,3851,3888,379681,191224,1493575.696,3933,3838,FU
211,FU2610,20260602,3784,3923,3750,3783,10222,21557,39106.143,3825,3732,FU
212,FU2611,20260602,3699,3818,3659,3689,10480,24919,39073.823,3728,3661,FU
213,FU2612,20260602,3608,3731,3582,3615,1916,4657,6965.378,3635,3581,FU
214,FU2701,20260602,3558,3669,3530,3553,13204,16427,47508.948,3598,3534,FU
215,FU2702,20260602,3507,3621,3496,3502,204,440,724.128,3549,3491,FU
216,FU2703,20260602,3491,3593,3467,3487,1071,2145,3775.717,3525,3466,FU
217,FU2704,20260602,3443,3562,3443,3460,104,404,364.735,3507,3451,FU
218,FU2705,20260602,3435,3536,3420,3435,977,1344,3396.708,3476,3421,FU
219,FU2706,20260602,3426,3500,3405,3420,92,58,316.956,3445,3411,FU
208,FU2607,20260603,4170,4274,4159,4260.0,17929,28154,75772.248,4226,4237,FU
209,FU2608,20260603,4018,4108,3991,4101.0,5052,6373,20493.436,4056,4065,FU
210,FU2609,20260603,3875,3974,3855,3954.0,239217,186711,937334.677,3918,3933,FU
211,FU2610,20260603,3777,3869,3761,3852.0,8748,23969,33377.967,3815,3825,FU
212,FU2611,20260603,3684,3780,3672,3770.0,10349,26298,38639.3,3733,3728,FU
213,FU2612,20260603,3608,3719,3595,3708.0,2507,3956,9177.793,3660,3635,FU
214,FU2701,20260603,3540,3645,3534,3635.0,7351,15525,26458.191,3599,3598,FU
215,FU2702,20260603,3492,3602,3490,3592.0,134,396,477.149,3560,3549,FU
216,FU2703,20260603,3487,3568,3475,3559.0,727,2091,2568.464,3532,3525,FU
217,FU2704,20260603,3467,3530,3458,3527.0,72,413,251.729,3496,3507,FU
218,FU2705,20260603,3432,3505,3430,3494.0,599,1220,2083.314,3477,3476,FU
219,FU2706,20260603,3435,3470,3408,3470.0,59,70,203.477,3448,3445,FU
208,FU2607,20260604,4268,4278,4171,4197,13175,27340,55577.99,4218,4226,FU
209,FU2608,20260604,4108,4111,4005,4026,3134,6492,12707.032,4054,4056,FU
210,FU2609,20260604,3969,3969,3855,3884,218175,184762,852828.169,3908,3918,FU
211,FU2610,20260604,3875,3875,3760,3782,6437,25733,24493.656,3805,3815,FU
212,FU2611,20260604,3781,3781,3678,3700,5921,27329,22030.761,3720,3733,FU
213,FU2612,20260604,3728,3728,3625,3641,1712,4209,6269.679,3662,3660,FU
214,FU2701,20260604,3646,3646,3554,3571,4620,14860,16600.948,3593,3599,FU
215,FU2702,20260604,3584,3588,3514,3541,62,402,220.42,3555,3560,FU
216,FU2703,20260604,3585,3585,3492,3512,187,2074,659.094,3524,3532,FU
217,FU2704,20260604,3501,3501,3465,3485,34,405,118.406,3482,3496,FU
218,FU2705,20260604,3505,3508,3436,3449,464,1270,1606.972,3463,3477,FU
