index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
152,HC2606,20260601,3356,3390,3356,3390.0,60,450,202.38,3373,3346,HC
153,HC2607,20260601,3364,3403,3364,3386.0,13326,44782,45061.764,3381,3363,HC
154,HC2608,20260601,3364,3400,3364,3398.0,145,1529,489.88,3378,3371,HC
155,HC2609,20260601,3372,3412,3372,3395.0,36957,203639,125418.728,3393,3375,HC
156,HC2610,20260601,3382,3415,3377,3400.0,431402,1607729,1465589.388,3397,3378,HC
157,HC2611,20260601,3385,3420,3383,3403.0,16508,158049,56172.703,3402,3384,HC
158,HC2612,20260601,3387,3389,3387,3389.0,7,617,23.719,3388,3388,HC
159,HC2701,20260601,3391,3424,3389,3407.0,8141,38809,27760.12,3409,3390,HC
160,HC2702,20260601,,,,3390.0,0,62,0.0,3390,3390,HC
161,HC2703,20260601,,,,3407.0,0,60,0.0,3407,3395,HC
162,HC2704,20260601,3420,3422,3420,3422.0,2,62,6.842,3421,3406,HC
163,HC2705,20260601,3414,3435,3404,3428.0,648,680,2219.794,3425,3401,HC
152,HC2606,20260602,3410,3410,3375,3375,60,480,203.55,3392,3373,HC
153,HC2607,20260602,3389,3398,3377,3385,7659,40515,25932.129,3385,3381,HC
154,HC2608,20260602,3397,3399,3386,3387,54,1573,183.226,3393,3378,HC
155,HC2609,20260602,3398,3403,3385,3393,34146,204246,115859.087,3393,3393,HC
156,HC2610,20260602,3400,3408,3389,3399,283370,1615977,963051.521,3398,3397,HC
157,HC2611,20260602,3407,3415,3394,3405,18195,164131,61913.905,3402,3402,HC
158,HC2612,20260602,3416,3416,3415,3415,3,617,10.246,3415,3388,HC
159,HC2701,20260602,3409,3416,3396,3409,7054,41035,24034.633,3407,3409,HC
160,HC2702,20260602,3413,3413,3413,3413,1,61,3.413,3413,3390,HC
161,HC2703,20260602,,,,3407,0,60,0.0,3407,3407,HC
162,HC2704,20260602,,,,3421,0,62,0.0,3421,3421,HC
163,HC2705,20260602,3424,3427,3417,3424,117,723,400.477,3422,3425,HC
152,HC2606,20260603,3375,3375,3350,3350.0,90,510,302.28,3358,3392,HC
153,HC2607,20260603,3383,3392,3367,3372.0,7702,36879,26019.273,3378,3385,HC
154,HC2608,20260603,3387,3387,3378,3378.0,14,1582,47.396,3385,3393,HC
155,HC2609,20260603,3388,3402,3375,3378.0,38464,208947,130235.428,3385,3393,HC
156,HC2610,20260603,3396,3407,3381,3386.0,337435,1616055,1144837.651,3392,3398,HC
157,HC2611,20260603,3405,3412,3387,3392.0,19915,171702,67693.003,3399,3402,HC
158,HC2612,20260603,3412,3412,3412,3412.0,1,617,3.412,3412,3415,HC
159,HC2701,20260603,3407,3415,3391,3398.0,5420,42389,18437.825,3401,3407,HC
160,HC2702,20260603,,,,3408.0,0,61,0.0,3408,3413,HC
161,HC2703,20260603,3404,3404,3404,3404.0,1,60,3.404,3404,3407,HC
162,HC2704,20260603,3416,3416,3416,3416.0,1,62,3.416,3416,3421,HC
163,HC2705,20260603,3417,3430,3407,3408.0,131,800,447.523,3416,3422,HC
152,HC2606,20260604,3370,3370,3360,3360,90,600,303.0,3366,3358,HC
153,HC2607,20260604,3369,3386,3358,3362,6647,33577,22399.554,3369,3378,HC
154,HC2608,20260604,3394,3394,3366,3367,63,1557,213.148,3383,3385,HC
155,HC2609,20260604,3382,3395,3364,3368,36958,213754,124873.117,3378,3385,HC
156,HC2610,20260604,3386,3402,3373,3377,426827,1631924,1445473.07,3386,3392,HC
157,HC2611,20260604,3387,3408,3380,3385,24016,180223,81489.35,3393,3399,HC
158,HC2612,20260604,,,,3397,0,617,0.0,3397,3412,HC
159,HC2701,20260604,3400,3410,3385,3388,7099,43607,24101.63,3395,3401,HC
160,HC2702,20260604,,,,3399,0,61,0.0,3399,3408,HC
161,HC2703,20260604,3403,3403,3403,3403,1,60,3.403,3403,3404,HC
162,HC2704,20260604,3398,3398,3398,3398,1,61,3.398,3398,3416,HC
163,HC2705,20260604,3410,3420,3401,3409,50,804,170.624,3412,3416,HC
152,HC2606,20260605,,,,3366,0,600,0.0,3366,3366,HC
153,HC2607,20260605,3365,3380,3352,3368,4255,30945,14311.17,3363,3369,HC
154,HC2608,20260605,3361,3382,3361,3382,8,1561,27.022,3377,3383,HC
155,HC2609,20260605,3363,3387,3358,3374,36961,215964,124577.145,3370,3378,HC
156,HC2610,20260605,3372,3395,3366,3381,433335,1632829,1464193.399,3378,3386,HC
157,HC2611,20260605,3382,3402,3373,3388,30845,189072,104426.006,3385,3393,HC
158,HC2612,20260605,3380,3394,3380,3394,6,618,20.321,3386,3397,HC
159,HC2701,20260605,3387,3416,3378,3393,16014,49033,54311.877,3391,3395,HC
160,HC2702,20260605,,,,3399,0,61,0.0,3399,3399,HC
161,HC2703,20260605,,,,3403,0,60,0.0,3403,3403,HC
162,HC2704,20260605,,,,3398,0,61,0.0,3398,3398,HC
163,HC2705,20260605,3393,3420,3391,3405,120,884,409.068,3408,3412,HC
152,HC2606,20260608,3285,3349,3285,3349,90,600,299.22,3324,3366,HC
153,HC2607,20260608,3371,3379,3355,3360,3242,29432,10907.741,3364,3363,HC
154,HC2608,20260608,3378,3383,3362,3364,61,1543,205.529,3369,3377,HC
155,HC2609,20260608,3379,3388,3360,3364,29118,213861,98133.672,3370,3370,HC
156,HC2610,20260608,3384,3395,3368,3373,365267,1631234,1235201.952,3381,3378,HC
157,HC2611,20260608,3390,3402,3374,3379,23836,194151,80677.855,3384,3385,HC
158,HC2612,20260608,3406,3406,3382,3382,11,618,37.367,3397,3386,HC
159,HC2701,20260608,3393,3407,3382,3388,7079,49986,24032.133,3394,3391,HC
160,HC2702,20260608,,,,3399,0,61,0.0,3399,3399,HC
161,HC2703,20260608,3399,3399,3399,3399,7,66,23.793,3399,3403,HC
162,HC2704,20260608,,,,3398,0,61,0.0,3398,3398,HC
163,HC2705,20260608,3405,3418,3398,3403,999,1493,3404.727,3408,3408,HC
152,HC2606,20260609,,,,3324.0,0,600,0.0,3324,3324,HC
153,HC2607,20260609,3357,3363,3335,3347.0,3436,27592,11499.007,3346,3364,HC
154,HC2608,20260609,3348,3348,3342,3342.0,6,1540,20.058,3343,3369,HC
155,HC2609,20260609,3361,3369,3341,3354.0,37639,209266,126182.927,3352,3370,HC
156,HC2610,20260609,3375,3378,3350,3361.0,463104,1613851,1556326.465,3360,3381,HC
157,HC2611,20260609,3375,3382,3355,3368.0,26625,199121,89618.864,3365,3384,HC
158,HC2612,20260609,3371,3372,3367,3367.0,11,619,37.058,3368,3397,HC
159,HC2701,20260609,3386,3389,3362,3376.0,10688,51438,36038.583,3371,3394,HC
160,HC2702,20260609,3374,3374,3374,3374.0,3,63,10.122,3374,3399,HC
161,HC2703,20260609,3382,3387,3382,3387.0,3,66,10.151,3383,3399,HC
162,HC2704,20260609,3399,3399,3382,3382.0,6,59,20.314,3385,3398,HC
163,HC2705,20260609,3406,3406,3384,3393.0,86,1492,291.625,3390,3408,HC
152,HC2606,20260610,,,,3324,0,600,0.0,3324,3324,HC
153,HC2607,20260610,3342,3373,3338,3363,4454,26059,14915.659,3348,3346,HC
154,HC2608,20260610,3349,3375,3339,3362,27,1525,90.513,3352,3343,HC
155,HC2609,20260610,3356,3380,3343,3369,44291,210938,148548.328,3353,3352,HC
156,HC2610,20260610,3361,3390,3353,3380,468880,1600570,1579711.687,3369,3360,HC
157,HC2611,20260610,3372,3396,3358,3386,21795,202105,73465.268,3370,3365,HC
158,HC2612,20260610,3394,3395,3370,3387,13,618,44.018,3386,3368,HC
159,HC2701,20260610,3373,3406,3368,3394,9954,52062,33669.114,3382,3371,HC
160,HC2702,20260610,,,,3387,0,63,0.0,3387,3374,HC
161,HC2703,20260610,3389,3394,3389,3394,10,64,33.914,3391,3383,HC
162,HC2704,20260610,3400,3400,3400,3400,3,59,10.2,3400,3385,HC
163,HC2705,20260610,3396,3425,3391,3413,156,1517,532.564,3413,3390,HC
