index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
196,LU2607,20260601,4611,4747,4538,4723.0,43635,43649,202715.863,4645,4644,LU
197,LU2608,20260601,4424,4589,4368,4566.0,19065,31065,85546.311,4487,4470,LU
198,LU2609,20260601,4336,4488,4280,4468.0,9741,17297,42914.544,4405,4372,LU
199,LU2610,20260601,4232,4390,4210,4373.0,591,1188,2562.779,4336,4277,LU
200,LU2611,20260601,4132,4295,4125,4270.0,714,577,3037.613,4254,4164,LU
201,LU2612,20260601,4060,4199,4060,4199.0,30,145,124.383,4146,4114,LU
202,LU2701,20260601,4125,4189,4125,4189.0,3,63,12.454,4151,4066,LU
203,LU2702,20260601,4122,4126,4122,4125.0,4,23,16.499,4124,4031,LU
204,LU2703,20260601,3961,4125,3961,4091.0,15,58,61.527,4101,4006,LU
205,LU2704,20260601,3905,4037,3905,4031.0,6,25,23.993,3998,3953,LU
206,LU2705,20260601,3914,4069,3880,4066.0,27,32,106.863,3957,3920,LU
207,LU2706,20260601,,,,3980.0,0,0,0.0,3980,3920,LU
196,LU2607,20260602,4700,4895,4661,4745,48602,40232,231845.954,4770,4645,LU
197,LU2608,20260602,4561,4749,4518,4599,16548,31956,76423.547,4618,4487,LU
198,LU2609,20260602,4456,4622,4425,4490,10253,17643,46312.507,4516,4405,LU
199,LU2610,20260602,4339,4508,4338,4390,911,1426,4019.621,4412,4336,LU
200,LU2611,20260602,4257,4413,4256,4289,2234,545,9597.532,4296,4254,LU
201,LU2612,20260602,4209,4302,4196,4196,11,150,46.623,4238,4146,LU
202,LU2701,20260602,4151,4282,4150,4165,11,66,46.295,4208,4151,LU
203,LU2702,20260602,4207,4244,4101,4101,12,23,49.626,4135,4124,LU
204,LU2703,20260602,4174,4264,4082,4082,15,64,62.817,4187,4101,LU
205,LU2704,20260602,4111,4128,4074,4105,5,25,20.492,4098,3998,LU
206,LU2705,20260602,4037,4150,4023,4089,26,29,105.839,4070,3957,LU
207,LU2706,20260602,4015,4015,3992,4012,3,1,12.019,4006,3980,LU
196,LU2607,20260603,4725,4888,4696,4874.0,34139,40942,163723.672,4795,4770,LU
197,LU2608,20260603,4586,4733,4570,4719.0,15023,32088,69967.077,4657,4618,LU
198,LU2609,20260603,4474,4597,4461,4585.0,7128,17077,32329.144,4535,4516,LU
199,LU2610,20260603,4390,4487,4291,4479.0,1970,1441,8738.912,4435,4412,LU
200,LU2611,20260603,4289,4398,4289,4392.0,2049,582,8836.227,4312,4296,LU
201,LU2612,20260603,4213,4314,4213,4314.0,6,153,25.502,4250,4238,LU
202,LU2701,20260603,4196,4276,4138,4275.0,26,70,110.094,4234,4208,LU
203,LU2702,20260603,4140,4211,4140,4211.0,5,26,20.784,4156,4135,LU
204,LU2703,20260603,4139,4191,4129,4189.0,10,65,41.657,4165,4187,LU
205,LU2704,20260603,4105,4229,4105,4229.0,9,25,37.565,4173,4098,LU
206,LU2705,20260603,4087,4181,4087,4181.0,15,28,62.048,4136,4070,LU
207,LU2706,20260603,4110,4110,4110,4110.0,1,2,4.11,4110,4006,LU
196,LU2607,20260604,4898,4899,4741,4800,29390,38799,141459.636,4813,4795,LU
197,LU2608,20260604,4730,4735,4602,4654,10482,31114,48848.074,4660,4657,LU
198,LU2609,20260604,4599,4605,4489,4518,5744,16727,26036.83,4532,4535,LU
199,LU2610,20260604,4479,4479,4390,4406,604,1471,2669.357,4419,4435,LU
200,LU2611,20260604,4400,4403,4308,4325,199,562,863.3,4338,4312,LU
201,LU2612,20260604,4274,4293,4222,4235,16,152,68.042,4252,4250,LU
202,LU2701,20260604,4215,4215,4174,4191,4,70,16.781,4195,4234,LU
203,LU2702,20260604,,,,4156,0,26,0.0,4156,4156,LU
204,LU2703,20260604,4181,4263,4129,4156,9,62,37.565,4173,4165,LU
205,LU2704,20260604,4164,4164,4164,4164,1,25,4.164,4164,4173,LU
206,LU2705,20260604,4155,4155,4062,4062,5,27,20.467,4093,4136,LU
207,LU2706,20260604,,,,4110,0,2,0.0,4110,4110,LU
196,LU2607,20260605,4717,4809,4689,4753,24982,37296,118496.677,4743,4813,LU
197,LU2608,20260605,4565,4645,4546,4598,10628,31452,48844.327,4595,4660,LU
198,LU2609,20260605,4437,4520,4421,4465,5744,16623,25657.179,4466,4532,LU
199,LU2610,20260605,4330,4414,4318,4356,1265,1773,5518.778,4362,4419,LU
200,LU2611,20260605,4250,4318,4234,4277,279,530,1192.008,4272,4338,LU
201,LU2612,20260605,4170,4223,4170,4194,11,152,46.069,4188,4252,LU
202,LU2701,20260605,4163,4182,4107,4170,11,73,45.583,4143,4195,LU
203,LU2702,20260605,4071,4071,4071,4071,1,26,4.071,4071,4156,LU
204,LU2703,20260605,,,,4173,0,62,0.0,4173,4173,LU
205,LU2704,20260605,,,,4164,0,25,0.0,4164,4164,LU
206,LU2705,20260605,4037,4102,4037,4068,8,30,32.48,4060,4093,LU
207,LU2706,20260605,4029,4029,4029,4029,1,3,4.029,4029,4110,LU
196,LU2607,20260608,4729,4974,4657,4946,47192,38405,227656.287,4824,4743,LU
197,LU2608,20260608,4590,4795,4517,4766,21368,34077,100018.168,4680,4595,LU
198,LU2609,20260608,4450,4650,4402,4617,10425,18558,47391.181,4545,4466,LU
199,LU2610,20260608,4340,4547,4303,4488,1194,1920,5306.02,4443,4362,LU
200,LU2611,20260608,4242,4451,4227,4383,385,623,1673.407,4346,4272,LU
201,LU2612,20260608,4166,4340,4138,4290,19,158,80.992,4262,4188,LU
202,LU2701,20260608,4126,4347,4126,4250,29,83,123.372,4254,4143,LU
203,LU2702,20260608,4085,4271,4085,4271,8,27,33.622,4202,4071,LU
204,LU2703,20260608,4230,4258,4214,4258,15,66,63.526,4235,4173,LU
205,LU2704,20260608,4004,4217,4004,4217,8,24,33.29,4161,4164,LU
206,LU2705,20260608,4020,4180,4001,4120,13,26,53.158,4089,4060,LU
207,LU2706,20260608,4023,4165,4023,4165,4,3,16.42,4105,4029,LU
196,LU2607,20260609,4823,4836,4655,4682.0,35655,34987,168229.386,4718,4824,LU
197,LU2608,20260609,4650,4650,4500,4525.0,20767,32004,94736.028,4561,4680,LU
