index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
282,OP2606,20260601,3992,4022,3992,4022.0,7,84,112.376,4012,4032,OP
283,OP2607,20260601,4008,4014,3998,3998.0,670,5549,10737.12,4006,4008,OP
284,OP2608,20260601,4008,4018,4000,4002.0,3064,11490,49144.344,4008,4018,OP
285,OP2609,20260601,4028,4040,4020,4028.0,117,367,1886.552,4030,4030,OP
286,OP2610,20260601,,,,4090.0,0,1,0.0,4090,4090,OP
287,OP2611,20260601,,,,4076.0,0,0,0.0,4076,4076,OP
288,OP2612,20260601,,,,4126.0,0,0,0.0,4126,4126,OP
289,OP2701,20260601,,,,4132.0,0,0,0.0,4132,4132,OP
290,OP2702,20260601,,,,4126.0,0,1,0.0,4126,4128,OP
291,OP2703,20260601,,,,4142.0,0,1,0.0,4142,4142,OP
292,OP2704,20260601,,,,4116.0,0,0,0.0,4116,4124,OP
293,OP2705,20260601,,,,4116.0,0,0,0.0,4116,4132,OP
282,OP2606,20260602,4002,4006,3992,4006,10,75,160.016,4000,4012,OP
283,OP2607,20260602,3992,4012,3992,4002,683,5450,10937.48,4002,4006,OP
284,OP2608,20260602,4008,4008,3990,3998,2879,11961,46074.672,4000,4008,OP
285,OP2609,20260602,4020,4028,4014,4028,43,391,691.584,4020,4030,OP
286,OP2610,20260602,,,,4058,0,1,0.0,4058,4090,OP
287,OP2611,20260602,,,,4076,0,0,0.0,4076,4076,OP
288,OP2612,20260602,,,,4112,0,0,0.0,4112,4126,OP
289,OP2701,20260602,,,,4132,0,0,0.0,4132,4132,OP
290,OP2702,20260602,,,,4124,0,1,0.0,4124,4126,OP
291,OP2703,20260602,,,,4142,0,1,0.0,4142,4142,OP
292,OP2704,20260602,,,,4114,0,0,0.0,4114,4116,OP
293,OP2705,20260602,,,,4116,0,0,0.0,4116,4116,OP
282,OP2606,20260603,4010,4010,3972,3972.0,11,64,175.928,3998,4000,OP
283,OP2607,20260603,4004,4016,3992,3998.0,565,5432,9043.84,4000,4002,OP
