index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
176,SC2607,20260601,580,598,575.3,595.9,39580,36206,2315016.44,584.8,589.8,SC
177,SC2608,20260601,583.3,598.9,577,597.7,10599,18000,622917.81,587.7,589.8,SC
178,SC2609,20260601,580,596.1,574.7,594.9,5463,14072,319418.54,584.6,587.5,SC
179,SC2610,20260601,574.5,593.1,572.8,592.8,877,3625,51085.45,582.5,584.5,SC
180,SC2611,20260601,572.3,588.8,570.1,588.8,387,874,22331.69,577,578.7,SC
181,SC2612,20260601,568.5,585.6,565.6,584.4,1101,6728,63260.69,574.5,574.6,SC
182,SC2701,20260601,561.1,578.9,561.1,576.0,15,376,856.72,571.1,568.4,SC
183,SC2702,20260601,493.7,574.9,493.7,573.5,14,311,786.67,561.9,562.9,SC
184,SC2703,20260601,555.1,572.1,549.6,568.4,70,226,3912.93,558.9,557,SC
185,SC2704,20260601,,,,558.2,0,9,0.0,558.2,553.9,SC
186,SC2705,20260601,568.8,568.8,558,558.0,2,4,112.68,563.4,544.5,SC
187,SC2706,20260601,,,,549.1,0,48,0.0,549.1,546.9,SC
188,SC2709,20260601,,,,549.9,0,43,0.0,549.9,549.9,SC
189,SC2712,20260601,536.4,536.7,532.4,532.4,3,140,160.55,535.1,537.7,SC
190,SC2803,20260601,,,,540.0,0,42,0.0,540,540,SC
191,SC2806,20260601,,,,529.7,0,35,0.0,529.7,529.7,SC
192,SC2809,20260601,,,,520.0,0,59,0.0,520,520,SC
193,SC2812,20260601,527.6,559.9,527.3,527.3,3,47,161.48,538.2,518,SC
194,SC2903,20260601,519,527.7,519,527.7,2,56,104.67,523.3,515.6,SC
195,SC2906,20260601,521.2,522.1,490.7,491.1,5,1,252.91,505.8,515.6,SC
176,SC2607,20260602,594,619.6,589.1,596,53305,36568,3231064.0,606.1,584.8,SC
177,SC2608,20260602,596,621.5,590.8,597.1,20157,19625,1223661.0,607,587.7,SC
178,SC2609,20260602,591.7,618.3,588.3,594,12082,14277,731048.0,605,584.6,SC
179,SC2610,20260602,587.6,613.6,585.7,591.6,2569,3876,154502.31,601.4,582.5,SC
180,SC2611,20260602,583.2,608.9,582.9,586.7,515,798,30779.81,597.6,577,SC
181,SC2612,20260602,581.3,603.8,578,583.6,2299,6778,135850.76,590.9,574.5,SC
182,SC2701,20260602,580.5,595.1,577.7,579.6,43,398,2528.76,588,571.1,SC
183,SC2702,20260602,570.9,586.9,570.9,572.7,13,319,754.29,580.2,561.9,SC
184,SC2703,20260602,570,584.6,565.8,567.2,70,237,4032.29,576,558.9,SC
185,SC2704,20260602,573.5,573.5,573.5,573.5,1,9,57.35,573.5,558.2,SC
186,SC2705,20260602,569.7,570,569.7,570,2,4,113.97,569.8,563.4,SC
