index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
72,SN2606,20260601,423990,430690,422310,430370.0,2698,5898,114953.658,426060,424880,SN
73,SN2607,20260601,425850,432230,423360,431840.0,215705,54277,9224059.452,427620,426450,SN
74,SN2608,20260601,426430,432880,424180,432720.0,37544,20045,1609219.157,428620,427280,SN
75,SN2609,20260601,426880,433180,424600,432870.0,12357,10170,529908.716,428830,427460,SN
76,SN2610,20260601,426610,433100,424900,432950.0,1073,1789,46153.527,430130,429220,SN
77,SN2611,20260601,426500,433270,424930,432980.0,410,377,17596.845,429190,428100,SN
78,SN2612,20260601,426340,433130,425460,432780.0,176,417,7540.8,428450,427950,SN
79,SN2701,20260601,426310,432340,423940,431890.0,170,171,7289.195,428770,427180,SN
80,SN2702,20260601,425740,432760,425740,432760.0,22,169,946.337,430150,429160,SN
81,SN2703,20260601,427640,432200,427500,432000.0,13,129,559.923,430710,426270,SN
82,SN2704,20260601,428860,432080,428860,430040.0,4,30,172.069,430170,426860,SN
83,SN2705,20260601,431550,432510,431550,432440.0,5,27,216.138,432270,428380,SN
72,SN2606,20260602,433480,448590,431570,448480,1830,5668,80416.68,439430,426060,SN
73,SN2607,20260602,435000,449960,432630,449820,299856,66584,13221403.025,440920,427620,SN
74,SN2608,20260602,435130,450570,433500,450480,61451,24270,2716516.986,442060,428620,SN
75,SN2609,20260602,435010,450880,433480,450750,27932,13028,1235380.838,442280,428830,SN
76,SN2610,20260602,436350,450610,434140,450600,2874,2249,127705.022,444340,430130,SN
77,SN2611,20260602,435020,450520,434260,450380,645,405,28526.215,442260,429190,SN
78,SN2612,20260602,437830,450330,434360,449980,291,446,12912.446,443720,428450,SN
79,SN2701,20260602,435680,451090,434350,450460,176,225,7802.194,443300,428770,SN
80,SN2702,20260602,435320,451370,434500,451370,136,227,6005.858,441600,430150,SN
81,SN2703,20260602,436470,449820,434720,449820,44,146,1937.673,440380,430710,SN
82,SN2704,20260602,434650,447120,434650,445200,11,35,488.139,443760,430170,SN
83,SN2705,20260602,438400,448500,436640,447810,13,30,575.889,442990,432270,SN
72,SN2606,20260603,447400,450190,440030,443880.0,1184,5400,52855.074,446410,439430,SN
73,SN2607,20260603,448800,451860,441080,445480.0,265436,63476,11892636.302,448040,440920,SN
74,SN2608,20260603,448280,452500,442000,446280.0,50677,25154,2272871.489,448500,442060,SN
75,SN2609,20260603,449750,452710,442360,446500.0,22200,14271,997081.552,449130,442280,SN
76,SN2610,20260603,450600,452560,442500,446440.0,2556,2616,114642.895,448520,444340,SN
77,SN2611,20260603,450110,452010,443170,446620.0,569,443,25554.796,449110,442260,SN
78,SN2612,20260603,450530,452370,442290,445920.0,188,485,8443.537,449120,443720,SN
79,SN2701,20260603,450790,451200,443000,446470.0,53,223,2377.399,448560,443300,SN
80,SN2702,20260603,451470,452620,443300,446720.0,24,226,1075.7,448200,441600,SN
81,SN2703,20260603,450660,452000,445470,446200.0,38,154,1707.684,449390,440380,SN
82,SN2704,20260603,450820,450820,443330,446390.0,17,34,761.497,447930,443760,SN
83,SN2705,20260603,451000,452000,444580,444580.0,39,43,1753.795,449690,442990,SN
72,SN2606,20260604,443490,445790,427750,428910,1220,5252,53714.944,440280,446410,SN
73,SN2607,20260604,442000,447550,429220,430040,298714,54292,13187011.091,441450,448040,SN
74,SN2608,20260604,442200,465000,430200,430800,64608,23978,2855336.791,441940,448500,SN
75,SN2609,20260604,441540,448720,430680,431280,27198,14322,1204640.908,442910,449130,SN
76,SN2610,20260604,443680,448450,431010,431820,2582,2824,113869.575,441010,448520,SN
