index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
270,SP2606,20260601,4858,4868,4804,4804.0,66,726,318.776,4828,4870,SP
271,SP2607,20260601,4882,4882,4834,4842.0,10748,34591,52164.296,4852,4900,SP
272,SP2608,20260601,4916,4916,4866,4878.0,60,207,293.332,4888,4926,SP
273,SP2609,20260601,4922,4924,4870,4886.0,363765,419747,1779186.042,4890,4938,SP
274,SP2610,20260601,4926,4930,4900,4912.0,107,260,525.408,4910,4946,SP
275,SP2611,20260601,4912,4928,4884,4902.0,24679,75602,121038.528,4904,4932,SP
276,SP2612,20260601,4922,4940,4902,4910.0,168,880,826.13,4916,4948,SP
277,SP2701,20260601,5184,5184,5138,5150.0,7196,18974,37117.0,5158,5202,SP
278,SP2702,20260601,5164,5172,5150,5170.0,27,31,139.376,5162,5222,SP
279,SP2703,20260601,5182,5206,5160,5168.0,100,308,517.932,5178,5218,SP
280,SP2704,20260601,5190,5204,5174,5192.0,24,72,124.616,5192,5228,SP
281,SP2705,20260601,5208,5220,5182,5204.0,104,179,540.894,5200,5246,SP
270,SP2606,20260602,4774,4844,4502,4794,148,732,699.176,4724,4828,SP
271,SP2607,20260602,4842,4842,4808,4824,5730,33446,27648.16,4824,4852,SP
272,SP2608,20260602,4882,4882,4848,4876,32,221,155.63,4862,4888,SP
273,SP2609,20260602,4872,4878,4842,4860,240847,441096,1170562.45,4860,4890,SP
274,SP2610,20260602,4922,4922,4876,4890,52,270,254.278,4888,4910,SP
275,SP2611,20260602,4894,4898,4854,4866,18465,77336,89925.904,4870,4904,SP
276,SP2612,20260602,4910,4912,4870,4876,256,952,1251.144,4886,4916,SP
277,SP2701,20260602,5146,5148,5096,5114,8568,21404,43843.818,5116,5158,SP
278,SP2702,20260602,5138,5138,5130,5130,4,33,20.536,5134,5162,SP
279,SP2703,20260602,5160,5192,5120,5138,173,366,890.02,5144,5178,SP
280,SP2704,20260602,5172,5172,5140,5150,6,74,30.952,5158,5192,SP
281,SP2705,20260602,5182,5184,5148,5166,147,282,759.806,5168,5200,SP
270,SP2606,20260603,,,,4814.0,0,732,0.0,4814,4724,SP
271,SP2607,20260603,4810,4858,4810,4826.0,5082,32312,24586.976,4838,4824,SP
272,SP2608,20260603,4874,4900,4862,4862.0,54,227,263.664,4882,4862,SP
273,SP2609,20260603,4860,4892,4848,4860.0,244097,439337,1189667.666,4872,4860,SP
274,SP2610,20260603,4916,4916,4878,4880.0,56,256,273.944,4890,4888,SP
275,SP2611,20260603,4868,4896,4854,4860.0,23253,79973,113362.326,4874,4870,SP
276,SP2612,20260603,4888,4910,4868,4872.0,201,1051,981.902,4884,4886,SP
277,SP2701,20260603,5108,5132,5088,5098.0,5094,22094,26049.918,5112,5116,SP
278,SP2702,20260603,5116,5116,5116,5116.0,1,34,5.116,5116,5134,SP
279,SP2703,20260603,5136,5140,5108,5116.0,24,372,123.012,5124,5144,SP
280,SP2704,20260603,5150,5160,5134,5140.0,17,86,87.438,5142,5158,SP
281,SP2705,20260603,5160,5170,5148,5150.0,70,327,361.084,5158,5168,SP
270,SP2606,20260604,4818,4828,4782,4782,14,722,67.112,4792,4814,SP
271,SP2607,20260604,4844,4846,4778,4778,6122,30981,29427.638,4806,4838,SP
272,SP2608,20260604,4846,4852,4816,4816,17,235,82.192,4834,4882,SP
273,SP2609,20260604,4868,4878,4810,4812,308398,450995,1491460.656,4836,4872,SP
274,SP2610,20260604,4890,4892,4844,4844,41,264,199.322,4860,4890,SP
275,SP2611,20260604,4862,4876,4812,4822,31175,84639,150839.32,4838,4874,SP
276,SP2612,20260604,4874,4878,4822,4834,489,1186,2372.824,4852,4884,SP
277,SP2701,20260604,5102,5110,5034,5044,7387,23024,37367.516,5058,5112,SP
278,SP2702,20260604,5070,5070,5070,5070,1,35,5.07,5070,5116,SP
279,SP2703,20260604,5110,5126,5060,5074,214,477,1087.742,5082,5124,SP
280,SP2704,20260604,5136,5140,5086,5086,13,94,66.598,5122,5142,SP
281,SP2705,20260604,5148,5166,5096,5100,231,432,1181.644,5114,5158,SP
270,SP2606,20260605,4762,4802,4736,4802,32,722,152.752,4772,4792,SP
