index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
140,WR2606,20260601,,,,3475.0,0,0,0.0,3475,3475,WR
141,WR2607,20260601,3383,3449,3366,3398.0,111,75,376.845,3395,3361,WR
142,WR2608,20260601,,,,3406.0,0,2,0.0,3406,3406,WR
143,WR2609,20260601,3344,3416,3341,3360.0,36,24,121.333,3370,3360,WR
144,WR2610,20260601,,,,3410.0,0,1,0.0,3410,3410,WR
145,WR2611,20260601,,,,3410.0,0,5,0.0,3410,3410,WR
146,WR2612,20260601,,,,3410.0,0,1,0.0,3410,3410,WR
147,WR2701,20260601,,,,3420.0,0,19,0.0,3420,3420,WR
148,WR2702,20260601,,,,3421.0,0,2,0.0,3421,3421,WR
149,WR2703,20260601,,,,3419.0,0,0,0.0,3419,3419,WR
150,WR2704,20260601,,,,3438.0,0,0,0.0,3438,3438,WR
151,WR2705,20260601,,,,3424.0,0,0,0.0,3424,3414,WR
140,WR2606,20260602,,,,3475,0,0,0.0,3475,3475,WR
141,WR2607,20260602,3398,3398,3351,3351,60,75,202.831,3380,3395,WR
142,WR2608,20260602,3350,3417,3350,3417,2,2,6.767,3383,3406,WR
143,WR2609,20260602,3339,3375,3339,3375,5,21,16.836,3367,3370,WR
144,WR2610,20260602,,,,3410,0,1,0.0,3410,3410,WR
145,WR2611,20260602,,,,3410,0,5,0.0,3410,3410,WR
146,WR2612,20260602,,,,3410,0,1,0.0,3410,3410,WR
147,WR2701,20260602,,,,3420,0,19,0.0,3420,3420,WR
148,WR2702,20260602,,,,3421,0,2,0.0,3421,3421,WR
149,WR2703,20260602,,,,3419,0,0,0.0,3419,3419,WR
150,WR2704,20260602,,,,3438,0,0,0.0,3438,3438,WR
151,WR2705,20260602,,,,3421,0,0,0.0,3421,3424,WR
140,WR2606,20260603,,,,3475.0,0,0,0.0,3475,3475,WR
141,WR2607,20260603,3367,3380,3353,3361.0,84,67,282.899,3367,3380,WR
142,WR2608,20260603,,,,3383.0,0,2,0.0,3383,3383,WR
143,WR2609,20260603,3364,3385,3364,3385.0,2,21,6.749,3374,3367,WR
144,WR2610,20260603,,,,3410.0,0,1,0.0,3410,3410,WR
145,WR2611,20260603,,,,3410.0,0,5,0.0,3410,3410,WR
146,WR2612,20260603,,,,3410.0,0,1,0.0,3410,3410,WR
147,WR2701,20260603,,,,3420.0,0,19,0.0,3420,3420,WR
148,WR2702,20260603,,,,3421.0,0,2,0.0,3421,3421,WR
149,WR2703,20260603,,,,3419.0,0,0,0.0,3419,3419,WR
150,WR2704,20260603,,,,3438.0,0,0,0.0,3438,3438,WR
151,WR2705,20260603,,,,3428.0,0,0,0.0,3428,3421,WR
140,WR2606,20260604,,,,3475,0,0,0.0,3475,3475,WR
141,WR2607,20260604,3357,3366,3334,3348,43,63,144.138,3352,3367,WR
142,WR2608,20260604,,,,3367,0,2,0.0,3367,3383,WR
143,WR2609,20260604,,,,3374,0,21,0.0,3374,3374,WR
144,WR2610,20260604,,,,3410,0,1,0.0,3410,3410,WR
145,WR2611,20260604,,,,3410,0,5,0.0,3410,3410,WR
146,WR2612,20260604,,,,3410,0,1,0.0,3410,3410,WR
147,WR2701,20260604,,,,3420,0,19,0.0,3420,3420,WR
148,WR2702,20260604,,,,3421,0,2,0.0,3421,3421,WR
149,WR2703,20260604,,,,3419,0,0,0.0,3419,3419,WR
150,WR2704,20260604,,,,3438,0,0,0.0,3438,3438,WR
151,WR2705,20260604,,,,3412,0,0,0.0,3412,3428,WR
140,WR2606,20260605,,,,3475,0,0,0.0,3475,3475,WR
141,WR2607,20260605,3370,3370,3345,3367,45,60,151.131,3358,3352,WR
142,WR2608,20260605,3379,3380,3379,3380,3,3,10.139,3379,3367,WR
143,WR2609,20260605,,,,3374,0,21,0.0,3374,3374,WR
144,WR2610,20260605,3398,3398,3392,3392,3,3,10.188,3396,3410,WR
