index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
36,ZN2606,20260601,24775,24775,24575,24650.0,4383,9285,54009.125,24640,24810,ZN
37,ZN2607,20260601,24880,24885,24630,24720.0,127215,105950,1572211.6575,24715,24880,ZN
38,ZN2608,20260601,24905,24945,24705,24795.0,34552,67930,428239.63,24785,24950,ZN
39,ZN2609,20260601,25015,25020,24765,24830.0,7905,16710,98163.9925,24835,25000,ZN
40,ZN2610,20260601,25075,25195,24775,24855.0,2364,3213,29354.1875,24830,25030,ZN
41,ZN2611,20260601,24955,24955,24785,24825.0,1734,2718,21522.0,24820,25040,ZN
42,ZN2612,20260601,24890,24905,24800,24805.0,402,903,4991.39,24830,25030,ZN
43,ZN2701,20260601,24905,25000,24815,24850.0,50,121,621.7925,24870,25045,ZN
44,ZN2702,20260601,24935,24965,24835,24860.0,35,48,435.3825,24875,25045,ZN
45,ZN2703,20260601,24895,24965,24835,24865.0,41,150,509.85,24870,25095,ZN
46,ZN2704,20260601,24890,24900,24855,24880.0,49,95,609.615,24880,25095,ZN
47,ZN2705,20260601,24910,24950,24880,24950.0,24,55,298.84,24900,25100,ZN
36,ZN2606,20260602,24750,24935,24650,24930,2350,8435,29148.125,24805,24640,ZN
37,ZN2607,20260602,24880,25020,24710,24985,123481,107282,1534995.505,24860,24715,ZN
38,ZN2608,20260602,24910,25085,24785,25060,38639,71539,481757.99,24935,24785,ZN
39,ZN2609,20260602,24955,25120,24830,25085,9340,17371,116702.335,24985,24835,ZN
40,ZN2610,20260602,25020,25145,24865,25110,1554,3323,19424.8525,24995,24830,ZN
41,ZN2611,20260602,25025,25125,24860,25095,498,2836,6220.045,24980,24820,ZN
42,ZN2612,20260602,24980,25110,24850,25105,513,1162,6402.565,24960,24830,ZN
43,ZN2701,20260602,24990,25105,24865,25060,158,196,1970.6575,24945,24870,ZN
44,ZN2702,20260602,24940,25065,24885,25065,26,46,324.055,24925,24875,ZN
45,ZN2703,20260602,25015,25105,24920,25100,13,155,162.63,25020,24870,ZN
46,ZN2704,20260602,25020,25120,24940,25085,53,88,663.9275,25050,24880,ZN
47,ZN2705,20260602,24995,25130,24950,25105,73,79,914.125,25040,24900,ZN
