date,open,high,low,close,volume,hold,settle,variety,variety_name,category,contract
2020-11-19,47500.0,47600.0,45600.0,47090.0,7555,1556,47170.0,BC,铜(BC),有色金属,BC0
2020-11-20,47170.0,47840.0,46880.0,47790.0,4705,1651,47360.0,BC,铜(BC),有色金属,BC0
2020-11-23,48000.0,48680.0,47960.0,48220.0,8386,2312,48310.0,BC,铜(BC),有色金属,BC0
2020-11-24,48220.0,48940.0,47820.0,48910.0,5692,2445,48380.0,BC,铜(BC),有色金属,BC0
2020-11-25,48950.0,49210.0,48610.0,48750.0,4635,2314,48880.0,BC,铜(BC),有色金属,BC0
2020-11-26,48600.0,49410.0,48500.0,49330.0,11076,5028,49000.0,BC,铜(BC),有色金属,BC0
2020-11-27,49150.0,50040.0,49090.0,49990.0,13868,7110,49550.0,BC,铜(BC),有色金属,BC0
2020-11-30,50000.0,51440.0,49930.0,51370.0,17011,8596,50620.0,BC,铜(BC),有色金属,BC0
2020-12-01,51460.0,51570.0,50410.0,50800.0,18733,9501,51060.0,BC,铜(BC),有色金属,BC0
2020-12-02,51040.0,51530.0,50680.0,50970.0,16539,9925,51170.0,BC,铜(BC),有色金属,BC0
2020-12-03,50620.0,51160.0,50340.0,50730.0,16404,10367,50790.0,BC,铜(BC),有色金属,BC0
2020-12-04,51000.0,51340.0,50540.0,51250.0,23877,11316,50990.0,BC,铜(BC),有色金属,BC0
2020-12-07,51120.0,51550.0,50850.0,50930.0,21534,11313,51130.0,BC,铜(BC),有色金属,BC0
2020-12-08,50790.0,51100.0,50660.0,50800.0,12908,11311,50890.0,BC,铜(BC),有色金属,BC0
2020-12-09,50670.0,51280.0,50510.0,51130.0,15641,11099,50940.0,BC,铜(BC),有色金属,BC0
2020-12-10,51130.0,51270.0,50500.0,51250.0,14764,10936,51010.0,BC,铜(BC),有色金属,BC0
2020-12-11,51280.0,52740.0,50900.0,51630.0,25834,10992,51920.0,BC,铜(BC),有色金属,BC0
2020-12-14,51520.0,51800.0,50970.0,51610.0,20221,10459,51440.0,BC,铜(BC),有色金属,BC0
2020-12-15,51610.0,51640.0,51110.0,51400.0,15381,10491,51340.0,BC,铜(BC),有色金属,BC0
2020-12-16,51530.0,51880.0,51250.0,51660.0,19269,10458,51570.0,BC,铜(BC),有色金属,BC0
2020-12-17,51790.0,52330.0,51590.0,52290.0,20557,10398,51930.0,BC,铜(BC),有色金属,BC0
2020-12-18,52370.0,53080.0,52200.0,52860.0,26301,10572,52620.0,BC,铜(BC),有色金属,BC0
2020-12-21,52810.0,53110.0,52330.0,52860.0,26596,10291,52750.0,BC,铜(BC),有色金属,BC0
2020-12-22,52270.0,52500.0,51510.0,51600.0,22496,9957,52100.0,BC,铜(BC),有色金属,BC0
2020-12-23,51550.0,51690.0,50870.0,51570.0,23936,9927,51370.0,BC,铜(BC),有色金属,BC0
2020-12-24,51570.0,52060.0,51570.0,51780.0,12885,9988,51810.0,BC,铜(BC),有色金属,BC0
2020-12-25,51750.0,52250.0,51460.0,52190.0,8564,10392,51820.0,BC,铜(BC),有色金属,BC0
2020-12-28,52190.0,52730.0,51940.0,52330.0,6378,10507,52340.0,BC,铜(BC),有色金属,BC0
2020-12-29,52370.0,52550.0,51710.0,51910.0,9283,10596,52190.0,BC,铜(BC),有色金属,BC0
2020-12-30,52030.0,52260.0,51740.0,52110.0,7803,10320,51970.0,BC,铜(BC),有色金属,BC0
2020-12-31,51820.0,51950.0,51330.0,51450.0,8723,10556,51610.0,BC,铜(BC),有色金属,BC0
2021-01-04,51380.0,51900.0,51350.0,51790.0,7207,10707,51690.0,BC,铜(BC),有色金属,BC0
2021-01-05,51960.0,52100.0,51330.0,51730.0,10822,11197,51700.0,BC,铜(BC),有色金属,BC0
2021-01-06,51720.0,52790.0,51690.0,52550.0,12268,11041,52300.0,BC,铜(BC),有色金属,BC0
2021-01-07,52740.0,53060.0,52290.0,52930.0,10550,10879,52710.0,BC,铜(BC),有色金属,BC0
2021-01-08,52670.0,54060.0,52580.0,53730.0,13380,10695,53470.0,BC,铜(BC),有色金属,BC0
2021-01-11,53450.0,53640.0,52100.0,52170.0,14983,10330,52900.0,BC,铜(BC),有色金属,BC0
2021-01-12,52220.0,52320.0,51520.0,52220.0,11680,10077,51850.0,BC,铜(BC),有色金属,BC0
2021-01-13,52410.0,52540.0,52070.0,52290.0,8582,9898,52310.0,BC,铜(BC),有色金属,BC0
2021-01-14,52200.0,52430.0,51990.0,52230.0,7473,9865,52230.0,BC,铜(BC),有色金属,BC0
2021-01-15,52400.0,53120.0,52160.0,52200.0,10806,10134,52650.0,BC,铜(BC),有色金属,BC0
2021-01-18,52390.0,52870.0,51850.0,52730.0,12208,9940,52250.0,BC,铜(BC),有色金属,BC0
2021-01-19,52560.0,52650.0,52190.0,52360.0,6356,9893,52400.0,BC,铜(BC),有色金属,BC0
2021-01-20,52410.0,52870.0,52190.0,52600.0,8990,10059,52550.0,BC,铜(BC),有色金属,BC0
2021-01-21,52430.0,52890.0,52230.0,52740.0,9218,10171,52610.0,BC,铜(BC),有色金属,BC0
2021-01-22,52770.0,52990.0,52150.0,52310.0,10436,9738,52520.0,BC,铜(BC),有色金属,BC0
2021-01-25,51880.0,52680.0,51720.0,52600.0,12234,7792,52280.0,BC,铜(BC),有色金属,BC0
2021-01-26,52380.0,52550.0,51960.0,52010.0,9438,3916,52360.0,BC,铜(BC),有色金属,BC0
