date,open,high,low,close,volume,hold,settle
2025-07-08,5900.0,5957.0,5870.0,5931.0,24865,4290,5922.0
2025-07-09,5935.0,6089.0,5930.0,6070.0,31731,9140,6015.0
2025-07-10,6070.0,6363.0,6056.0,6253.0,77235,14483,6215.0
2025-07-11,6231.0,6293.0,6141.0,6183.0,64475,16038,6238.0
2025-07-14,6201.0,6260.0,6143.0,6189.0,37605,14760,6209.0
2025-07-15,6216.0,6230.0,6111.0,6144.0,24596,13970,6166.0
2025-07-16,6151.0,6180.0,6126.0,6166.0,14049,13891,6153.0
2025-07-17,6155.0,6165.0,6102.0,6122.0,12912,13126,6139.0
2025-07-18,6125.0,6209.0,6125.0,6164.0,12909,12958,6156.0
2025-07-21,6165.0,6269.0,6165.0,6241.0,21105,12910,6219.0
2025-07-22,6259.0,6292.0,6200.0,6278.0,20494,13685,6238.0
2025-07-23,6278.0,6292.0,6152.0,6196.0,14798,12060,6222.0
2025-07-24,6219.0,6279.0,6176.0,6226.0,10431,11978,6221.0
2025-07-25,6225.0,6437.0,6225.0,6387.0,23994,13432,6326.0
2025-07-28,6439.0,6439.0,6223.0,6251.0,20076,12222,6296.0
2025-07-29,6279.0,6315.0,6236.0,6296.0,10474,13067,6283.0
2025-07-30,6295.0,6334.0,6276.0,6307.0,10003,12826,6304.0
2025-07-31,6310.0,6348.0,6280.0,6294.0,9450,13020,6313.0
2025-08-01,6300.0,6310.0,6252.0,6260.0,6234,13078,6284.0
2025-08-04,6270.0,6286.0,6182.0,6240.0,7340,12859,6231.0
2025-08-05,6200.0,6232.0,6190.0,6220.0,5643,12769,6210.0
2025-08-06,6205.0,6268.0,6200.0,6246.0,5622,12918,6235.0
2025-08-07,6266.0,6298.0,6245.0,6248.0,6443,13498,6268.0
2025-08-08,6259.0,6260.0,6202.0,6204.0,5115,14201,6231.0
2025-08-11,6220.0,6260.0,6205.0,6230.0,5637,13779,6231.0
2025-08-12,6230.0,6286.0,6217.0,6250.0,6584,14400,6264.0
2025-08-13,6248.0,6272.0,6232.0,6237.0,3881,14786,6250.0
2025-08-14,6250.0,6253.0,6172.0,6179.0,6199,14833,6210.0
2025-08-15,6185.0,6207.0,6162.0,6189.0,4271,14698,6188.0
2025-08-18,6185.0,6196.0,6151.0,6186.0,5030,14110,6171.0
2025-08-19,6186.0,6206.0,6171.0,6182.0,3358,13983,6190.0
2025-08-20,6189.0,6269.0,6104.0,6205.0,11282,13106,6177.0
2025-08-21,6210.0,6233.0,6161.0,6200.0,6284,12889,6197.0
