date,open,high,low,close,volume,hold,settle
2007-08-27,3660.0,3690.0,3642.0,3645.0,198,54,0.0
2007-08-28,3700.0,3715.0,3660.0,3690.0,66,56,0.0
2007-08-29,3677.0,3700.0,3670.0,3683.0,276,114,0.0
2007-08-30,3710.0,3740.0,3710.0,3734.0,126,120,0.0
2007-08-31,3768.0,3795.0,3751.0,3788.0,62,116,0.0
2007-09-03,3805.0,3805.0,3770.0,3800.0,80,118,0.0
2007-09-04,3860.0,3940.0,3800.0,3817.0,246,64,0.0
2007-09-05,3938.0,3938.0,3838.0,3881.0,118,60,0.0
2007-09-06,3871.0,3900.0,3856.0,3870.0,168,60,0.0
2007-09-07,3870.0,3919.0,3870.0,3893.0,156,60,0.0
2007-09-10,3930.0,4020.0,3930.0,4020.0,692,84,0.0
2007-09-11,4005.0,4020.0,3984.0,3995.0,142,72,0.0
2007-09-12,4002.0,4040.0,3983.0,4008.0,218,102,0.0
2007-09-13,4074.0,4084.0,4035.0,4055.0,294,122,0.0
2007-09-14,4065.0,4065.0,4016.0,4025.0,328,172,0.0
2007-09-17,4098.0,4149.0,4090.0,4149.0,424,122,0.0
2007-09-18,4168.0,4168.0,4138.0,4155.0,272,132,0.0
2007-09-19,4120.0,4170.0,4080.0,4100.0,274,130,0.0
2007-09-20,4080.0,4160.0,4059.0,4105.0,362,98,0.0
2007-09-21,4100.0,4168.0,4100.0,4116.0,414,46,0.0
2007-09-24,4100.0,4100.0,4059.0,4061.0,292,140,0.0
2007-09-25,4010.0,4088.0,4010.0,4086.0,288,66,0.0
2007-09-26,4092.0,4154.0,4092.0,4154.0,268,48,0.0
2007-09-27,4195.0,4220.0,4160.0,4195.0,42,46,0.0
2007-09-28,4300.0,4300.0,4110.0,4190.0,210,46,0.0
2007-10-08,4160.0,4160.0,4056.0,4070.0,52,48,0.0
2007-10-09,4075.0,4108.0,4020.0,4108.0,136,48,0.0
2007-10-10,4148.0,4200.0,4140.0,4187.0,114,54,0.0
2007-10-11,4150.0,4224.0,4150.0,4160.0,60,56,0.0
2007-10-12,4191.0,4220.0,4140.0,4209.0,142,44,0.0
2007-10-15,4220.0,4270.0,4170.0,4260.0,98,46,0.0
2007-10-16,4260.0,4275.0,4241.0,4260.0,282,64,0.0
2007-10-17,4234.0,4237.0,4170.0,4170.0,156,82,0.0
2007-10-18,4230.0,4260.0,4200.0,4260.0,340,88,0.0
2007-10-19,4213.0,4297.0,4205.0,4275.0,386,108,0.0
2007-10-22,4220.0,4250.0,4220.0,4224.0,162,86,0.0
2007-10-23,4275.0,4335.0,4260.0,4315.0,246,130,0.0
2007-10-24,4260.0,4333.0,4260.0,4318.0,528,136,0.0
2007-10-25,4342.0,4354.0,4305.0,4320.0,132,14,0.0
2007-10-26,4374.0,4382.0,4355.0,4380.0,310,236,0.0
2007-10-29,4450.0,4450.0,4380.0,4448.0,336,204,0.0
2007-10-30,4380.0,4414.0,4370.0,4385.0,156,194,0.0
2007-10-31,4310.0,4420.0,4304.0,4420.0,244,258,0.0
2007-11-01,4450.0,4450.0,4381.0,4409.0,138,144,0.0
2007-11-02,4370.0,4392.0,4330.0,4388.0,226,94,0.0
