date,open,high,low,close,volume,hold,settle
2014-12-22,2795.0,2800.0,2727.0,2738.0,26170,8132,2755.0
2014-12-23,2736.0,2760.0,2715.0,2740.0,18726,8664,2745.0
2014-12-24,2747.0,2760.0,2741.0,2752.0,8284,7722,2752.0
2014-12-25,2750.0,2750.0,2665.0,2727.0,20260,8792,2724.0
2014-12-26,2727.0,2738.0,2718.0,2721.0,9158,9116,2726.0
2014-12-29,2722.0,2737.0,2720.0,2731.0,5406,8528,2729.0
2014-12-30,2727.0,2733.0,2710.0,2721.0,9056,8196,2721.0
2014-12-31,2728.0,2728.0,2708.0,2713.0,5280,7520,2718.0
2015-01-05,2718.0,2718.0,2678.0,2684.0,13408,9790,2691.0
2015-01-06,2689.0,2697.0,2624.0,2630.0,28882,14276,2652.0
2015-01-07,2640.0,2651.0,2625.0,2643.0,16506,12144,2639.0
2015-01-08,2640.0,2657.0,2636.0,2652.0,10858,12230,2648.0
2015-01-09,2652.0,2662.0,2637.0,2648.0,12278,12758,2648.0
2015-01-12,2649.0,2660.0,2648.0,2658.0,8452,12546,2653.0
2015-01-13,2658.0,2661.0,2638.0,2658.0,10230,13294,2646.0
2015-01-14,2646.0,2665.0,2646.0,2647.0,8676,12464,2654.0
2015-01-15,2645.0,2663.0,2640.0,2662.0,7404,12536,2654.0
2015-01-16,2660.0,2692.0,2655.0,2684.0,11940,12184,2675.0
2015-01-19,2690.0,2714.0,2680.0,2701.0,9284,10964,2700.0
2015-01-20,2700.0,2708.0,2694.0,2702.0,4142,11160,2700.0
2015-01-21,2704.0,2723.0,2702.0,2711.0,7186,10840,2712.0
2015-01-22,2713.0,2714.0,2672.0,2694.0,10236,11980,2687.0
2015-01-23,2690.0,2703.0,2681.0,2686.0,4912,12616,2691.0
2015-01-26,2695.0,2703.0,2660.0,2694.0,5054,12394,2690.0
2015-01-27,2695.0,2736.0,2693.0,2728.0,12686,11850,2724.0
2015-01-28,2725.0,2763.0,2704.0,2759.0,13162,12770,2737.0
2015-01-29,2760.0,2828.0,2750.0,2780.0,23094,13520,2784.0
2015-01-30,2780.0,2795.0,2766.0,2778.0,14918,13628,2782.0
2015-02-02,2781.0,2812.0,2765.0,2796.0,11744,13480,2785.0
2015-02-03,2795.0,2806.0,2782.0,2792.0,9956,13972,2795.0
2015-02-04,2801.0,2817.0,2785.0,2797.0,11042,14220,2800.0
2015-02-05,2800.0,2858.0,2792.0,2814.0,55740,17990,2830.0
2015-02-06,2821.0,2839.0,2815.0,2839.0,13580,16914,2827.0
2015-02-09,2842.0,2873.0,2833.0,2862.0,42018,22138,2857.0
2015-02-10,2868.0,2880.0,2854.0,2879.0,35920,24250,2868.0
2015-02-11,2875.0,2878.0,2859.0,2862.0,21656,23082,2868.0
2015-02-12,2862.0,2867.0,2831.0,2840.0,30088,20088,2845.0
2015-02-13,2840.0,2872.0,2837.0,2856.0,21888,19640,2854.0
2015-02-16,2858.0,2860.0,2845.0,2858.0,8348,18306,2852.0
2015-02-17,2855.0,2855.0,2817.0,2825.0,13600,16602,2831.0
2015-02-25,2580.0,2580.0,2580.0,2580.0,2,108,2580.0
2015-02-26,2809.0,2838.0,2806.0,2828.0,14028,17270,2821.0
2015-02-27,2828.0,2865.0,2827.0,2856.0,16064,18682,2849.0
2015-03-02,2856.0,2875.0,2856.0,2861.0,9402,18874,2864.0
2015-03-03,2859.0,2860.0,2818.0,2842.0,11430,16686,2835.0
2015-03-04,2842.0,2873.0,2835.0,2871.0,19288,20064,2862.0
2015-03-05,2864.0,2869.0,2843.0,2848.0,18946,17514,2858.0
2015-03-06,2845.0,2863.0,2834.0,2838.0,10942,15954,2844.0
2015-03-09,2836.0,2865.0,2834.0,2863.0,17332,18218,2850.0
2015-03-10,2862.0,2935.0,2861.0,2914.0,97354,40330,2902.0
2015-03-11,2913.0,2975.0,2913.0,2959.0,121256,48316,2953.0
2015-03-12,2966.0,2966.0,2930.0,2957.0,66786,46238,2946.0
2015-03-13,2958.0,2995.0,2944.0,2973.0,77968,48800,2972.0
2015-03-16,2969.0,3006.0,2962.0,2988.0,98416,52990,2986.0
2015-03-17,2989.0,2998.0,2975.0,2993.0,38734,53352,2987.0
2015-03-18,2997.0,2997.0,2952.0,2960.0,48746,43062,2971.0
2015-03-19,2969.0,2973.0,2942.0,2952.0,36680,39252,2954.0
2015-03-20,2951.0,2987.0,2946.0,2963.0,47472,39014,2970.0
2015-03-23,2981.0,2990.0,2961.0,2976.0,14956,38548,2973.0
2015-03-24,2985.0,3060.0,2979.0,3036.0,72272,41254,3024.0
2015-03-25,3040.0,3050.0,3007.0,3025.0,36818,39576,3028.0
2015-03-26,3025.0,3047.0,3011.0,3037.0,25556,41702,3032.0
2015-03-27,3041.0,3089.0,3021.0,3073.0,86776,43870,3062.0
2015-03-30,3079.0,3087.0,3045.0,3080.0,27382,45362,3069.0
2015-03-31,3079.0,3100.0,3063.0,3071.0,33536,44528,3078.0
2015-04-01,3065.0,3069.0,2980.0,3010.0,63596,30346,3010.0
2015-04-02,3012.0,3032.0,2988.0,3000.0,21272,28582,3006.0
2015-04-03,3013.0,3014.0,2996.0,3009.0,20966,30572,3004.0
2015-04-07,3014.0,3014.0,2976.0,3000.0,24478,30830,2996.0
2015-04-08,3000.0,3013.0,2952.0,2964.0,63290,37294,2977.0
2015-04-09,2965.0,2970.0,2948.0,2963.0,32340,39404,2960.0
2015-04-10,2961.0,3003.0,2960.0,2997.0,44112,34322,2979.0
2015-04-13,2984.0,3043.0,2984.0,3030.0,73050,38818,3019.0
2015-04-14,3035.0,3038.0,2989.0,2998.0,45220,35440,3010.0
2015-04-15,2999.0,3001.0,2914.0,2936.0,88170,36824,2946.0
2015-04-16,2947.0,2958.0,2926.0,2942.0,37092,35880,2943.0
2015-04-17,2945.0,2971.0,2937.0,2968.0,33852,33326,2957.0
2015-04-20,2971.0,2983.0,2937.0,2948.0,31106,33046,2952.0
2015-04-21,2950.0,2963.0,2928.0,2946.0,31260,33506,2944.0
2015-04-22,2942.0,2961.0,2938.0,2956.0,20688,32608,2954.0
2015-04-23,2953.0,2973.0,2953.0,2956.0,21454,33134,2961.0
