date,open,high,low,close,volume,hold,settle
2024-08-30,6550.0,6648.0,6454.0,6600.0,156347,21214,6584.0
2024-09-02,6622.0,6624.0,6360.0,6376.0,159115,33748,6468.0
2024-09-03,6378.0,6444.0,6332.0,6386.0,130244,36159,6376.0
2024-09-04,6338.0,6366.0,6238.0,6290.0,125894,39747,6300.0
2024-09-05,6290.0,6350.0,6216.0,6226.0,87080,38031,6282.0
2024-09-06,6242.0,6298.0,6158.0,6220.0,159227,40265,6214.0
2024-09-09,6228.0,6228.0,6040.0,6090.0,146204,50279,6124.0
2024-09-10,6080.0,6094.0,5914.0,5914.0,168541,53283,6022.0
2024-09-11,5912.0,6374.0,5736.0,6002.0,501473,63054,5872.0
2024-09-12,6000.0,6076.0,5880.0,6048.0,360488,61361,5980.0
2024-09-13,6086.0,6160.0,6012.0,6092.0,258605,49785,6082.0
2024-09-18,6118.0,6136.0,5932.0,5962.0,137773,52748,5986.0
2024-09-19,5954.0,6088.0,5904.0,6074.0,205770,49976,5986.0
2024-09-20,6078.0,6112.0,6034.0,6078.0,122032,49150,6070.0
2024-09-23,6062.0,6068.0,5986.0,5998.0,117181,49532,6020.0
2024-09-24,5992.0,6186.0,5974.0,6170.0,141100,44441,6080.0
2024-09-25,6188.0,6380.0,6172.0,6206.0,145876,35608,6236.0
2024-09-26,6146.0,6258.0,6130.0,6184.0,121938,32456,6194.0
2024-09-27,6206.0,6312.0,6172.0,6294.0,95044,27141,6226.0
2024-09-30,6290.0,6560.0,6262.0,6516.0,107451,20891,6414.0
2024-10-08,6800.0,6820.0,6546.0,6574.0,82640,20160,6664.0
2024-10-09,6568.0,6578.0,6474.0,6504.0,90380,23211,6520.0
2024-10-10,6474.0,6510.0,6384.0,6448.0,74052,24769,6444.0
2024-10-11,6462.0,6532.0,6446.0,6508.0,60933,23289,6492.0
2024-10-14,6516.0,6572.0,6446.0,6472.0,60198,19425,6504.0
2024-10-15,6452.0,6486.0,6320.0,6320.0,60819,19740,6396.0
2024-10-16,6316.0,6372.0,6270.0,6306.0,48803,19629,6332.0
2024-10-17,6298.0,6328.0,6188.0,6190.0,48997,21492,6258.0
2024-10-18,6218.0,6300.0,6190.0,6260.0,45148,18348,6248.0
2024-10-21,6244.0,6244.0,6168.0,6218.0,37226,18624,6208.0
2024-10-22,6236.0,6324.0,6222.0,6284.0,38686,17423,6284.0
2024-10-23,6324.0,6362.0,6272.0,6304.0,33319,17426,6314.0
2024-10-24,6272.0,6318.0,6236.0,6284.0,21502,17277,6280.0
2024-10-25,6280.0,6336.0,6234.0,6284.0,30113,16677,6278.0
2024-10-28,6304.0,6326.0,6150.0,6270.0,32182,16383,6256.0
2024-10-29,6240.0,6264.0,6138.0,6160.0,33086,18499,6200.0
2024-10-30,6202.0,6210.0,6140.0,6178.0,20231,18113,6172.0
2024-10-31,6196.0,6228.0,6160.0,6208.0,15416,17285,6196.0
2024-11-01,6214.0,6296.0,6198.0,6240.0,21090,16576,6248.0
2024-11-04,6250.0,6260.0,6192.0,6234.0,13776,15926,6224.0
2024-11-05,6244.0,6292.0,6232.0,6246.0,13290,15704,6256.0
2024-11-06,6262.0,6286.0,6130.0,6160.0,20730,16853,6220.0
