date,open,high,low,close,volume,hold,settle
2024-12-26,44000.0,44000.0,41010.0,41570.0,301655,31271,41845.0
2024-12-27,41600.0,42160.0,41225.0,41950.0,172813,32846,41765.0
2024-12-30,41900.0,43010.0,41750.0,42535.0,136506,35565,42460.0
2024-12-31,42570.0,42705.0,42230.0,42465.0,74312,31540,42455.0
2025-01-02,42315.0,42680.0,42315.0,42570.0,36858,30447,42495.0
2025-01-03,42570.0,42780.0,42365.0,42560.0,37079,29242,42520.0
2025-01-06,42600.0,43600.0,42560.0,43325.0,68310,31663,43150.0
2025-01-07,43325.0,43450.0,42765.0,43185.0,39615,30357,43080.0
2025-01-08,43185.0,43390.0,42650.0,42700.0,30253,28183,42910.0
2025-01-09,43000.0,43000.0,42165.0,42575.0,36908,27681,42525.0
2025-01-10,42660.0,43480.0,42435.0,43070.0,33598,26973,43030.0
2025-01-13,43270.0,43480.0,42865.0,43385.0,22370,26759,43180.0
2025-01-14,43305.0,43850.0,43120.0,43650.0,34850,28130,43535.0
2025-01-15,43550.0,44640.0,43550.0,44225.0,79215,30974,44085.0
2025-01-16,44235.0,44445.0,43800.0,44130.0,29190,29862,44070.0
2025-01-17,44130.0,45190.0,44015.0,44940.0,63067,33745,44780.0
2025-01-20,44505.0,45060.0,44505.0,44705.0,22940,31434,44695.0
2025-01-21,44780.0,44850.0,43940.0,44265.0,33834,27276,44310.0
2025-01-22,44000.0,44185.0,43360.0,43770.0,29641,25171,43680.0
2025-01-23,43760.0,43965.0,43315.0,43380.0,17719,23863,43670.0
2025-01-24,43310.0,43770.0,42965.0,43195.0,21936,22291,43325.0
2025-01-27,43325.0,43735.0,43100.0,43730.0,10720,21281,43465.0
2025-02-05,43540.0,44140.0,42820.0,43200.0,16243,21144,43305.0
2025-02-06,43200.0,43880.0,43180.0,43795.0,14408,21881,43590.0
2025-02-07,43800.0,44645.0,43740.0,44105.0,29414,23491,44245.0
2025-02-10,44000.0,44555.0,43805.0,44435.0,15906,22558,44180.0
2025-02-11,44500.0,44550.0,43705.0,43870.0,17071,20978,43970.0
2025-02-12,43810.0,44275.0,43800.0,43915.0,10612,21113,44015.0
2025-02-13,43950.0,44150.0,43620.0,43810.0,10801,20722,43830.0
2025-02-14,44100.0,44260.0,43845.0,44150.0,10245,20607,44095.0
2025-02-17,44100.0,44360.0,43915.0,44270.0,11211,21064,44165.0
2025-02-18,44270.0,44400.0,44085.0,44160.0,8338,20826,44230.0
2025-02-19,44270.0,44275.0,44015.0,44060.0,6023,20673,44105.0
2025-02-20,43950.0,44080.0,43660.0,43765.0,12769,21133,43805.0
2025-02-21,43860.0,44100.0,43555.0,43825.0,9263,20748,43820.0
2025-02-24,43690.0,43920.0,43610.0,43900.0,5589,20892,43755.0
2025-02-25,43840.0,44065.0,43710.0,43835.0,10150,20268,43870.0
2025-02-26,43805.0,44600.0,43660.0,44515.0,24931,22666,44260.0
2025-02-27,44500.0,44795.0,44310.0,44550.0,15975,22751,44515.0
2025-02-28,44535.0,44620.0,44155.0,44265.0,8912,21465,44350.0
2025-03-03,44265.0,44480.0,44125.0,44390.0,6564,21668,44340.0
2025-03-04,44290.0,44415.0,43800.0,44100.0,8341,21212,44125.0
2025-03-05,44100.0,44145.0,43800.0,43875.0,8253,22081,43900.0
2025-03-06,43905.0,44480.0,43720.0,44400.0,19426,24043,44105.0
2025-03-07,44400.0,44450.0,43980.0,44015.0,8087,23011,44215.0
2025-03-10,44060.0,44200.0,43815.0,43850.0,7812,23847,44010.0
2025-03-11,43900.0,44180.0,43900.0,44150.0,8147,24000,44050.0
2025-03-12,44160.0,44255.0,43910.0,44050.0,6314,24087,44065.0
2025-03-13,44060.0,44230.0,43950.0,44120.0,6781,24270,44075.0
2025-03-14,43995.0,44185.0,43750.0,43770.0,12131,25293,43925.0
2025-03-17,43780.0,43780.0,43070.0,43220.0,25926,27936,43300.0
2025-03-18,43220.0,43495.0,42480.0,43080.0,37040,29242,42985.0
2025-03-19,43135.0,43660.0,42700.0,43610.0,25441,29415,43240.0
2025-03-20,43610.0,43990.0,43355.0,43695.0,27964,28956,43650.0
2025-03-21,43790.0,43890.0,43340.0,43515.0,13387,29108,43535.0
2025-03-24,43550.0,43750.0,43405.0,43640.0,9043,28148,43590.0
2025-03-25,43640.0,43860.0,43600.0,43795.0,9404,27517,43755.0
2025-03-26,43840.0,43990.0,43600.0,43640.0,12352,27277,43785.0
2025-03-27,43680.0,43880.0,43560.0,43760.0,7933,27255,43730.0
2025-03-28,43760.0,43850.0,43510.0,43650.0,7080,27368,43650.0
2025-03-31,43635.0,43635.0,43285.0,43460.0,9308,27527,43440.0
2025-04-01,43500.0,43650.0,43325.0,43560.0,7083,26637,43500.0
2025-04-02,43500.0,43780.0,43425.0,43680.0,11281,28096,43660.0
2025-04-03,43570.0,43775.0,43370.0,43650.0,14315,31402,43555.0
2025-04-07,43050.0,43635.0,42865.0,43265.0,23305,33190,43225.0
2025-04-08,43280.0,43420.0,40880.0,42405.0,54034,35997,42250.0
2025-04-09,42000.0,42340.0,41100.0,42245.0,31051,35983,41770.0
2025-04-10,42885.0,43300.0,42100.0,42190.0,21615,36458,42495.0
2025-04-11,41700.0,42085.0,41350.0,41835.0,27028,37060,41765.0
2025-04-14,42080.0,42150.0,41410.0,41550.0,23043,40140,41645.0
2025-04-15,41500.0,41580.0,40115.0,40485.0,65060,49439,40695.0
2025-04-16,40690.0,40800.0,39505.0,40265.0,74118,54112,39970.0
2025-04-17,40165.0,40680.0,39340.0,39440.0,64390,56218,40165.0
2025-04-18,39390.0,39400.0,37390.0,37615.0,201470,62628,37910.0
2025-04-21,37800.0,38710.0,37135.0,38420.0,159263,66430,37890.0
2025-04-22,38000.0,38550.0,37680.0,38020.0,129087,66241,38105.0
2025-04-23,38305.0,39325.0,38105.0,39135.0,89640,60991,38505.0
2025-04-24,38900.0,39840.0,38500.0,39375.0,107014,59000,39110.0
2025-04-25,39375.0,39415.0,38380.0,38390.0,95530,56040,38970.0
2025-04-28,38390.0,38495.0,37730.0,37780.0,80862,55092,38135.0
2025-04-29,37500.0,37835.0,36895.0,37320.0,116998,58208,37260.0
2025-04-30,37220.0,37920.0,36665.0,37245.0,124573,54266,37300.0
2025-05-06,37200.0,37350.0,36325.0,36410.0,80443,53823,36670.0
2025-05-07,36670.0,37140.0,35470.0,35520.0,135166,63290,36075.0
2025-05-08,35495.0,37320.0,34375.0,36950.0,455041,67502,35790.0
2025-05-09,37420.0,38175.0,36820.0,37830.0,443819,67256,37515.0
2025-05-12,38100.0,38640.0,37200.0,38450.0,322808,69417,37925.0
2025-05-13,38230.0,39340.0,37820.0,38270.0,321982,52252,38585.0
2025-05-14,37460.0,37760.0,36525.0,37560.0,105707,54804,37240.0
2025-05-15,37110.0,37595.0,36675.0,37200.0,75727,56350,37265.0
2025-05-16,36950.0,36950.0,35565.0,35975.0,120687,61226,36130.0
2025-05-19,36105.0,36490.0,35515.0,36050.0,91172,63062,35980.0
2025-05-20,36020.0,36180.0,34960.0,35625.0,165519,70536,35530.0
2025-05-21,35630.0,36115.0,35295.0,35860.0,157225,73488,35675.0
2025-05-22,35600.0,36090.0,35300.0,36080.0,126262,77294,35700.0
2025-05-23,36100.0,36775.0,35950.0,36090.0,169222,74429,36310.0
2025-05-26,36120.0,36180.0,34845.0,34885.0,158450,78351,35705.0
2025-05-27,34500.0,35455.0,34455.0,35290.0,191734,80800,35020.0
2025-05-28,35360.0,35595.0,34585.0,35100.0,153272,79868,34960.0
2025-05-29,35130.0,35445.0,34710.0,35280.0,145339,78271,35100.0
2025-05-30,35005.0,35675.0,34800.0,35600.0,150575,77400,35295.0
2025-06-03,35605.0,35605.0,34270.0,34360.0,144680,71600,34900.0
2025-06-04,34300.0,35340.0,33840.0,35055.0,262747,67873,34635.0
2025-06-05,34810.0,34910.0,34370.0,34540.0,127429,65802,34620.0
2025-06-06,35000.0,35335.0,34470.0,34740.0,134443,65179,34885.0
2025-06-09,34620.0,34700.0,33985.0,34105.0,123726,64383,34240.0
2025-06-10,34000.0,34375.0,33640.0,33955.0,107030,62708,34010.0
2025-06-11,33980.0,34355.0,33795.0,34255.0,79861,60199,34060.0
2025-06-12,34060.0,34220.0,33570.0,33585.0,65591,61698,33860.0
2025-06-13,33560.0,34000.0,33355.0,33695.0,82151,56863,33670.0
2025-06-16,33765.0,34330.0,33640.0,34320.0,62835,51277,34035.0
2025-06-17,33070.0,33120.0,32525.0,32705.0,29911,55451,32695.0
2025-06-18,32700.0,33000.0,32230.0,32570.0,60405,54731,32575.0
2025-06-19,32480.0,32580.0,32030.0,32120.0,49267,63092,32295.0
2025-06-20,32155.0,32240.0,31210.0,31220.0,92342,68129,31660.0
2025-06-23,31200.0,31385.0,30605.0,30615.0,88450,78183,30935.0
2025-06-24,30615.0,31650.0,30440.0,31085.0,171969,72286,31120.0
2025-06-25,31000.0,31125.0,30400.0,30625.0,146141,80107,30655.0
2025-06-26,30745.0,31800.0,30700.0,31715.0,225035,77132,31425.0
2025-06-27,32000.0,33585.0,31350.0,33315.0,294743,69062,32075.0
2025-06-30,33295.0,34120.0,32840.0,33535.0,421176,66333,33500.0
2025-07-01,33470.0,33500.0,32355.0,32700.0,261490,61196,32760.0
2025-07-02,33350.0,35050.0,33035.0,35050.0,411586,95005,34315.0
2025-07-03,35700.0,35900.0,34780.0,35050.0,482063,76908,35270.0
2025-07-04,35880.0,36295.0,34910.0,35510.0,516583,77334,35500.0
2025-07-07,35100.0,36525.0,35050.0,36515.0,440264,105230,35875.0
2025-07-08,36505.0,38385.0,36180.0,38385.0,634366,110547,37390.0
2025-07-09,38480.0,40045.0,38230.0,39270.0,794464,97187,39190.0
2025-07-10,39500.0,41660.0,38760.0,41345.0,1014567,98601,40545.0
2025-07-11,41150.0,41825.0,40215.0,41000.0,352757,118755,41040.0
2025-07-14,41005.0,41775.0,40455.0,41445.0,254746,127420,40990.0
2025-07-15,41220.0,42985.0,40860.0,42120.0,431964,131355,41995.0
2025-07-16,42000.0,42980.0,41550.0,42710.0,383989,144766,42240.0
2025-07-17,43655.0,45315.0,43220.0,45300.0,506034,174693,44015.0
2025-07-18,45105.0,45855.0,42920.0,43850.0,1045074,155539,44175.0
2025-07-21,45280.0,45850.0,44065.0,45660.0,621314,172057,45055.0
2025-07-22,45880.0,49105.0,45725.0,49105.0,757482,192179,47470.0
2025-07-23,50905.0,53165.0,48500.0,50080.0,1246241,165641,51130.0
2025-07-24,50025.0,55605.0,48610.0,53765.0,1123795,172564,52150.0
2025-07-25,52820.0,54730.0,50565.0,51025.0,747961,155168,52470.0
2025-07-28,48000.0,50700.0,47750.0,49405.0,581460,136295,48965.0
2025-07-29,49500.0,51800.0,48640.0,50805.0,546037,140638,50250.0
2025-07-30,51800.0,54770.0,51570.0,54705.0,565243,164490,53290.0
2025-07-31,52500.0,52800.0,48510.0,49130.0,565838,126989,50735.0
2025-08-01,50300.0,51150.0,48005.0,49200.0,383215,110762,49350.0
2025-08-04,48500.0,48870.0,47500.0,48720.0,175335,98033,48250.0
2025-08-05,48615.0,51390.0,48420.0,50330.0,433130,127587,49740.0
2025-08-06,50300.0,52285.0,50085.0,51345.0,420201,138396,51555.0
2025-08-07,51290.0,51715.0,49700.0,50110.0,400810,136324,50625.0
2025-08-08,50290.0,50875.0,49020.0,50790.0,434972,137596,49825.0
2025-08-11,50600.0,53350.0,49800.0,52985.0,592822,139739,51445.0
2025-08-12,52800.0,53400.0,51300.0,51800.0,481809,136055,52395.0
2025-08-13,51500.0,52950.0,51050.0,51290.0,395645,132463,52035.0
2025-08-14,51385.0,51760.0,49300.0,50430.0,415544,127757,50470.0
2025-08-15,50505.0,52920.0,49470.0,52740.0,619561,138723,51400.0
2025-08-18,52810.0,53500.0,51700.0,52280.0,425548,135517,52540.0
2025-08-19,52275.0,53300.0,51020.0,52260.0,580607,137977,52145.0
2025-08-20,51700.0,52120.0,49370.0,51875.0,704931,150086,50880.0
2025-08-21,52200.0,52800.0,51145.0,51530.0,447553,149610,52035.0
2025-08-22,51880.0,51980.0,50520.0,51405.0,445445,142397,51205.0
2025-08-25,52320.0,52940.0,51400.0,51580.0,360522,136801,52055.0
2025-08-26,51480.0,51680.0,50820.0,50985.0,265820,137478,51195.0
