date,open,high,low,close,volume,hold,settle
2023-09-15,10000.0,10050.0,9410.0,9468.0,235242,30735,9620.0
2023-09-18,9450.0,9468.0,9290.0,9346.0,123567,35656,9374.0
2023-09-19,9370.0,9436.0,9290.0,9326.0,98362,38861,9364.0
2023-09-20,9358.0,9564.0,9254.0,9310.0,217136,47627,9414.0
2023-09-21,9344.0,9346.0,9132.0,9134.0,100829,45964,9238.0
2023-09-22,9172.0,9280.0,9162.0,9218.0,85025,42487,9224.0
2023-09-25,9254.0,9300.0,9066.0,9130.0,85762,42236,9168.0
2023-09-26,9120.0,9130.0,8890.0,8930.0,81098,46773,9022.0
2023-09-27,8950.0,9040.0,8912.0,8980.0,48233,41127,8976.0
2023-09-28,9018.0,9166.0,8968.0,9006.0,60168,33209,9074.0
2023-10-09,8746.0,8826.0,8586.0,8620.0,53455,43936,8680.0
2023-10-10,8640.0,8650.0,8488.0,8500.0,52618,47778,8570.0
2023-10-11,8506.0,8526.0,8404.0,8458.0,74368,53859,8458.0
2023-10-12,8438.0,8462.0,8292.0,8390.0,83094,60530,8368.0
2023-10-13,8436.0,8486.0,8316.0,8404.0,91310,62214,8400.0
2023-10-16,8502.0,8518.0,8402.0,8444.0,90508,63872,8466.0
2023-10-17,8460.0,8506.0,8280.0,8362.0,81194,66189,8398.0
2023-10-18,8332.0,8498.0,8332.0,8420.0,86598,66680,8436.0
2023-10-19,8402.0,8466.0,8318.0,8400.0,78807,66750,8396.0
2023-10-20,8388.0,8530.0,8350.0,8410.0,90202,63958,8448.0
2023-10-23,8406.0,8432.0,8234.0,8318.0,81920,65595,8324.0
2023-10-24,8336.0,8544.0,8298.0,8530.0,89732,65482,8400.0
2023-10-25,8500.0,8590.0,8406.0,8460.0,164517,67143,8482.0
2023-10-26,8480.0,8564.0,8464.0,8510.0,71013,65909,8502.0
2023-10-27,8474.0,8596.0,8430.0,8554.0,91193,63537,8498.0
2023-10-30,8552.0,8668.0,8520.0,8630.0,72051,65204,8596.0
2023-10-31,8614.0,8688.0,8506.0,8638.0,84397,64595,8610.0
2023-11-01,8624.0,8668.0,8566.0,8596.0,56331,62918,8618.0
2023-11-02,8650.0,8650.0,8500.0,8564.0,47360,61475,8568.0
2023-11-03,8574.0,8696.0,8550.0,8652.0,52730,60070,8626.0
2023-11-06,8666.0,8700.0,8502.0,8558.0,97422,67820,8574.0
2023-11-07,8570.0,8616.0,8466.0,8496.0,69903,66215,8556.0
2023-11-08,8478.0,8492.0,8352.0,8462.0,71098,69082,8434.0
2023-11-09,8428.0,8562.0,8380.0,8432.0,80455,72143,8480.0
2023-11-10,8450.0,8528.0,8426.0,8470.0,59710,74406,8476.0
2023-11-13,8498.0,8538.0,8378.0,8452.0,65886,72019,8448.0
2023-11-14,8466.0,8606.0,8426.0,8566.0,63398,73646,8528.0
2023-11-15,8540.0,8628.0,8528.0,8624.0,55339,74552,8576.0
2023-11-16,8608.0,8780.0,8544.0,8778.0,63738,79042,8634.0
2023-11-17,8776.0,8840.0,8630.0,8672.0,113917,84519,8736.0
2023-11-20,8694.0,8772.0,8648.0,8708.0,67124,89060,8712.0
2023-11-21,8722.0,8762.0,8430.0,8452.0,81928,81361,8594.0
2023-11-22,8466.0,8510.0,8388.0,8416.0,54777,77388,8456.0
2023-11-23,8400.0,8448.0,8324.0,8410.0,45119,76719,8384.0
2023-11-24,8410.0,8448.0,8368.0,8408.0,36107,76379,8408.0
2023-11-27,8404.0,8430.0,8272.0,8298.0,70021,77447,8328.0
2023-11-28,8296.0,8328.0,8252.0,8258.0,37103,77765,8290.0
2023-11-29,8280.0,8330.0,8206.0,8254.0,60764,79137,8268.0
2023-11-30,8272.0,8476.0,8262.0,8442.0,91686,69619,8356.0
2023-12-01,8446.0,8484.0,8262.0,8318.0,63217,66977,8378.0
2023-12-04,8320.0,8402.0,8252.0,8278.0,50667,67580,8328.0
2023-12-05,8280.0,8310.0,8190.0,8274.0,48732,68428,8254.0
2023-12-06,8270.0,8342.0,8110.0,8310.0,84547,70213,8224.0
2023-12-07,8290.0,8310.0,8170.0,8270.0,50637,69488,8254.0
2023-12-08,8246.0,8394.0,8244.0,8338.0,57559,71805,8338.0
2023-12-11,8340.0,8386.0,8282.0,8336.0,57392,73709,8346.0
2023-12-12,8326.0,8426.0,8268.0,8356.0,72177,78311,8354.0
2023-12-13,8346.0,8358.0,8132.0,8136.0,97062,94084,8226.0
2023-12-14,8160.0,8214.0,8092.0,8098.0,82410,103334,8154.0
2023-12-15,8160.0,8300.0,8132.0,8244.0,89144,85609,8220.0
2023-12-18,8260.0,8330.0,8200.0,8308.0,47826,82096,8262.0
2023-12-19,8300.0,8378.0,8300.0,8318.0,41594,79041,8342.0
2023-12-20,8322.0,8512.0,8320.0,8492.0,63446,82436,8424.0
2023-12-21,8512.0,8614.0,8450.0,8598.0,78399,80557,8524.0
2023-12-22,8580.0,8674.0,8530.0,8604.0,80112,80780,8598.0
2023-12-25,8614.0,8626.0,8498.0,8570.0,57315,81522,8560.0
2023-12-26,8568.0,8620.0,8530.0,8544.0,43853,82282,8570.0
2023-12-27,8558.0,8662.0,8546.0,8648.0,59599,86972,8620.0
2023-12-28,8648.0,8724.0,8588.0,8674.0,63938,90250,8654.0
2023-12-29,8650.0,8666.0,8532.0,8590.0,53743,89466,8590.0
2024-01-02,8602.0,8742.0,8592.0,8614.0,48313,89678,8660.0
2024-01-03,8602.0,8670.0,8478.0,8522.0,60611,90417,8552.0
2024-01-04,8540.0,8638.0,8500.0,8528.0,61505,93080,8560.0
2024-01-05,8526.0,8600.0,8452.0,8558.0,71390,93058,8522.0
2024-01-08,8548.0,8646.0,8362.0,8370.0,105868,87007,8496.0
2024-01-09,8352.0,8362.0,8266.0,8274.0,62475,88006,8316.0
2024-01-10,8322.0,8372.0,8300.0,8318.0,56514,81247,8332.0
2024-01-11,8328.0,8360.0,8250.0,8314.0,55927,81898,8306.0
2024-01-12,8336.0,8428.0,8308.0,8364.0,59450,83351,8370.0
2024-01-15,8366.0,8432.0,8320.0,8360.0,52342,81419,8378.0
2024-01-16,8338.0,8478.0,8316.0,8440.0,59446,82780,8418.0
2024-01-17,8450.0,8480.0,8396.0,8428.0,52230,77738,8440.0
2024-01-18,8406.0,8518.0,8374.0,8474.0,66650,79803,8462.0
2024-01-19,8468.0,8576.0,8460.0,8566.0,50111,83054,8518.0
2024-01-22,8530.0,8614.0,8510.0,8592.0,57163,81167,8570.0
2024-01-23,8596.0,8670.0,8540.0,8662.0,44181,84592,8606.0
2024-01-24,8646.0,8754.0,8634.0,8730.0,59445,92616,8684.0
2024-01-25,8720.0,8750.0,8600.0,8610.0,89796,90362,8664.0
2024-01-26,8620.0,8748.0,8620.0,8670.0,71550,90241,8672.0
2024-01-29,8670.0,8718.0,8610.0,8660.0,45824,87156,8662.0
2024-01-30,8660.0,8670.0,8592.0,8654.0,38583,85493,8632.0
2024-01-31,8636.0,8670.0,8550.0,8598.0,50904,85960,8594.0
2024-02-01,8598.0,8602.0,8450.0,8462.0,58129,87450,8518.0
2024-02-02,8462.0,8480.0,8366.0,8412.0,49383,86048,8424.0
2024-02-05,8410.0,8438.0,8360.0,8404.0,35129,84084,8394.0
2024-02-06,8392.0,8478.0,8372.0,8454.0,30981,82010,8424.0
2024-02-07,8466.0,8508.0,8436.0,8476.0,31497,81923,8472.0
2024-02-08,8488.0,8550.0,8456.0,8480.0,35348,79641,8500.0
2024-02-19,8546.0,8628.0,8530.0,8550.0,36955,83047,8586.0
2024-02-20,8570.0,8594.0,8460.0,8506.0,44176,85290,8544.0
2024-02-21,8486.0,8582.0,8460.0,8522.0,49907,85751,8518.0
2024-02-22,8520.0,8620.0,8500.0,8592.0,46061,89911,8572.0
2024-02-23,8578.0,8648.0,8532.0,8550.0,56402,91163,8596.0
2024-02-26,8540.0,8590.0,8478.0,8488.0,54079,90847,8532.0
2024-02-27,8488.0,8608.0,8466.0,8598.0,48334,92953,8538.0
2024-02-28,8594.0,8660.0,8572.0,8596.0,51613,92809,8616.0
2024-02-29,8600.0,8638.0,8554.0,8606.0,45740,96764,8598.0
2024-03-01,8612.0,8620.0,8520.0,8562.0,42730,96633,8562.0
2024-03-04,8588.0,8650.0,8492.0,8520.0,80857,97035,8572.0
2024-03-05,8520.0,8522.0,8350.0,8360.0,100914,110687,8420.0
2024-03-06,8372.0,8448.0,8362.0,8416.0,79788,93218,8402.0
2024-03-07,8416.0,8430.0,8360.0,8378.0,38111,97689,8396.0
2024-03-08,8344.0,8368.0,8306.0,8334.0,79231,109221,8332.0
2024-03-11,8308.0,8362.0,8266.0,8316.0,56632,110481,8308.0
2024-03-12,8320.0,8380.0,8302.0,8322.0,49543,110961,8336.0
2024-03-13,8318.0,8350.0,8292.0,8324.0,41579,108903,8322.0
2024-03-14,8372.0,8464.0,8320.0,8458.0,80252,97561,8394.0
2024-03-15,8480.0,8558.0,8460.0,8520.0,83699,86857,8516.0
2024-03-18,8510.0,8536.0,8436.0,8522.0,51885,81513,8494.0
2024-03-19,8520.0,8580.0,8508.0,8562.0,47707,78883,8548.0
2024-03-20,8582.0,8582.0,8460.0,8462.0,40853,78415,8512.0
2024-03-21,8418.0,8418.0,8302.0,8330.0,73650,74141,8348.0
2024-03-22,8326.0,8368.0,8308.0,8344.0,34904,74512,8336.0
2024-03-25,8372.0,8424.0,8348.0,8358.0,51697,72547,8382.0
2024-03-26,8384.0,8458.0,8368.0,8374.0,44208,68552,8414.0
2024-03-27,8418.0,8476.0,8404.0,8430.0,41874,65123,8444.0
2024-03-28,8424.0,8510.0,8400.0,8478.0,35291,63000,8464.0
2024-03-29,8504.0,8520.0,8424.0,8444.0,33151,58574,8472.0
2024-04-01,8460.0,8550.0,8428.0,8528.0,35019,55527,8500.0
2024-04-02,8518.0,8644.0,8502.0,8630.0,41097,57218,8578.0
2024-04-03,8848.0,8896.0,8776.0,8818.0,71172,81335,8830.0
2024-04-08,8770.0,8782.0,8678.0,8736.0,40803,79488,8734.0
2024-04-09,8750.0,8810.0,8658.0,8674.0,57880,80225,8728.0
2024-04-10,8684.0,8728.0,8666.0,8678.0,39996,81357,8700.0
2024-04-11,8678.0,8702.0,8612.0,8624.0,59187,77212,8650.0
2024-04-12,8626.0,8666.0,8570.0,8608.0,49897,76164,8612.0
2024-04-15,8632.0,8718.0,8608.0,8684.0,65170,77153,8674.0
2024-04-16,8684.0,8850.0,8674.0,8776.0,109741,82472,8752.0
2024-04-17,8772.0,8818.0,8732.0,8762.0,57665,81575,8776.0
2024-04-18,8762.0,8762.0,8588.0,8616.0,84993,73963,8660.0
