date,open,high,low,close,volume,hold,settle
2006-01-09,5300.0,5350.0,5070.0,5096.0,105678,40144,0.0
2006-01-10,5072.0,5108.0,5050.0,5086.0,63540,39860,0.0
2006-01-11,5072.0,5094.0,5060.0,5080.0,37518,39248,0.0
2006-01-12,5070.0,5094.0,5066.0,5086.0,43268,39260,0.0
2006-01-13,5080.0,5080.0,5032.0,5036.0,43668,38326,0.0
2006-01-16,5056.0,5076.0,5038.0,5058.0,51524,35972,0.0
2006-01-17,5058.0,5066.0,5030.0,5030.0,45684,34782,0.0
2006-01-18,5008.0,5058.0,5008.0,5028.0,60752,33892,0.0
2006-01-19,5036.0,5104.0,5036.0,5092.0,66908,41024,0.0
2006-01-20,5080.0,5148.0,5060.0,5098.0,76374,47796,0.0
2006-01-23,5132.0,5142.0,5084.0,5096.0,69230,48506,0.0
2006-01-24,5100.0,5100.0,5008.0,5050.0,65334,45578,0.0
2006-01-25,5046.0,5076.0,5030.0,5058.0,60468,46948,0.0
2006-01-26,5038.0,5060.0,5020.0,5026.0,62518,41378,0.0
2006-01-27,5046.0,5068.0,5026.0,5050.0,54424,41104,0.0
2006-02-06,5198.0,5236.0,5150.0,5200.0,67300,42456,0.0
2006-02-07,5150.0,5176.0,5110.0,5164.0,63246,37902,0.0
2006-02-08,5100.0,5106.0,4970.0,5064.0,68622,34456,0.0
2006-02-09,5080.0,5106.0,5048.0,5058.0,60258,35750,0.0
2006-02-10,5122.0,5122.0,5060.0,5080.0,51916,36434,0.0
2006-02-13,5088.0,5088.0,5054.0,5070.0,46924,36430,0.0
2006-02-14,5070.0,5086.0,5064.0,5078.0,58968,36038,0.0
2006-02-15,5062.0,5078.0,5052.0,5068.0,62886,35576,0.0
2006-02-16,5062.0,5100.0,5062.0,5088.0,64064,35902,0.0
2006-02-17,5100.0,5160.0,5096.0,5144.0,73466,39894,0.0
2006-02-20,5196.0,5196.0,5148.0,5150.0,57210,39214,0.0
2006-02-21,5150.0,5172.0,5122.0,5122.0,49036,38646,0.0
2006-02-22,5110.0,5144.0,5102.0,5136.0,49354,38694,0.0
2006-02-23,5090.0,5130.0,5086.0,5104.0,53382,36546,0.0
2006-02-24,5112.0,5236.0,5112.0,5202.0,69788,42396,0.0
2006-02-27,5180.0,5194.0,5136.0,5150.0,59806,40730,0.0
2006-02-28,5182.0,5220.0,5166.0,5174.0,59092,41998,0.0
