Full Instrument Scan — 2026-07-22 20:43 — 80 contracts found

Code     Days From         To               AvgVol    AvgPx   ATR%  Liq  Vol Status   
------------------------------------------------------------------------------------------
AP      1,571 2020-01-02   2026-06-30      170,371   7894.6   2.10    3    4 TRADE
CF      1,571 2020-01-02   2026-06-30      352,672  15328.3   1.62    4    3 TRADE
CJ      1,571 2020-01-02   2026-06-30       58,272  10933.4   2.29    2    4 candidate
CY      1,571 2020-01-02   2026-06-30        6,860  21973.9   1.53    1    3 skip
FG      1,571 2020-01-02   2026-06-30    1,043,501   1593.0   3.02    5    5 TRADE
JR        431 2020-02-10   2022-12-30           33   2790.4   2.28    1    4 skip
LR        164 2020-01-03   2022-06-30           30   2823.5   2.10    1    4 skip
MA      1,571 2020-01-02   2026-06-30    1,163,584   2454.3   2.56    5    4 TRADE
OI      1,571 2020-01-02   2026-06-30      409,565   9635.4   2.02    4    4 TRADE
PF      1,387 2020-10-12   2026-06-30      160,629   7124.7   2.04    3    4 TRADE
PK      1,308 2021-02-01   2026-06-30       85,823   9051.2   1.44    2    2 candidate
PL        227 2025-07-22   2026-06-30       19,174   6890.9   2.64    1    4 skip
PM        214 2020-01-15   2022-07-11            7   2449.1   3.15    1    5 skip
PR        440 2024-08-30   2026-06-30       54,308   6363.8   2.17    2    4 candidate
PX        671 2023-09-15   2026-06-30      174,465   7692.6   2.23    3    4 TRADE
RI        186 2020-02-17   2022-06-30           14   2699.4   2.59    1    4 skip
RM      1,571 2020-01-02   2026-06-30      672,227   2751.2   2.31    5    4 TRADE
RS      1,372 2020-01-02   2026-06-30           48   5731.6   2.39    1    4 skip
SA      1,571 2020-01-02   2026-06-30    1,007,353   1896.7   3.18    5    5 TRADE
SF      1,571 2020-01-02   2026-06-30      183,850   7087.5   2.57    3    4 TRADE
SH        671 2023-09-15   2026-06-30      294,111   2506.0   2.59    4    4 TRADE
SM      1,571 2020-01-02   2026-06-30      210,069   6929.6   2.26    4    4 TRADE
SR      1,571 2020-01-02   2026-06-30      345,043   5803.2   1.15    4    2 candidate
TA      1,571 2020-01-02   2026-06-30    1,255,379   5137.8   2.34    5    4 TRADE
