date,open,high,low,close,volume,amount,outstanding_share,turnover
1997-01-28,17.95,18.0,16.8,17.0,4162600.0,73097887.0,11250000.0,0.3700088888888889
1997-01-29,16.68,17.18,16.45,16.5,1105200.0,18348820.0,11250000.0,0.09824
1997-01-30,16.4,16.45,16.09,16.27,517200.0,8408234.0,11250000.0,0.04597333333333333
1997-01-31,16.28,16.55,16.28,16.4,309000.0,5073932.0,11250000.0,0.027466666666666667
1997-02-17,16.6,16.7,16.3,16.58,256300.0,4232878.0,11250000.0,0.02278222222222222
1997-02-18,16.31,16.58,14.92,14.92,312300.0,4869522.0,11250000.0,0.02776
1997-02-19,14.9,15.98,14.89,15.65,260300.0,4005706.0,11250000.0,0.023137777777777778
1997-02-20,14.09,15.05,14.09,14.92,446600.0,6559032.0,11250000.0,0.039697777777777776
1997-02-21,15.0,15.25,14.93,15.21,220600.0,3336081.0,11250000.0,0.019608888888888888
1997-02-24,15.5,15.64,15.35,15.56,416100.0,6440597.0,11250000.0,0.03698666666666667
1997-02-25,15.65,16.53,15.6,16.4,380700.0,6109944.0,11250000.0,0.03384
1997-02-26,16.39,16.4,15.88,16.24,265600.0,4307246.0,11250000.0,0.023608888888888888
1997-02-27,16.3,16.4,15.96,16.22,740200.0,11919270.0,11250000.0,0.06579555555555555
1997-02-28,16.24,16.35,16.0,16.2,262400.0,4235644.0,11250000.0,0.023324444444444443
1997-03-03,16.3,16.6,16.15,16.48,559800.0,9188365.0,11250000.0,0.04976
1997-03-04,16.5,17.38,16.38,17.12,1040100.0,17668022.0,11250000.0,0.09245333333333333
1997-03-05,17.12,17.15,16.63,16.68,511000.0,8612766.0,11250000.0,0.045422222222222225
1997-03-06,16.67,17.05,16.67,16.94,397500.0,6727551.0,11250000.0,0.035333333333333335
1997-03-07,17.01,17.1,16.8,16.88,490000.0,8296458.0,11250000.0,0.043555555555555556
1997-03-10,17.02,17.1,16.8,16.96,436500.0,7382121.0,11250000.0,0.0388
1997-03-11,17.0,17.63,16.89,17.38,717100.0,12447005.0,11250000.0,0.06374222222222223
1997-03-12,17.4,17.7,16.9,17.4,811100.0,14136653.0,11250000.0,0.07209777777777777
1997-03-13,17.3,18.4,17.3,18.11,1729000.0,31285736.0,11250000.0,0.1536888888888889
1997-03-14,18.05,18.47,17.75,18.12,1084300.0,19508042.0,11250000.0,0.09638222222222222
1997-03-17,18.35,18.5,18.0,18.35,1416700.0,25776185.0,11250000.0,0.1259288888888889
1997-03-18,18.51,20.19,18.3,20.19,1971500.0,38461118.0,11250000.0,0.17524444444444445
1997-03-19,20.3,22.21,20.3,21.12,2014600.0,42823322.0,11250000.0,0.17907555555555554
1997-03-20,21.09,21.5,20.1,20.6,1209300.0,25080355.0,11250000.0,0.10749333333333333
1997-03-21,20.39,21.09,20.2,21.02,788600.0,16272414.0,11250000.0,0.07009777777777777
1997-03-24,21.5,21.6,20.8,21.06,1095400.0,23184773.0,11250000.0,0.0973688888888889
1997-03-25,21.29,23.13,20.8,22.6,1320900.0,29422692.0,11250000.0,0.11741333333333333
1997-03-26,22.7,23.5,22.58,22.85,752000.0,17238522.0,11250000.0,0.06684444444444444
1997-03-27,23.0,23.2,22.0,22.46,585900.0,13230118.0,11250000.0,0.05208
1997-03-28,22.4,22.4,21.85,21.99,579100.0,12769249.0,11250000.0,0.05147555555555555
1997-03-31,22.22,22.3,21.7,22.0,474100.0,10417542.0,11250000.0,0.04214222222222222
1997-04-01,22.0,22.1,21.85,22.0,393900.0,8660061.0,11250000.0,0.035013333333333334
1997-04-02,22.05,23.0,21.95,22.48,418900.0,9417744.0,11250000.0,0.037235555555555556
1997-04-03,22.58,22.7,22.07,22.27,278300.0,6215882.0,11250000.0,0.02473777777777778
1997-04-04,22.33,22.78,22.0,22.2,607100.0,13604260.0,11250000.0,0.05396444444444445
1997-04-07,22.22,23.0,22.08,22.96,687200.0,15305008.0,11250000.0,0.06108444444444444
1997-04-08,22.68,22.8,21.9,21.99,439600.0,9794275.0,11250000.0,0.03907555555555556
1997-04-09,22.0,22.6,21.83,22.5,551800.0,12284946.0,11250000.0,0.04904888888888889
1997-04-10,22.5,24.0,22.38,23.39,2602500.0,60606904.0,11250000.0,0.23133333333333334
1997-04-11,22.28,24.5,22.0,23.48,3476500.0,81874427.0,11250000.0,0.3090222222222222
1997-04-14,22.5,23.2,21.13,21.59,2814700.0,62475759.0,11250000.0,0.25019555555555556
1997-04-15,21.0,21.0,19.7,20.28,1372900.0,27875803.0,11250000.0,0.12203555555555555
1997-04-16,20.58,21.9,20.2,21.06,1054800.0,22550733.0,11250000.0,0.09376
1997-04-17,21.1,21.8,21.1,21.3,799800.0,17165392.0,11250000.0,0.07109333333333333
1997-04-18,21.3,21.75,21.3,21.7,683900.0,14760746.0,11250000.0,0.06079111111111111
1997-04-21,22.0,23.77,22.0,23.24,1768900.0,40711736.0,11250000.0,0.15723555555555555
1997-04-22,23.4,23.5,22.7,23.3,698800.0,16150575.0,11250000.0,0.062115555555555556
1997-04-23,23.48,23.6,23.0,23.37,760700.0,17645568.0,11250000.0,0.06761777777777778
1997-04-24,23.0,24.4,22.6,23.88,1547100.0,36542854.0,11250000.0,0.13752
1997-04-25,23.74,25.65,23.5,25.55,2507700.0,62407357.0,11250000.0,0.22290666666666667
1997-04-28,25.8,28.0,25.7,26.18,1827600.0,48717042.0,11250000.0,0.16245333333333334
1997-04-29,26.5,27.0,24.5,25.15,1215500.0,30901705.0,11250000.0,0.10804444444444444
1997-04-30,25.3,26.23,24.9,26.19,733100.0,18837182.0,11250000.0,0.06516444444444444
1997-05-05,26.3,27.2,26.3,27.17,1165000.0,31282509.0,11250000.0,0.10355555555555555
1997-05-06,27.5,29.89,27.0,29.55,1437400.0,40970164.0,11250000.0,0.12776888888888888
1997-05-07,30.0,31.26,28.3,30.13,1561900.0,47162089.0,11250000.0,0.13883555555555555
1997-05-08,30.0,30.09,28.0,28.1,989800.0,28921603.0,11250000.0,0.08798222222222223
1997-05-09,27.8,29.7,27.8,29.63,861700.0,24807093.0,11250000.0,0.07659555555555556
1997-05-12,30.0,30.0,28.5,28.85,1070900.0,31088175.0,11250000.0,0.09519111111111112
1997-05-13,29.01,31.0,27.5,28.99,495700.0,14081730.0,11250000.0,0.044062222222222225
1997-05-14,28.3,29.1,27.7,27.77,494500.0,13926707.0,11250000.0,0.04395555555555555
1997-05-15,27.7,29.95,27.5,29.9,826200.0,23915922.0,11250000.0,0.07344
1997-05-16,29.4,30.99,27.0,28.45,1369400.0,40116213.0,11250000.0,0.12172444444444444
1997-05-19,28.0,28.4,26.5,27.5,398500.0,10983805.0,11250000.0,0.03542222222222222
1997-05-20,27.5,28.28,27.0,27.76,510200.0,14147812.0,11250000.0,0.04535111111111111
1997-05-21,27.5,28.15,26.95,27.4,457200.0,12582495.0,11250000.0,0.04064
1997-05-22,24.66,26.4,24.66,24.66,562400.0,14113648.0,11250000.0,0.04999111111111111
1997-05-23,24.6,25.38,24.3,25.18,374700.0,9382002.0,11250000.0,0.033306666666666665
1997-05-26,25.5,26.0,24.3,25.5,314800.0,7974094.0,11250000.0,0.02798222222222222
1997-05-27,25.8,26.3,25.3,26.2,247400.0,6450331.0,11250000.0,0.02199111111111111
1997-05-28,26.2,26.3,25.8,25.85,246600.0,6431667.0,11250000.0,0.02192
1997-05-29,25.78,26.25,25.7,25.89,176700.0,4595788.0,11250000.0,0.015706666666666667
1997-05-30,25.88,26.23,25.88,26.2,170400.0,4445815.0,11250000.0,0.015146666666666666
1997-06-02,26.5,27.9,26.5,27.45,315900.0,8628815.0,11250000.0,0.02808
1997-06-03,27.9,28.0,27.0,27.3,198600.0,5460175.0,11250000.0,0.017653333333333333
1997-06-04,27.5,27.8,27.3,27.4,198100.0,5454827.0,11250000.0,0.01760888888888889
1997-06-05,27.5,27.6,27.3,27.4,198900.0,5454389.0,11250000.0,0.01768
1997-06-06,25.5,26.5,25.01,25.95,409600.0,10651599.0,11250000.0,0.036408888888888886
1997-06-09,26.2,26.2,25.7,25.98,152800.0,3955448.0,11250000.0,0.013582222222222223
1997-06-10,25.95,25.95,25.1,25.24,147100.0,3745569.0,11250000.0,0.013075555555555556
1997-06-11,25.25,25.25,23.0,24.13,228900.0,5488864.0,11250000.0,0.020346666666666666
1997-06-12,24.5,24.75,24.25,24.28,135100.0,3307888.0,11250000.0,0.012008888888888888
1997-06-13,23.5,25.38,23.3,25.3,186600.0,4594230.0,11250000.0,0.016586666666666666
1997-06-16,25.4,26.2,25.4,25.58,134800.0,3491383.0,11250000.0,0.011982222222222222
1997-06-17,25.6,26.0,25.6,25.68,121900.0,3137124.0,11250000.0,0.010835555555555555
1997-06-18,25.97,26.0,25.5,25.6,87900.0,2270739.0,11250000.0,0.007813333333333334
1997-06-19,26.0,26.0,25.48,25.5,88200.0,2257975.0,11250000.0,0.00784
1997-06-20,25.98,26.99,25.8,26.88,203800.0,5407603.0,11250000.0,0.018115555555555555
1997-06-23,27.15,28.1,26.6,27.55,525400.0,14467294.0,11250000.0,0.04670222222222222
1997-06-24,27.56,28.8,27.55,28.78,606500.0,17288660.0,11250000.0,0.05391111111111111
1997-06-25,28.92,30.85,28.8,30.17,1004900.0,30052260.0,11250000.0,0.08932444444444444
1997-06-26,30.0,30.2,29.0,29.86,447600.0,13283071.0,11250000.0,0.039786666666666665
1997-06-27,29.9,30.95,29.0,30.03,980300.0,29935967.0,11250000.0,0.08713777777777777
1997-07-02,30.5,31.9,28.3,31.79,1073200.0,33171956.0,11250000.0,0.09539555555555555
1997-07-03,31.88,32.0,30.02,30.62,508600.0,15692967.0,11250000.0,0.04520888888888889
1997-07-04,29.8,30.88,29.3,30.45,438800.0,13281827.0,11250000.0,0.039004444444444446
1997-07-07,30.65,30.75,28.67,28.72,558700.0,16366133.0,11250000.0,0.049662222222222226
1997-07-08,28.8,29.88,27.85,29.6,406800.0,11752165.0,11250000.0,0.03616
1997-07-09,29.8,29.95,28.8,29.45,137000.0,4022130.0,11250000.0,0.012177777777777777
