date,code,name,note,chg,bench_chg,rs
2026-07-15,sh603259,药明康德,CXO龙头,3.13,-0.29,3.42
2026-07-15,sz300759,康龙化成,CXO龙二,9.13,-0.29,9.42
2026-07-15,sh688331,荣昌生物,ADC,5.03,-0.29,5.32
2026-07-15,sz000963,华东医药,GLP-1,4.98,-0.29,5.27
2026-07-15,sh600276,恒瑞医药,仿创龙头,4.89,-0.29,5.18
2026-07-15,sz300347,泰格医药,CRO,6.57,-0.29,6.86
2026-07-15,sh600085,同仁堂,中药,2.02,-0.29,2.31
2026-07-15,sz159992,创新药ETF,ETF,3.87,-0.29,4.16
2026-07-15,sh512010,医药ETF,ETF,3.27,-0.29,3.56
2026-07-15,sh560080,中药ETF,ETF,2.23,-0.29,2.52
2026-07-15,sh513120,港股创新药ETF,ETF,4.17,-0.29,4.46
2026-07-16,sh603259,药明康德,CXO龙头,1.80,1.79,0.00
2026-07-16,sz300759,康龙化成,CXO龙二,5.58,1.79,3.79
2026-07-16,sh688331,荣昌生物,ADC,3.69,1.79,1.89
2026-07-16,sz000963,华东医药,GLP-1,-1.44,1.79,-3.23
2026-07-16,sh600276,恒瑞医药,仿创龙头,-1.15,1.79,-2.95
2026-07-16,sz300347,泰格医药,CRO,2.28,1.79,0.49
2026-07-16,sh600085,同仁堂,中药,-1.75,1.79,-3.54
2026-07-16,sz159992,创新药ETF,ETF,1.03,1.79,-0.76
2026-07-16,sh512010,医药ETF,ETF,0.00,1.79,-1.79
2026-07-16,sh560080,中药ETF,ETF,-0.30,1.79,-2.09
2026-07-16,sh513120,港股创新药ETF,ETF,0.26,1.79,-1.54
2026-07-21,sh603259,药明康德,CXO龙头,1.80,1.79,0.00
2026-07-21,sz300759,康龙化成,CXO龙二,5.58,1.79,3.79
2026-07-21,sh688331,荣昌生物,ADC,3.69,1.79,1.89
2026-07-21,sz000963,华东医药,GLP-1,-1.44,1.79,-3.23
2026-07-21,sh600276,恒瑞医药,仿创龙头,-1.15,1.79,-2.95
2026-07-21,sz300347,泰格医药,CRO,2.28,1.79,0.49
2026-07-21,sh600085,同仁堂,中药,-1.75,1.79,-3.54
2026-07-21,sz159992,创新药ETF,ETF,1.03,1.79,-0.76
2026-07-21,sh512010,医药ETF,ETF,0.00,1.79,-1.79
2026-07-21,sh560080,中药ETF,ETF,-0.30,1.79,-2.09
2026-07-21,sh513120,港股创新药ETF,ETF,0.26,1.79,-1.54
2026-07-22,sh603259,药明康德,CXO龙头,-0.43,0.07,-0.50
2026-07-22,sz300759,康龙化成,CXO龙二,1.02,0.07,0.95
2026-07-22,sh688331,荣昌生物,ADC,-0.59,0.07,-0.66
2026-07-22,sz000963,华东医药,GLP-1,-0.29,0.07,-0.36
2026-07-22,sh600276,恒瑞医药,仿创龙头,0.84,0.07,0.77
2026-07-22,sz300347,泰格医药,CRO,-1.77,0.07,-1.84
2026-07-22,sh600085,同仁堂,中药,0.35,0.07,0.28
2026-07-22,sz159992,创新药ETF,ETF,0.11,0.07,0.04
2026-07-22,sh512010,医药ETF,ETF,0.27,0.07,0.20
2026-07-22,sh560080,中药ETF,ETF,-0.10,0.07,-0.17
2026-07-22,sh513120,港股创新药ETF,ETF,0.93,0.07,0.87
2026-07-23,sh603259,药明康德,CXO龙头,1.23,0.25,0.98
2026-07-23,sz300759,康龙化成,CXO龙二,-1.91,0.25,-2.16
2026-07-23,sh688331,荣昌生物,ADC,-1.82,0.25,-2.07
2026-07-23,sz000963,华东医药,GLP-1,-1.33,0.25,-1.58
2026-07-23,sh600276,恒瑞医药,仿创龙头,-0.87,0.25,-1.12
2026-07-23,sz300347,泰格医药,CRO,-2.07,0.25,-2.32
2026-07-23,sh600085,同仁堂,中药,-0.65,0.25,-0.91
2026-07-23,sz159992,创新药ETF,ETF,-0.34,0.25,-0.59
2026-07-23,sh512010,医药ETF,ETF,0.00,0.25,-0.25
2026-07-23,sh560080,中药ETF,ETF,-0.80,0.25,-1.05
2026-07-23,sh513120,港股创新药ETF,ETF,0.51,0.25,0.25
2026-07-24,sh603259,药明康德,CXO龙头,-1.92,-1.61,-0.31
2026-07-24,sz300759,康龙化成,CXO龙二,-1.21,-1.61,0.41
2026-07-24,sh688331,荣昌生物,ADC,-4.49,-1.61,-2.87
2026-07-24,sz000963,华东医药,GLP-1,-5.96,-1.61,-4.34
2026-07-24,sh600276,恒瑞医药,仿创龙头,-2.66,-1.61,-1.04
2026-07-24,sz300347,泰格医药,CRO,-2.73,-1.61,-1.12
2026-07-24,sh600085,同仁堂,中药,-2.94,-1.61,-1.33
2026-07-24,sz159992,创新药ETF,ETF,-4.33,-1.61,-2.72
2026-07-24,sh512010,医药ETF,ETF,-3.18,-1.61,-1.57
2026-07-24,sh560080,中药ETF,ETF,-2.92,-1.61,-1.31
2026-07-24,sh513120,港股创新药ETF,ETF,-2.09,-1.61,-0.48
2026-07-28,sh603259,药明康德,CXO龙头,-0.81,-0.62,-0.19
2026-07-28,sz300759,康龙化成,CXO龙二,-3.25,-0.62,-2.63
2026-07-28,sh688331,荣昌生物,ADC,-5.78,-0.62,-5.16
2026-07-28,sz000963,华东医药,GLP-1,0.82,-0.62,1.44
