date,code,name,cat,chg,bench_chg,rs
2026-07-13,sh560080,中药,防御-医药,4.17,-3.43,7.60
2026-07-13,sz159992,创新药,防御-医药,-0.82,-3.43,2.61
2026-07-13,sh512010,医药,防御-医药,-0.83,-3.43,2.61
2026-07-13,sh513120,港股创新药,防御-医药,-1.86,-3.43,1.58
2026-07-13,sh512800,银行,防御-价值,1.56,-3.43,5.00
2026-07-13,sh510880,红利,防御-价值,0.69,-3.43,4.12
2026-07-13,sz159928,消费,防御-价值,-0.16,-3.43,3.27
2026-07-13,sh518880,黄金,避险,-1.43,-3.43,2.00
2026-07-13,sz159611,电力,防御-公用,-1.57,-3.43,1.87
2026-07-13,sh512000,券商,情绪风向,-1.32,-3.43,2.12
2026-07-13,sh512480,半导体,科技池-参考,-5.62,-3.43,-2.19
2026-07-13,sh588000,科创50,科技池-参考,-4.93,-3.43,-1.50
2026-07-13,sz159915,创业板,科技池-参考,-2.87,-3.43,0.56
2026-07-14,sh560080,中药,防御-医药,1.23,1.92,-0.69
2026-07-14,sz159992,创新药,防御-医药,3.54,1.92,1.61
2026-07-14,sh512010,医药,防御-医药,1.94,1.92,0.02
2026-07-14,sh513120,港股创新药,防御-医药,0.95,1.92,-0.98
2026-07-14,sh512800,银行,防御-价值,0.26,1.92,-1.67
2026-07-14,sh510880,红利,防御-价值,2.35,1.92,0.43
2026-07-14,sz159928,消费,防御-价值,0.16,1.92,-1.76
2026-07-14,sh518880,黄金,避险,-0.55,1.92,-2.47
2026-07-14,sz159611,电力,防御-公用,1.59,1.92,-0.33
2026-07-14,sh512000,券商,情绪风向,0.57,1.92,-1.35
2026-07-14,sh512480,半导体,科技池-参考,1.24,1.92,-0.68
2026-07-14,sh588000,科创50,科技池-参考,1.19,1.92,-0.73
2026-07-14,sz159915,创业板,科技池-参考,3.09,1.92,1.17
2026-07-15,sh560080,中药,防御-医药,2.23,-0.72,2.95
2026-07-15,sz159992,创新药,防御-医药,3.87,-0.72,4.59
2026-07-15,sh512010,医药,防御-医药,3.27,-0.72,3.99
2026-07-15,sh513120,港股创新药,防御-医药,4.17,-0.72,4.89
2026-07-15,sh512800,银行,防御-价值,1.15,-0.72,1.87
2026-07-15,sh510880,红利,防御-价值,1.50,-0.72,2.21
2026-07-15,sz159928,消费,防御-价值,3.80,-0.72,4.51
2026-07-15,sh518880,黄金,避险,-0.05,-0.72,0.67
2026-07-15,sz159611,电力,防御-公用,0.59,-0.72,1.30
2026-07-15,sh512000,券商,情绪风向,2.27,-0.72,2.99
2026-07-15,sh512480,半导体,科技池-参考,-5.81,-0.72,-5.09
2026-07-15,sh588000,科创50,科技池-参考,-4.56,-0.72,-3.85
2026-07-15,sz159915,创业板,科技池-参考,-1.01,-0.72,-0.29
2026-07-16,sh560080,中药,防御-医药,-0.30,3.43,-3.73
2026-07-16,sz159992,创新药,防御-医药,1.03,3.43,-2.39
2026-07-16,sh512010,医药,防御-医药,0.00,3.43,-3.43
2026-07-16,sh513120,港股创新药,防御-医药,0.26,3.43,-3.17
2026-07-16,sh512800,银行,防御-价值,-2.23,3.43,-5.66
2026-07-16,sh510880,红利,防御-价值,-1.14,3.43,-4.57
2026-07-16,sz159928,消费,防御-价值,-1.04,3.43,-4.46
2026-07-16,sh518880,黄金,避险,1.80,3.43,-1.63
2026-07-16,sz159611,电力,防御-公用,-0.74,3.43,-4.17
2026-07-16,sh512000,券商,情绪风向,0.56,3.43,-2.87
2026-07-16,sh512480,半导体,科技池-参考,10.00,3.43,6.57
2026-07-16,sh588000,科创50,科技池-参考,11.07,3.43,7.65
2026-07-16,sz159915,创业板,科技池-参考,6.67,3.43,3.24
2026-07-21,sh560080,中药,防御-医药,-0.30,3.43,-3.73
2026-07-21,sz159992,创新药,防御-医药,1.03,3.43,-2.39
2026-07-21,sh512010,医药,防御-医药,0.00,3.43,-3.43
2026-07-21,sh513120,港股创新药,防御-医药,0.26,3.43,-3.17
2026-07-21,sh512800,银行,防御-价值,-2.23,3.43,-5.66
2026-07-21,sh510880,红利,防御-价值,-1.14,3.43,-4.57
2026-07-21,sz159928,消费,防御-价值,-1.04,3.43,-4.46
2026-07-21,sh518880,黄金,避险,1.80,3.43,-1.63
2026-07-21,sz159611,电力,防御-公用,-0.74,3.43,-4.17
2026-07-21,sh512000,券商,情绪风向,0.56,3.43,-2.87
2026-07-21,sh512480,半导体,科技池-参考,10.00,3.43,6.57
2026-07-21,sh588000,科创50,科技池-参考,11.07,3.43,7.65
2026-07-21,sz159915,创业板,科技池-参考,6.67,3.43,3.24
2026-07-22,sh560080,中药,防御-医药,-0.10,-0.70,0.60
2026-07-22,sz159992,创新药,防御-医药,0.11,-0.70,0.81
2026-07-22,sh512010,医药,防御-医药,0.27,-0.70,0.96
2026-07-22,sh513120,港股创新药,防御-医药,0.93,-0.70,1.63
2026-07-22,sh512800,银行,防御-价值,1.14,-0.70,1.84
2026-07-22,sh510880,红利,防御-价值,1.50,-0.70,2.20
2026-07-22,sz159928,消费,防御-价值,0.60,-0.70,1.30
2026-07-22,sh518880,黄金,避险,1.09,-0.70,1.79
2026-07-22,sz159611,电力,防御-公用,1.58,-0.70,2.28
2026-07-22,sh512000,券商,情绪风向,-0.75,-0.70,-0.05
2026-07-22,sh512480,半导体,科技池-参考,0.70,-0.70,1.40
2026-07-22,sh588000,科创50,科技池-参考,-3.03,-0.70,-2.33
2026-07-22,sz159915,创业板,科技池-参考,-3.32,-0.70,-2.62
2026-07-23,sh560080,中药,防御-医药,-0.80,0.44,-1.24
2026-07-23,sz159992,创新药,防御-医药,-0.34,0.44,-0.78
2026-07-23,sh512010,医药,防御-医药,0.00,0.44,-0.44
2026-07-23,sh513120,港股创新药,防御-医药,0.51,0.44,0.06
2026-07-23,sh512800,银行,防御-价值,0.50,0.44,0.06
2026-07-23,sh510880,红利,防御-价值,0.83,0.44,0.39
2026-07-23,sz159928,消费,防御-价值,-0.45,0.44,-0.89
2026-07-23,sh518880,黄金,避险,0.00,0.44,-0.44
2026-07-23,sz159611,电力,防御-公用,0.83,0.44,0.38
2026-07-23,sh512000,券商,情绪风向,1.32,0.44,0.87
2026-07-23,sh512480,半导体,科技池-参考,-3.99,0.44,-4.43
2026-07-23,sh588000,科创50,科技池-参考,-3.43,0.44,-3.87
2026-07-23,sz159915,创业板,科技池-参考,0.31,0.44,-0.14
2026-07-24,sh560080,中药,防御-医药,-2.92,-2.20,-0.72
2026-07-24,sz159992,创新药,防御-医药,-4.33,-2.20,-2.13
2026-07-24,sh512010,医药,防御-医药,-3.18,-2.20,-0.98
2026-07-24,sh513120,港股创新药,防御-医药,-2.09,-2.20,0.11
2026-07-24,sh512800,银行,防御-价值,0.12,-2.20,2.33
2026-07-24,sh510880,红利,防御-价值,-1.74,-2.20,0.46
2026-07-24,sz159928,消费,防御-价值,-2.09,-2.20,0.11
2026-07-24,sh518880,黄金,避险,-2.04,-2.20,0.16
2026-07-24,sz159611,电力,防御-公用,-4.09,-2.20,-1.89
2026-07-24,sh512000,券商,情绪风向,-2.41,-2.20,-0.21
2026-07-24,sh512480,半导体,科技池-参考,0.63,-2.20,2.84
2026-07-24,sh588000,科创50,科技池-参考,-0.16,-2.20,2.04
2026-07-24,sz159915,创业板,科技池-参考,-2.47,-2.20,-0.27
2026-07-28,sh560080,中药,防御-医药,0.60,-1.93,2.53
2026-07-28,sz159992,创新药,防御-医药,-2.35,-1.93,-0.42
2026-07-28,sh512010,医药,防御-医药,0.80,-1.93,2.73
2026-07-28,sh513120,港股创新药,防御-医药,-2.38,-1.93,-0.45
2026-07-28,sh512800,银行,防御-价值,2.56,-1.93,4.49
2026-07-28,sh510880,红利,防御-价值,1.19,-1.93,3.12
2026-07-28,sz159928,消费,防御-价值,2.95,-1.93,4.87
2026-07-28,sh518880,黄金,避险,-0.38,-1.93,1.55
2026-07-28,sz159611,电力,防御-公用,0.19,-1.93,2.12
2026-07-28,sh512000,券商,情绪风向,0.00,-1.93,1.93
2026-07-28,sh512480,半导体,科技池-参考,-6.72,-1.93,-4.79
2026-07-28,sh588000,科创50,科技池-参考,-6.02,-1.93,-4.10
2026-07-28,sz159915,创业板,科技池-参考,-3.88,-1.93,-1.95
2026-07-29,sh560080,中药,防御-医药,0.90,1.80,-0.91
2026-07-29,sz159992,创新药,防御-医药,1.57,1.80,-0.24
2026-07-29,sh512010,医药,防御-医药,0.27,1.80,-1.54
2026-07-29,sh513120,港股创新药,防御-医药,0.70,1.80,-1.10
2026-07-29,sh512800,银行,防御-价值,-0.48,1.80,-2.28
2026-07-29,sh510880,红利,防御-价值,-0.24,1.80,-2.04
2026-07-29,sz159928,消费,防御-价值,-0.29,1.80,-2.09
2026-07-29,sh518880,黄金,避险,0.87,1.80,-0.93
2026-07-29,sz159611,电力,防御-公用,0.00,1.80,-1.80
2026-07-29,sh512000,券商,情绪风向,0.00,1.80,-1.80
2026-07-29,sh512480,半导体,科技池-参考,3.55,1.80,1.75
2026-07-29,sh588000,科创50,科技池-参考,3.54,1.80,1.73
2026-07-29,sz159915,创业板,科技池-参考,3.00,1.80,1.19
2026-07-30,sh560080,中药,防御-医药,-0.30,1.98,-2.28
2026-07-30,sz159992,创新药,防御-医药,3.38,1.98,1.39
2026-07-30,sh512010,医药,防御-医药,2.41,1.98,0.42
2026-07-30,sh513120,港股创新药,防御-医药,2.91,1.98,0.92
2026-07-30,sh512800,银行,防御-价值,-2.41,1.98,-4.39
2026-07-30,sh510880,红利,防御-价值,-1.46,1.98,-3.45
2026-07-30,sz159928,消费,防御-价值,-1.59,1.98,-3.58
2026-07-30,sh518880,黄金,避险,-0.11,1.98,-2.09
2026-07-30,sz159611,电力,防御-公用,-0.92,1.98,-2.91
2026-07-30,sh512000,券商,情绪风向,0.00,1.98,-1.98
2026-07-30,sh512480,半导体,科技池-参考,5.21,1.98,3.23
2026-07-30,sh588000,科创50,科技池-参考,4.28,1.98,2.29
2026-07-30,sz159915,创业板,科技池-参考,5.68,1.98,3.70
2026-07-31,sh560080,中药,防御-医药,-0.30,1.98,-2.28
2026-07-31,sz159992,创新药,防御-医药,3.38,1.98,1.39
2026-07-31,sh512010,医药,防御-医药,2.41,1.98,0.42
2026-07-31,sh513120,港股创新药,防御-医药,2.91,1.98,0.92
2026-07-31,sh512800,银行,防御-价值,-2.41,1.98,-4.39
2026-07-31,sh510880,红利,防御-价值,-1.46,1.98,-3.45
2026-07-31,sz159928,消费,防御-价值,-1.59,1.98,-3.58
2026-07-31,sh518880,黄金,避险,-0.11,1.98,-2.09
2026-07-31,sz159611,电力,防御-公用,-0.92,1.98,-2.91
2026-07-31,sh512000,券商,情绪风向,0.00,1.98,-1.98
2026-07-31,sh512480,半导体,科技池-参考,5.21,1.98,3.23
2026-07-31,sh588000,科创50,科技池-参考,4.28,1.98,2.29
2026-07-31,sz159915,创业板,科技池-参考,5.68,1.98,3.70
2026-08-04,sh560080,中药,防御-医药,-1.29,2.05,-3.34
2026-08-04,sz159992,创新药,防御-医药,1.05,2.05,-1.00
2026-08-04,sh512010,医药,防御-医药,1.04,2.05,-1.01
2026-08-04,sh513120,港股创新药,防御-医药,1.97,2.05,-0.08
2026-08-04,sh512800,银行,防御-价值,-1.23,2.05,-3.28
2026-08-04,sh510880,红利,防御-价值,-0.28,2.05,-2.33
2026-08-04,sz159928,消费,防御-价值,-0.74,2.05,-2.79
2026-08-04,sh518880,黄金,避险,2.76,2.05,0.71
2026-08-04,sz159611,电力,防御-公用,-0.74,2.05,-2.79
2026-08-04,sh512000,券商,情绪风向,0.57,2.05,-1.48
2026-08-04,sh512480,半导体,科技池-参考,6.60,2.05,4.55
2026-08-04,sh588000,科创50,科技池-参考,4.69,2.05,2.64
2026-08-04,sz159915,创业板,科技池-参考,1.31,2.05,-0.74
2026-08-06,sh560080,中药,防御-医药,-0.70,0.24,-0.95
2026-08-06,sz159992,创新药,防御-医药,-1.39,0.24,-1.63
2026-08-06,sh512010,医药,防御-医药,-2.07,0.24,-2.31
2026-08-06,sh513120,港股创新药,防御-医药,-0.25,0.24,-0.50
2026-08-06,sh512800,银行,防御-价值,0.50,0.24,0.25
2026-08-06,sh510880,红利,防御-价值,1.86,0.24,1.61
2026-08-06,sz159928,消费,防御-价值,-0.74,0.24,-0.99
2026-08-06,sh518880,黄金,避险,1.79,0.24,1.55
2026-08-06,sz159611,电力,防御-公用,-0.84,0.24,-1.09
2026-08-06,sh512000,券商,情绪风向,-1.13,0.24,-1.38
2026-08-06,sh512480,半导体,科技池-参考,1.36,0.24,1.11
2026-08-06,sh588000,科创50,科技池-参考,0.45,0.24,0.20
2026-08-06,sz159915,创业板,科技池-参考,-0.56,0.24,-0.81
