date,code,name,cat,chg,bench_chg,rs
2026-07-24,sh512480,半导体,科技,0.63,-2.20,2.84
2026-07-24,sh512720,计算机,科技,-3.38,-2.20,-1.18
2026-07-24,sh515880,通信,科技,-3.73,-2.20,-1.52
2026-07-24,sh512980,传媒,科技,-3.38,-2.20,-1.18
2026-07-24,sh516160,新能源,新能源,-3.10,-2.20,-0.90
2026-07-24,sz159611,电力,新能源,-4.09,-2.20,-1.89
2026-07-24,sh512660,军工,制造,-2.18,-2.20,0.02
2026-07-24,sh516110,汽车,制造,-2.41,-2.20,-0.21
2026-07-24,sh512400,有色,周期,-4.77,-2.20,-2.57
2026-07-24,sh515220,煤炭,周期,-4.36,-2.20,-2.16
2026-07-24,sz159870,化工,周期,-3.16,-2.20,-0.96
2026-07-24,sh515210,钢铁,周期,-2.84,-2.20,-0.64
2026-07-24,sh515170,食品饮料,消费,-1.72,-2.20,0.49
2026-07-24,sh512690,酒,消费,-2.12,-2.20,0.08
2026-07-24,sz159992,创新药,医药,-4.33,-2.20,-2.13
2026-07-24,sh512010,医药,医药,-3.18,-2.20,-0.98
2026-07-24,sh560080,中药,医药,-2.92,-2.20,-0.72
2026-07-24,sh512800,银行,金融,0.12,-2.20,2.33
2026-07-24,sh512200,房地产,金融,-2.94,-2.20,-0.74
2026-07-24,sh510880,红利,防御,-1.74,-2.20,0.46
2026-07-28,sh512480,半导体,科技,-6.72,-1.93,-4.79
2026-07-28,sh512720,计算机,科技,-2.96,-1.93,-1.03
2026-07-28,sh515880,通信,科技,-7.81,-1.93,-5.88
2026-07-28,sh512980,传媒,科技,0.00,-1.93,1.93
2026-07-28,sh516160,新能源,新能源,-0.86,-1.93,1.07
2026-07-28,sz159611,电力,新能源,0.19,-1.93,2.12
2026-07-28,sh512660,军工,制造,-1.92,-1.93,0.01
2026-07-28,sh516110,汽车,制造,1.14,-1.93,3.07
2026-07-28,sh512400,有色,周期,-1.19,-1.93,0.74
2026-07-28,sh515220,煤炭,周期,0.08,-1.93,2.01
2026-07-28,sz159870,化工,周期,-0.38,-1.93,1.55
2026-07-28,sh515210,钢铁,周期,0.34,-1.93,2.27
2026-07-28,sh515170,食品饮料,消费,2.51,-1.93,4.44
2026-07-28,sh512690,酒,消费,3.67,-1.93,5.60
2026-07-28,sz159992,创新药,医药,-2.35,-1.93,-0.42
2026-07-28,sh512010,医药,医药,0.80,-1.93,2.73
2026-07-28,sh560080,中药,医药,0.60,-1.93,2.53
2026-07-28,sh512800,银行,金融,2.56,-1.93,4.49
2026-07-28,sh512200,房地产,金融,-0.34,-1.93,1.59
2026-07-28,sh510880,红利,防御,1.19,-1.93,3.12
2026-07-29,sh512480,半导体,科技,3.55,1.80,1.75
2026-07-29,sh512720,计算机,科技,5.73,1.80,3.93
2026-07-29,sh515880,通信,科技,4.86,1.80,3.06
2026-07-29,sh512980,传媒,科技,6.92,1.80,5.12
2026-07-29,sh516160,新能源,新能源,0.87,1.80,-0.93
2026-07-29,sz159611,电力,新能源,0.00,1.80,-1.80
2026-07-29,sh512660,军工,制造,1.86,1.80,0.06
2026-07-29,sh516110,汽车,制造,1.30,1.80,-0.50
2026-07-29,sh512400,有色,周期,2.58,1.80,0.77
2026-07-29,sh515220,煤炭,周期,-0.17,1.80,-1.97
2026-07-29,sz159870,化工,周期,-0.13,1.80,-1.93
2026-07-29,sh515210,钢铁,周期,0.43,1.80,-1.38
2026-07-29,sh515170,食品饮料,消费,0.00,1.80,-1.80
2026-07-29,sh512690,酒,消费,0.22,1.80,-1.58
