品种,Bar数,起始,结束,ADF统计量,ADF_p值,平稳性,Hurst指数,Hurst特征,半衰期(天),推荐策略
ru000,1557,2020-01-02,2026-06-30,-5.8749,0.0000,平稳 [OK],0.804,趋势主导,0.9,均值回归 **
i000,1557,2020-01-02,2026-06-30,-3.8006,0.0029,平稳 [OK],0.731,趋势主导,0.9,均值回归 **
rr000,1557,2020-01-02,2026-06-30,-3.3312,0.0135,平稳 [OK],0.947,趋势主导,5.2,均值回归 **
c000,1557,2020-01-02,2026-06-30,-3.2137,0.0192,平稳 [OK],0.846,趋势主导,1.5,均值回归 **
ma000,1571,2020-01-02,2026-06-30,-3.1184,0.0252,平稳 [OK],1.000,趋势主导,12.8,均值回归 **
hc000,1557,2020-01-02,2026-06-30,-2.9020,0.0451,平稳 [OK],0.909,趋势主导,1.3,均值回归 **
MA000,1557,2020-01-02,2026-06-30,-2.7303,0.0689,弱平稳 [!!],1.006,趋势主导,19.1,均值回归 **
SM000,1557,2020-01-02,2026-06-30,-2.5465,0.1046,非平稳,1.015,趋势主导,22.9,趋势跟踪
cs000,1557,2020-01-02,2026-06-30,-2.4313,0.1331,非平稳,1.025,趋势主导,19.0,趋势跟踪
jm000,1557,2020-01-02,2026-06-30,-2.3742,0.1492,非平稳,0.791,趋势主导,1.0,趋势跟踪
CJ000,1557,2020-01-02,2026-06-30,-2.3155,0.1670,非平稳,1.000,趋势主导,15.6,趋势跟踪
sp000,1557,2020-01-02,2026-06-30,-2.3131,0.1678,非平稳,0.809,趋势主导,0.9,趋势跟踪
bu000,1557,2020-01-02,2026-06-30,-2.2755,0.1800,非平稳,0.787,趋势主导,1.2,趋势跟踪
RM000,1557,2020-01-02,2026-06-30,-2.2069,0.2038,非平稳,1.017,趋势主导,19.6,趋势跟踪
zn000,1557,2020-01-02,2026-06-30,-2.2064,0.2039,非平稳,0.946,趋势主导,3.8,趋势跟踪
UR000,1557,2020-01-02,2026-06-30,-2.1441,0.2271,非平稳,1.010,趋势主导,20.2,趋势跟踪
b000,1557,2020-01-02,2026-06-30,-2.0709,0.2564,非平稳,1.000,趋势主导,19.4,趋势跟踪
ta000,1571,2020-01-02,2026-06-30,-2.0457,0.2669,非平稳,1.009,趋势主导,15.1,趋势跟踪
OI000,1557,2020-01-02,2026-06-30,-2.0433,0.2679,非平稳,1.004,趋势主导,21.4,趋势跟踪
TA000,1557,2020-01-02,2026-06-30,-2.0231,0.2765,非平稳,1.018,趋势主导,17.9,趋势跟踪
a000,1571,2020-01-02,2026-06-30,-1.9133,0.3258,非平稳,1.020,趋势主导,18.5,趋势跟踪
ss000,1557,2020-01-02,2026-06-30,-1.8319,0.3647,非平稳,1.024,趋势主导,16.1,趋势跟踪
j000,1557,2020-01-02,2026-06-30,-1.8133,0.3739,非平稳,1.028,趋势主导,19.3,趋势跟踪
SR000,1557,2020-01-02,2026-06-30,-1.7616,0.3997,非平稳,1.015,趋势主导,18.7,趋势跟踪
CF000,1557,2020-01-02,2026-06-30,-1.6167,0.4745,非平稳,1.007,趋势主导,26.4,趋势跟踪
fg000,1571,2020-01-02,2026-06-30,-1.4251,0.5702,非平稳,1.005,趋势主导,8.8,趋势跟踪
sa000,1571,2020-01-02,2026-06-30,-1.1634,0.6891,非平稳,1.022,趋势主导,26.0,趋势跟踪
FG000,1557,2020-01-02,2026-06-30,-1.1149,0.7091,非平稳,1.013,趋势主导,21.1,趋势跟踪
cu000,1557,2020-01-02,2026-06-30,-0.9667,0.7652,非平稳,1.003,趋势主导,18.7,趋势跟踪
au000,1557,2020-01-02,2026-06-30,0.0695,0.9639,非平稳,0.999,趋势主导,21.0,趋势跟踪
