factor,horizon,period,N_days,IC_mean,IC_std,IC_IR,pos_ratio,t_stat
TSMOM_20d,1,IS,950,-0.020728,0.229608,-0.0903,0.4663,-2.7825
TSMOM_20d,1,OOS,600,-0.010364,0.24231,-0.0428,0.4683,-1.0477
TSMOM_60d,1,IS,910,-0.013535,0.235483,-0.0575,0.4934,-1.7339
TSMOM_60d,1,OOS,600,-0.004863,0.249458,-0.0195,0.4833,-0.4775
MA_Dev_20d,1,IS,951,-0.022634,0.231918,-0.0976,0.4543,-3.0096
MA_Dev_20d,1,OOS,600,-0.022153,0.238604,-0.0928,0.44,-2.2742
MA_Dev_50d,1,IS,921,-0.023603,0.238304,-0.099,0.4647,-3.0058
MA_Dev_50d,1,OOS,600,-0.008222,0.253837,-0.0324,0.4833,-0.7934
HV_20d,1,IS,950,0.011828,0.225286,0.0525,0.5389,1.6183
HV_20d,1,OOS,600,-0.017402,0.213965,-0.0813,0.5017,-1.9922
AtrRatio_14d,1,IS,957,0.016247,0.259796,0.0625,0.5423,1.9346
AtrRatio_14d,1,OOS,600,-0.014157,0.240206,-0.0589,0.485,-1.4437
Amihud,1,IS,969,0.021014,0.180203,0.1166,0.5562,3.63
Amihud,1,OOS,600,0.006964,0.172182,0.0404,0.5083,0.9907
OvernightGap,1,IS,969,0.015069,0.216102,0.0697,0.5191,2.1707
OvernightGap,1,OOS,600,-0.005587,0.233311,-0.0239,0.475,-0.5866
VolumeRatio_20d,1,IS,951,0.010572,0.182126,0.058,0.5373,1.7901
VolumeRatio_20d,1,OOS,600,0.009106,0.194554,0.0468,0.515,1.1464
OI_Change,1,IS,969,-0.001818,0.154679,-0.0118,0.5077,-0.366
OI_Change,1,OOS,600,-0.007172,0.141641,-0.0506,0.485,-1.2404
NdayHigh_20d,1,IS,951,-0.051442,0.205688,-0.2501,0.3922,-7.7126
NdayHigh_20d,1,OOS,600,-0.060511,0.206872,-0.2925,0.37,-7.1649
VolRegime,1,IS,891,0.004104,0.171164,0.024,0.5084,0.7158
VolRegime,1,OOS,600,-0.003641,0.197346,-0.0184,0.4883,-0.4519
RV_5d,1,IS,966,0.015828,0.266127,0.0595,0.5259,1.8485
RV_5d,1,OOS,600,-0.013506,0.250014,-0.054,0.4883,-1.3232
IntradayMom,1,IS,970,0.183945,0.192063,0.9577,0.8289,29.8284
IntradayMom,1,OOS,600,0.192139,0.182538,1.0526,0.8633,25.7832
VWAP_Dev,1,IS,970,-0.441954,0.212384,-2.0809,0.0526,-64.8097
VWAP_Dev,1,OOS,600,-0.464757,0.186095,-2.4974,0.0283,-61.1741
Amplitude,1,IS,970,0.017126,0.288437,0.0594,0.5196,1.8492
Amplitude,1,OOS,600,-0.006928,0.26784,-0.0259,0.51,-0.6336
TSMOM_20d,5,IS,950,-0.036846,0.232908,-0.1582,0.4558,-4.876
TSMOM_20d,5,OOS,596,-0.010903,0.238471,-0.0457,0.5084,-1.1162
TSMOM_60d,5,IS,910,-0.044711,0.235868,-0.1896,0.4286,-5.7183
TSMOM_60d,5,OOS,596,-0.031353,0.254816,-0.123,0.4698,-3.0038
MA_Dev_20d,5,IS,951,-0.035879,0.234631,-0.1529,0.4406,-4.7157
MA_Dev_20d,5,OOS,596,-0.023053,0.23139,-0.0996,0.4681,-2.4322
MA_Dev_50d,5,IS,921,-0.045872,0.233678,-0.1963,0.4202,-5.9574
MA_Dev_50d,5,OOS,596,-0.013231,0.244494,-0.0541,0.5017,-1.3211
HV_20d,5,IS,950,0.012098,0.228942,0.0528,0.5347,1.6288
HV_20d,5,OOS,596,-0.049944,0.215796,-0.2314,0.4027,-5.6502
AtrRatio_14d,5,IS,957,0.020981,0.255638,0.0821,0.5559,2.539
AtrRatio_14d,5,OOS,596,-0.046048,0.245255,-0.1878,0.4195,-4.5837
Amihud,5,IS,969,0.00375,0.155999,0.024,0.5263,0.7482
Amihud,5,OOS,596,-0.014433,0.161081,-0.0896,0.453,-2.1874
OvernightGap,5,IS,969,-0.007084,0.210833,-0.0336,0.4964,-1.0459
OvernightGap,5,OOS,596,-0.002506,0.229493,-0.0109,0.495,-0.2666
VolumeRatio_20d,5,IS,951,0.019706,0.167021,0.118,0.5468,3.6385
VolumeRatio_20d,5,OOS,596,-0.000223,0.178356,-0.0012,0.5101,-0.0305
OI_Change,5,IS,969,0.006515,0.157789,0.0413,0.5315,1.2853
OI_Change,5,OOS,596,-0.017273,0.13883,-0.1244,0.4597,-3.0375
